# Wordlist

# DATA
ID	DOCULECT	CONCEPT	SEGMENTS	FORM	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
#
6893	Amahuaca	above	m á x c aa	máxcaa	4 7 3 1 7	AXMBZ	MAGCA	1	1.M.C 1.A.V 1.G.c 1.C.C 1.A.V	2.0 1.5 1.1 1.75 0.8	máxcaa	0	1
7218	Capanahua	above	m a x c a t a n	maxcatan	4 7 3 1 7 1 7 4	AXMBYBYN	MAGCATAN	5	5.M.C 5.A.V 5.G.c 5.C.C 5.A.V 5.T.C 5.A.V 5.N.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	maxcatan	0	1
#
7031	Capanahua	accept	b i h q ui n	bihquin	1 7 3 1 7 4	AXMBYN	PIHKYN	5	5.P.C 5.I.V 5.H.c 5.K.C 5.Y.V 5.N.c	2.0 1.5 1.1 1.75 1.3 0.8	bihquin	0	2
#
6843	Amahuaca	accompany	j a q uí n q ui n	jaquínquin	6 7 1 7 4 1 7 4	AXBYMBYN	JAKYNKYN	1	1.J.C 1.A.V 1.K.C 1.Y.V 1.N.c 1.K.C 1.Y.V 1.N.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	jaquínquin	1	3
7207	Capanahua	accompany	m a n a q ui n	manaquin	4 7 4 7 1 7 4	AXBYBYN	MANAKYN	5	5.M.C 5.A.V 5.N.C 5.A.V 5.K.C 5.Y.V 5.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	manaquin	0	4
#
1123	Araona	alcohol (fermented drink)	h a h o t a n a	hahotana	3 7 3 7 1 7 4 7	AXBYBYBZ	HAHUTANA	2	2.H.C 2.A.V 2.H.C 2.U.V 2.T.C 2.A.V 2.N.C 2.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	hahotana	0	6
1712	Cavinena	alcohol (fermented drink)	k a s a d a _ kʷ i t a	kasa-da_kʷita	1 7 3 7 1 7 9 1 7 1 7	AXBYBZ_AXBZ	KASATA_KITA	8	8.K.C 8.A.V 8.S.C 8.A.V 8.T.C 8.A.V 8._._ 8.K.C 8.I.V 8.T.C 8.A.V	2.0 1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5 1.75 0.8	kasada_kʷita	0	9
2249	EseEjja	alcohol (fermented drink)	š i x e ʔ e n a	šixe-ʔena	3 7 3 7 1 7 4 7	AXBYBYBZ	SIGEHENA	13	13.S.C 13.I.V 13.G.C 13.E.V 13.H.C 13.E.V 13.N.C 13.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	šixeʔena	0	12
2776	HuarayoEseEjja	alcohol (fermented drink)	e i š i x i	e-iši-xi	7 7 3 7 3 7	XYBYBZ	EISIGI	14	14.E.V 14.I.V 14.S.C 14.I.V 14.G.C 14.I.V	1.5 1.3 1.75 1.3 1.75 0.8	eišixi	1	13
2777	HuarayoEseEjja	alcohol (fermented drink)	b i 'š o 'n a	bi'šo-'na	1 7 3 7 4 7	AXBYBZ	PISUNA	14	14.P.C 14.I.V 14.S.C 14.U.V 14.N.C 14.A.V	2.0 1.5 1.75 1.3 1.75 0.8	bi'šo'na	0	17
3256	Tacana	alcohol (fermented drink)	e s a h o n a	e-saho-na	7 3 7 3 7 4 7	XBYBYBZ	ESAHUNA	39	39.E.V 39.S.C 39.A.V 39.H.C 39.U.V 39.N.C 39.A.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	esahona	0	6
3257	Tacana	alcohol (fermented drink)	e w i ď̶ a t a _ ei ď̶ i	ewiď̶ata_eiď̶i	7 6 7 0 7 1 7 9 7 0 7	XBYBYBZ_XBZ	EWI0ATA_E0I	39	39.E.V 39.W.C 39.I.V 39.0.C 39.A.V 39.T.C 39.A.V 39._._ 39.E.V 39.0.C 39.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8 0.0 1.5 1.75 0.8	ewiď̶ata_eiď̶i	0	20
4304	Catuquina	alcohol (fermented drink)	k a ṣ̌ a	kaṣ̌a	1 7 3 7	AXBZ	KASA	7	7.K.C 7.A.V 7.S.C 7.A.V	2.0 1.5 1.75 0.8	kaṣ̌a	0	8
4812	Chacobo	alcohol (fermented drink)	h ɨ n ɨ š a p o	hɨnɨ-šapo	3 7 4 7 3 7 1 7	AXBYBYBZ	HINISAPU	9	9.H.C 9.I.V 9.N.C 9.I.V 9.S.C 9.A.V 9.P.C 9.U.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	hɨnɨšapo	0	10
5527	ShipiboConibo	alcohol (fermented drink)	p aɨ	paɨ	1 7	AX	PA	38	38.P.C 38.A.V	2.0 1.5	paɨ	0	7
5528	ShipiboConibo	alcohol (fermented drink)	m o k a	moka	4 7 1 7	AXBZ	MUKA	38	38.M.C 38.U.V 38.K.C 38.A.V	2.0 1.5 1.75 0.8	moka	1	19
6177	Yaminahua	alcohol (fermented drink)	m ã m ã	mãmã	4 7 4 7	AXBZ	MAMA	41	41.M.C 41.A.V 41.M.C 41.A.V	2.0 1.5 1.75 0.8	mãmã	0	14
6178	Yaminahua	alcohol (fermented drink)	m ã m ã _ p aɨa	mãmã_paɨa	4 7 4 7 9 1 7	AXBZ_AX	MAMA_PA	41	41.M.C 41.A.V 41.M.C 41.A.V 41._._ 41.P.C 41.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	mãmã_paɨa	0	14
6546	Amahuaca	alcohol (fermented drink)	h aya t í	hayatí	3 7 1 7	AXBZ	HATI	1	1.H.C 1.A.V 1.T.C 1.I.V	2.0 1.5 1.75 0.8	hayatí	0	5
7289	Capanahua	alcohol (fermented drink)	p a h e	pahe	1 7 3 7	AXBZ	PAHE	5	5.P.C 5.A.V 5.H.C 5.E.V	2.0 1.5 1.75 0.8	pahe	0	7
8218	Chipaya	alcohol (fermented drink)	k e š i	keši	1 7 3 7	AXBZ	KESI	10	10.K.C 10.E.V 10.S.C 10.I.V	2.0 1.5 1.75 0.8	keši	0	11
8219	Moseten	alcohol (fermented drink)	'č u k ye	'čukye	2 7 1 7	AXBZ	CYKY	26	26.C.C 26.Y.V 26.K.C 26.Y.V	2.0 1.5 1.75 0.8	'čukye	0	15
8220	Moseten	alcohol (fermented drink)	š o k dʸ e ʔ	šokdʸeʔ	3 7 1 1 7 1	AXMBYN	SUKTEH	26	26.S.C 26.U.V 26.K.c 26.T.C 26.E.V 26.H.c	2.0 1.5 1.1 1.75 1.3 0.8	šokdʸeʔ	0	18
