# Wordlist

# DATA
ID	DOCULECT	LANGUAGE_CORE	SUBGROUP	CONCEPT	COGID	TOKENS	FORM	ALIGNMENT	STRUCTURE
#
8488	Tacana		Tacana	alcohol (fermented drink)	1260	i ɽ i	e-id’i	i ɽ i - -	V C V
3761	Capanahua		Pano	alcohol (fermented drink)	1314	p a ʔ ɨ	pahe	p a ʔ ɨ	C V C V
#
3634	Capanahua		Pano	all	3587	r a ʔ s i	rahsi	r a ʔ s i	C V C C V
419	EseEjja		Tacana	all	3587	w a s e	wasee	w a s e -	C V C V
9174	Tsimane		Mosetén	all	3587	r ə h	räj	r ə h - -	C V C
2970	Amahuaca		Pano	all	2385	k i j o	quíyoo	k i j o - - -	C V C V
1744	Catuquina		Pano	all	2385	k ɨ j o s k a	kɨyo-s-ka	k ɨ j o s k a	C V C V C C V
#
4055	Capanahua		Pano	animal	4625	j o ʔ i n a ʔ	yohinah	j o ʔ i n a ʔ	C V C V C V C
1012	Cashibo		Pano	animal	4625	ɲ u i n a	ɲuina	ɲ u i n a - -	C V V C V
1454	Catuquina		Pano	animal	4625	j o ʔ i n a	yoʔina	j o ʔ i n a -	C V C V C V
9743	Chacobo		Pano	animal	4625	j o ʔ i n a	yohina	j o ʔ i n a -	C V C V C V
6525	Isconahua		Pano	animal	4625	j o i n a	yoina	j o i n a - -	C V V C V
6035	Kakataibo		Pano	animal	4625	ɲ ɯ i n a	ñuina	ɲ ɯ i n a - -	C V V C V
1931	ShipiboConibo		Pano	animal	4625	j o i n a	yoina	j o i n a - -	C V V C V
2507	Yaminahua		Pano	animal	4625	j o i n a	yõinã	j o i n a - -	C V V C V
#
3028	Amahuaca		Pano	ant	5427	h i m a	jíma	h i m a	C V C V
1470	Catuquina		Pano	ant	5427	h i m a	hima	h i m a	C V C V
100	EseEjja		Tacana	ant	5427	ʃ e m e	šeme	ʃ e m e	C V C V
6526	Isconahua		Pano	ant	5427	i m a	ima	i m a -	V C V
6036	Kakataibo		Pano	ant	5427	i m a	ima	i m a -	V C V
#
3363	Amahuaca		Pano	arm	5843	p o n j a n	pónyan	p o n j a n	C V C C V C
3827	Capanahua		Pano	arm	5843	p o j a n	poyan	p o j a n -	C V C V C
1513	Catuquina		Pano	arm	5843	p o j a ∼	põyã	p o j a ∼ -	C V C V C
6527	Isconahua		Pano	arm	5843	p o n j a n	ponyan	p o n j a n	C V C C V C
5490	Sharanahua		Pano	arm	5843	p u j a n	poyan	p u j a n -	C V C V C
2007	ShipiboConibo		Pano	arm	5843	p o j a ∼	po-yã	p o j a ∼ -	C V C V C
2572	Yaminahua		Pano	arm	5843	p o j a	põ-ya	p o j a - -	C V C V
9883	Araona		Tacana	arm	988	b a i	ebai	b a i - - -	C V V
9345	Chacobo		Pano	arm	988	β a	ba-	β a - - - -	C V
8468	Tacana		Tacana	arm	988	b a h i	e-bai	b a h i - -	C V C V
#
2008	ShipiboConibo		Pano	armpit	988	β a ʂ k a	βaṣ̌ka	β a ʂ k a -	C V C C V
#
8432	Tacana		Tacana	arrive	4537	kʷ i n a	cuina	kʷ i n a	C V C V
3252	Amahuaca		Pano	arrive	564	n o k o	nócoohí	n o k o - -	C V C V
3750	Capanahua		Pano	arrive	564	n o k o t i	nocoti	n o k o t i	C V C V C V
6528	Isconahua		Pano	arrive	564	n o k o	noko	n o k o - -	C V C V
5492	Sharanahua		Pano	arrive	564	n u k u i	nocoi	n u k u i -	C V C V V
2764	Yaminahua		Pano	arrive	564	n o k o k i	noko-kĩ	n o k o k i	C V C V C V
#
551	EseEjja		Tacana	arrow	1857	m e h e	emehe	m e h e -	C V C V
949	HuarayoEseEjja		Tacana	arrow	1857	m e s e	e-mese	m e s e -	C V C V
4089	Moseten		Mosetén	arrow	1857	i h m e ʔ	ih'meʔ	i h m e ʔ	V C C V C
3119	Amahuaca		Pano	arrow	1834	p i j a	piyá	p i j a	C V C V
1384	Cashibo		Pano	arrow	1834	p i a	pia	p i a -	C V V
1847	Catuquina		Pano	arrow	1834	p i a	pia	p i a -	C V V
8258	Cavinena		Tacana	arrow	1834	p i j a	piya	p i j a	C V C V
9634	Chacobo		Pano	arrow	1834	p i a	pia	p i a -	C V V
6041	Kakataibo		Pano	arrow	1834	p i a	pia	p i a -	C V V
10116	Kaxarari		Pano	arrow	1834	p i j a	piˈja	p i j a	C V C V
5024	Matses		Pano	arrow	1834	p i a	pia	p i a -	C V V
5494	Sharanahua		Pano	arrow	1834	p i a	pia	p i a -	C V V
2436	ShipiboConibo		Pano	arrow	1834	p i a	pia	p i a -	C V V
8663	Tacana		Tacana	arrow	1834	p i s a	pisa	p i s a	C V C V
2955	Yaminahua		Pano	arrow	1834	p i a	pia	p i a -	C V V
#
4091	Moseten		Mosetén	ash	2088	tʃ i m	čim	tʃ i m -	C V C
8900	Tsimane		Mosetén	ash	2088	tʃ i m	chim	tʃ i m -	C V C
3042	Amahuaca		Pano	ash	2094	tʃ i ʔ i m a p o	chíhimapó	tʃ i ʔ i m a p o	C V C V C V C V
3537	Capanahua		Pano	ash	2094	tʃ i ʔ i m a p o	chihi mapo	tʃ i ʔ i m a p o	C V C V C V C V
982	Cashibo		Pano	ash	2094	tʃ i m a p o	či-mapo	tʃ i m a p o - -	C V C V C V
1419	Catuquina		Pano	ash	2094	tʃ i ʔ i m a p o	ṣ̌iʔi mapo	tʃ i ʔ i m a p o	C V C V C V C V
6042	Kakataibo		Pano	ash	2094	tʃ i m a p ɯ	chimapu	tʃ i m a p ɯ - -	C V C V C V
1891	ShipiboConibo		Pano	ash	2094	tʃ i i m a p o	čii-mapo	tʃ i i m a p o -	C V V C V C V
2469	Yaminahua		Pano	ash	2094	tʃ i i m a p o	čii mapo	tʃ i i m a p o -	C V V C V C V
6531	Isconahua		Pano	ash	2076	m a p o	mapo	m a p o - -	C V C V
5495	Sharanahua		Pano	ash	2076	m a p u	mapo	m a p u - -	C V C V
#
1836	Catuquina		Pano	ask (inquire)	2393	j o k a	yoka-	j o k a - -	C V C V
6532	Isconahua		Pano	ask (inquire)	2393	j o k a i	yokai	j o k a i -	C V C V V
2417	ShipiboConibo		Pano	ask (inquire)	2393	j o k a t i	yoka-ti	j o k a t i	C V C V C V
2939	Yaminahua		Pano	ask (inquire)	2393	j o k a k i	yõka-kĩ	j o k a k i	C V C V C V
#
3395	Amahuaca		Pano	ask (request)	2393	j o k a	yócaaquín	j o k a - -	C V C V
4049	Capanahua		Pano	ask (request)	2393	j o k a	yocaquin	j o k a - -	C V C V
#
3051	Amahuaca		Pano	axe	2930	r o β ɨ	rovú	r o β ɨ	C V C V
4040	Capanahua		Pano	axe	2930	r o w ɨ	rohue	r o w ɨ	C V C V
1201	Cashibo		Pano	axe	2930	r o ɨ	roɨ	r o ɨ -	C V V
1638	Catuquina		Pano	axe	2930	r o ɨ	roɨ	r o ɨ -	C V V
6045	Kakataibo		Pano	axe	2930	ɾ ɯ ɨ	ruë	ɾ ɯ ɨ -	C V V
5027	Matses		Pano	axe	2930	d u ɨ	duë	d u ɨ -	C V V
2155	ShipiboConibo		Pano	axe	2930	r o ɨ	roɨ	r o ɨ -	C V V
3052	Amahuaca		Pano	axe	2951	j a m i	yamí	j a m i	C V C V
4039	Capanahua		Pano	axe	2951	j a m i	yami	j a m i	C V C V
5500	Sharanahua		Pano	axe	2951	j a m i	yami	j a m i	C V C V
2156	ShipiboConibo		Pano	axe	2951	j a m i	yami	j a m i	C V C V
2712	Yaminahua		Pano	axe	2951	j a m i	yami	j a m i	C V C V
#
598	HuarayoEseEjja		Tacana	baby	3281	b a kʷ a	e-bakwa	b a kʷ a - - - -	C V C V
5501	Sharanahua		Pano	baby	3281	β a k ɨ	facu	β a k ɨ - - - -	C V C V
8235	Cavinena		Tacana	baby	5925	n a n a	nana	n a n a -	C V C V
#
1056	Cashibo		Pano	back	1812	k a ʂ o	kaṣ̌o	k a ʂ o	C V C V
6047	Kakataibo		Pano	back	1812	k a ʂ ɯ	kaxu	k a ʂ ɯ	C V C V
1978	ShipiboConibo		Pano	back	1812	k a ʂ o	kaṣ̌o	k a ʂ o	C V C V
3221	Amahuaca		Pano	back	1809	k a t ɨ	catú	k a t ɨ	C V C V
9413	Chacobo		Pano	back	1809	k a t ɨ	catë	k a t ɨ	C V C V
6535	Isconahua		Pano	back	1809	k a t ɨ	kate	k a t ɨ	C V C V
5502	Sharanahua		Pano	back	1809	k a t ɨ	catu	k a t ɨ	C V C V
#
8811	Tsimane		Mosetén	bad	3258	a ʔ tʃʰ i tʲ	a’ćhity	a ʔ tʃʰ i tʲ	V C C V C
#
7917	Cavinena		Tacana	bark	4105	b i t i	-biti	b i t i -	C V C V
5031	Matses		Pano	bark	4105	b i ts i	bitsi	b i ts i -	C V C V
8472	Tacana		Tacana	bark	4105	b i t i	e-biti	b i t i -	C V C V
3986	Capanahua		Pano	bark	4477	ʂ a k a	xacá	ʂ a k a	C V C V
#
309	EseEjja		Tacana	basket	4028	h a	eha	h a - -	C V
3327	Amahuaca		Pano	basket	4214	k a k a n	cácan	k a k a n -	C V C V C
1213	Cashibo		Pano	basket	4214	k a k a ∼	ka'kã	k a k a ∼ -	C V C V C
6538	Isconahua		Pano	basket	4214	k a n k a n	kankan	k a n k a n	C V C C V C
6048	Kakataibo		Pano	basket	4214	k a k a n	kakan	k a k a n -	C V C V C
3930	Capanahua		Pano	basket	4218	t a s a	tasá	t a s a	C V C V
1214	Cashibo		Pano	basket	4218	t a s a	ta'sa	t a s a	C V C V
2170	ShipiboConibo		Pano	basket	4218	t a s a	tasa	t a s a	C V C V
9433	Chacobo		Pano	basket	4226	tʃ i tʃ a m a	chichama	tʃ i tʃ a m a - -	C V C V C V
6537	Isconahua		Pano	basket	4226	tʃ i tʃ a k a p i	chichakapi	tʃ i tʃ a k a p i	C V C V C V C V
5459	Matses		Pano	basket	4226	ts i ts a n	tsitsan	ts i ts a n - - -	C V C V C
#
9832	Araona		Tacana	bat	4376	b i ɲ a	biña	b i ɲ a	C V C V
8015	Cavinena		Tacana	bat	4376	b i n a	bina	b i n a	C V C V
91	EseEjja		Tacana	bat	4376	ɓ i ɲ a	ɓiɲa	ɓ i ɲ a	C V C V
624	HuarayoEseEjja		Tacana	bat	4376	b i ɲ a	biɲa	b i ɲ a	C V C V
8400	Tacana		Tacana	bat	4376	b i n a	bina	b i n a	C V C V
3391	Amahuaca		Pano	bat	4375	k a ʃ i	cashí	k a ʃ i - -	C V C V
3528	Capanahua		Pano	bat	4375	k a ʃ i	cashi	k a ʃ i - -	C V C V
1019	Cashibo		Pano	bat	4375	k a ʃ a	kašã	k a ʃ a - -	C V C V
1462	Catuquina		Pano	bat	4375	k a ʃ i	kãči	k a ʃ i - -	C V C V
9411	Chacobo		Pano	bat	4375	k a ʃ i	cashi	k a ʃ i - -	C V C V
6050	Kakataibo		Pano	bat	4375	k a ʃ i	kashi	k a ʃ i - -	C V C V
10119	Kaxarari		Pano	bat	4375	k a ʃ i w a	kaʃiˈwa	k a ʃ i w a	C V C V C V
5919	Sharanahua		Pano	bat	4375	k a ʃ i	cashi	k a ʃ i - -	C V C V
1939	ShipiboConibo		Pano	bat	4375	k a ʃ i	kaši	k a ʃ i - -	C V C V
2515	Yaminahua		Pano	bat	4375	k a ʃ i	kaši	k a ʃ i - -	C V C V
#
2980	Amahuaca		Pano	bathe	4448	n a ʂ i	náxihí	n a ʂ i - -	C V C V
3730	Capanahua		Pano	bathe	4448	n a ʃ i ʔ i	nashihi	n a ʃ i ʔ i	C V C V C V
1111	Cashibo		Pano	bathe	4448	n a ʃ i t i	naši-ti	n a ʃ i t i	C V C V C V
1555	Catuquina		Pano	bathe	4448	n a ʃ i	nači-	n a ʃ i - -	C V C V
9340	Chacobo		Pano	bathe	4448	a ʃ i	ashihaina	a ʃ i - - -	V C V
6051	Kakataibo		Pano	bathe	4448	n a ʃ i	nashi	n a ʃ i - -	C V C V
5033	Matses		Pano	bathe	4448	n e s	nes	n e s - - -	C V C
2060	ShipiboConibo		Pano	bathe	4448	n a ʃ i t i	naši-ti	n a ʃ i t i	C V C V C V
2618	Yaminahua		Pano	bathe	4448	n a ʃ i k i	naši-kĩ	n a ʃ i k i	C V C V C V
#
206	EseEjja		Tacana	be born	4537	kʷ a j a	kʷaya-	kʷ a j a	C V C V
707	HuarayoEseEjja		Tacana	be born	4537	kʷ a j a	kwaya-kwe	kʷ a j a	C V C V
5506	Sharanahua		Pano	be born	4298	k a i n	cain	k a i n - -	C V V C
#
6052	Kakataibo		Pano	be silent	1765	n ɨ t ɨ t i	nëtë́ti	n ɨ t ɨ t i	C V C V C V
5507	Sharanahua		Pano	be silent	5472	p ɨ s i k i m a	pusiquima	p ɨ s i k i m a	C V C V C V C V
#
126	EseEjja		Tacana	beard	5088	kʷ e kʷ e	e-kʷe-kʷe	kʷ e kʷ e	C V C V
3053	Amahuaca		Pano	beard	5095	k ɨ n i	cuní	k ɨ n i -	C V C V
3845	Capanahua		Pano	beard	5095	k ɨ n i	queni	k ɨ n i -	C V C V
1049	Cashibo		Pano	beard	5095	kʷ ɨ n i	kʷɨni	kʷ ɨ n i -	C V C V
1486	Catuquina		Pano	beard	5095	k ɨ n i	kɨni	k ɨ n i -	C V C V
9651	Chacobo		Pano	beard	5095	k ɨ n i	quëni	k ɨ n i -	C V C V
6053	Kakataibo		Pano	beard	5095	kʷ ɨ n i	kwëni	kʷ ɨ n i -	C V C V
5508	Sharanahua		Pano	beard	5095	k ɨ ʃ n i	cushni	k ɨ ʃ n i	C V C C V
1968	ShipiboConibo		Pano	beard	5095	k ɨ n i	kɨ-ni	k ɨ n i -	C V C V
#
3913	Capanahua		Pano	become angry	26	s i n a t i	sinati	s i n a t i	C V C V C V
7091	Sharanahua		Pano	become angry	26	s i n a i	sinai	s i n a i -	C V C V V
#
1030	Cashibo		Pano	bee	4715	β i n a	βina	β i n a	C V C V
