ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SUBGROUP	COGID	COGIDS	MORPHEMES	BORROWING	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	ALIGNMENT
248	EseEjja	alcohol (fermented drink)	šixe-ʔena	šixe-ʔena	ʃ i x e + ʔ e n a	None	Tacana	2	10 1368	?	None	3 7 3 7 9 1 7 4 7	AXBZ_AXBZ	SIGE_HENA	9	9.S.C 9.I.V 9.G.C 9.E.V 9._._ 9.H.C 9.E.V 9.N.C 9.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	ʃixe+ʔena	0	ʃ i x e + ʔ e n a
743	HuarayoEseEjja	alcohol (fermented drink)	e-iši-xi	e-iši-xi	i ʃ i	None	Tacana	1260	149	drink	None	7 3 7	XBZ	ISI	10	10.I.V 10.S.C 10.I.V	1.5 1.75 0.8	iʃi	1	i ʃ i
744	HuarayoEseEjja	alcohol (fermented drink)	bi'šo-'na	bi'šo-'na	b i ʃ o + n a	None	Tacana	1268	15 25	water	None	1 7 3 7 9 4 7	AXBZ_AX	PISU_NA	10	10.P.C 10.I.V 10.S.C 10.U.V 10._._ 10.N.C 10.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	biʃo+na	0	b i ʃ o + - - - n a -
1599	Catuquina	alcohol (fermented drink)	kaṣ̌a	kaṣ̌a	k a tʃ a	None	Pano	2654	3	?	None	1 7 1 7	AXBZ	KATA	5	5.K.C 5.A.V 5.T.C 5.A.V	2.0 1.5 1.75 0.8	katʃa	0	k a tʃ a
2112	ShipiboConibo	alcohol (fermented drink)	paɨ	paɨ	p a ɨ	None	Pano	1724	2	alcohol	None	1 7 7	AXZ	PAI	18	18.P.C 18.A.V 18.I.V	2.0 1.5 0.8	paɨ	0	p a ɨ -
2113	ShipiboConibo	alcohol (fermented drink)	moka	moka	m o k a	None	Pano	1328	1568	strong	None	4 7 1 7	AXBZ	MUKA	18	18.M.C 18.U.V 18.K.C 18.A.V	2.0 1.5 1.75 0.8	moka	1	m o k a
2667	Yaminahua	alcohol (fermented drink)	mãmã	mãmã	m !ã/a m !ã/a	None	Pano	5778	9	?	None	4 7 4 7	AXBZ	MAMA	21	21.M.C 21.A.V 21.M.C 21.A.V	2.0 1.5 1.75 0.8	m!ã/am!ã/a	0	m !ã/a m !ã/a
2668	Yaminahua	alcohol (fermented drink)	mãmã paɨa	mãmã paɨa	m !ã/a m !ã/a + p a ɨ a	None	Pano	5778	9 2	?	None	4 7 4 7 9 1 7 7 7	AXBZ_AXYZ	MAMA_PAIA	21	21.M.C 21.A.V 21.M.C 21.A.V 21._._ 21.P.C 21.A.V 21.I.V 21.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.3 0.8	m!ã/am!ã/a+paɨa	0	m !ã/a m !ã/a + p a ɨ a
3015	Amahuaca	alcohol (fermented drink)	hayatí	hayatí	ʔ a j a t !í/i	?	Pano	1	1	?	None	1 7 6 7 1 7	AXBYBZ	HAJATI	1	1.H.C 1.A.V 1.J.C 1.A.V 1.T.C 1.I.V	2.0 1.5 1.75 1.3 1.75 0.8	ʔajat!í/i	0	ʔ a j a t !í/i
3761	Capanahua	alcohol (fermented drink)	pahe	pahe	p a ʔ ɨ	None	Pano	1314	1551	strong	None	1 7 1 7	AXBZ	PAHI	3	3.P.C 3.A.V 3.H.C 3.I.V	2.0 1.5 1.75 0.8	paʔɨ	1	p a ʔ ɨ -
4347	Moseten	alcohol (fermented drink)	'čukye	'čukye	tʃ u k j e	None	Mosetén	2800	3140	?	None	1 7 1 6 7	AXBCZ	TYKJE	15	15.T.C 15.Y.V 15.K.C 15.J.C 15.E.V	2.0 1.5 1.75 1.5 0.8	tʃukje	0	tʃ u k j e
