ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	COGIDS	ALIGNMENT	AUTOCOGID
251	EseEjja	alcohol (fermented drink)	šixe-ʔena	šixe-ʔena	ʃ i x e ʔ e n a	None	2		ʃ i x - e + ʔ e n a	7
749	HuarayoEseEjja	alcohol (fermented drink)	e-iši-xi	e-iši-xi	i ʃ i	None	1311		i ʃ i	8
750	HuarayoEseEjja	alcohol (fermented drink)	bi'šo-'na	bi'šo-'na	b i ʃ o n a	None	1319		b i ʃ o + ( - ) - n a	12
1605	Catuquina	alcohol (fermented drink)	kaṣ̌a	kaṣ̌a	k a tʃ a	None	2719		k a tʃ a !N/n	3
2141	ShipiboConibo	alcohol (fermented drink)	paɨ	paɨ	p a ɨ	None	1779		p a ɨ -	2
2142	ShipiboConibo	alcohol (fermented drink)	moka	moka	m o k a	None	1381		m o k a	14
2734	Yaminahua	alcohol (fermented drink)	mãmã	mãmã	m ã m ã	None	5547		m ã m ã	9
2735	Yaminahua	alcohol (fermented drink)	mãmã paɨa	mãmã paɨa	m ã m ã p a ɨ a	None	5547		m ã m ã + p a ɨ a	9
3083	Amahuaca	alcohol (fermented drink)	hayatí	hayatí	ʔ a j a t í/i	?	1		ʔ a j a t í/i	1
3830	Capanahua	alcohol (fermented drink)	pahe	pahe	p a ʔ ɨ	None	1367		p a ʔ ɨ -	2
4420	Moseten	alcohol (fermented drink)	'čukye	'čukye	tʃ u k j e	None	2		tʃ u k j e	10
4421	Moseten	alcohol (fermented drink)	šokdʸeʔ	šokdʸeʔ	ʃ o k dʲ e.ʔ	None	3		ʃ o k - - + dʲ e.ʔ	13
4422	Movima	alcohol (fermented drink)	poʔ-so	poʔ-so	p o ʔ s o	None	4041		p o ʔ + s o	2
6606	Isconahua	alcohol (fermented drink)	oma	oma	o m a	None	1382		o m a	9
7451	Chipaya	alcohol (fermented drink)	lik-chi	lik-chi	l i k tʃ i	None	1270		l i k + tʃ i	6
8153	Cavinena	alcohol (fermented drink)	enajewe	enajewe	n a h e w e	None	3575		n a h e w e	4
8584	Tacana	alcohol (fermented drink)	e-id’i	e-id’i	i ɽ i	None	1311		i ɽ i	8
9002	Tsimane	alcohol (fermented drink)	ćhono’macdyes	ćhono’macdyes	tʃʰ o n o.ʔ m a k dʲ e s	None	1037		tʃʰ o n o.ʔ + m a k dʲ e + s	11
9614	Chacobo	alcohol (fermented drink)	jënë-shapo	jënë-shapo	h ɨ n ɨ ʃ a p o	None	2849		h ɨ n ɨ + ʃ a p o	5
422	EseEjja	all	oxaɲa	oxaɲa	o x a ɲ a	None	3116		o x a ɲ a	20
423	EseEjja	all	wasee	wasee	w a s e.e	None	3487		w a - s e.e	25
1298	Cashibo	all	kamaβi	kamaβi	k a m a β i	None	2720		k a m a + β i	16
1750	Catuquina	all	kɨyo-s-ka	kɨyo-s-ka	k ɨ j o s k a	None	2463		k ɨ j o + s + k a	15
2336	ShipiboConibo	all	-tiiβi	-tiiβi	t i i β i	None	2476		t i i + β i	17
2337	ShipiboConibo	all	hatiβi	hatiβi	h a t i β i	None	2645		h a t i + β i	17
2898	Yaminahua	all	kɨyo-kõi	kɨyo-kõi	k ɨ j o k õ i	None	2464		k ɨ j o + k õ i	15
3038	Amahuaca	all	quíyoo	quíyoo	k í/i j o.o	None	2463		k í/i j o.o	15
3702	Capanahua	all	jatihibi, rahsi	jatihibi	h a t i ʔ i β i	None	1536		h a t i + ʔ i + β i	17
3703	Capanahua	all	jatihibi, rahsi	rahsi	r a ʔ s i	None	3487		r a ʔ s i	24
4396	Moseten	all	e'rehtum	e'rehtum	e r e.h/e t u m	None	3317		e r e.h/e - + t u m	22
4397	Movima	all	ɓa-ra	ɓa-ra	ɓ a r a	None	2608		ɓ a + r a	23
5092	Matses	all	tedi	tedi	t e d i	None	2964		t e d i	18
5989	Sharanahua	all	nantifi	nantifi	n a n t i β i	None	1834		n a n t i + β i	17
6108	Kakataibo	all	kamabi	kamabi	k a m a β̞ i	None	2720		k a m a + β̞ i	16
6607	Isconahua	all	aranabi	aranabi	a ɾ a n a β i	None	3230		a ɾ a n a + β i	21
7449	Chipaya	all	liju, thapa	liju	l i x u	None	3036		l i x u	19
7450	Chipaya	all	liju, thapa	thapa	tʰ a p a	None	3649		tʰ a p a	18
8131	Cavinena	all	dutya	dutya	d u tʲ a	None	3576		d u tʲ a	18
