ID	STRUCTURE	FREQUENCY	Amahuaca	Capanahua	Cashibo	Catuquina	Chacobo	Isconahua	Kakataibo	Kaxarari	Matses	Sharanahua	ShipiboConibo	Yaminahua	COGNATESETS	CONCEPTS
4-101	V	101	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	3923:1, 3923:3, 3212:1, 4890:1, 575:3, 4903:1, 5943:1, 5943:3, 845:1, 938:3, 2329:3, 4413:1, 4413:3, 6092:1, 6092:3, 1393:1, 1393:3, 4349:1, 4349:3, 2607:2, 3654:1, 3654:3, 729:1, 729:3, 852:3, 2136:4, 4980:5, 4980:7, 1033:0, 1033:2, 1644:1, 5023:5, 2295:1, 5057:1, 4862:1, 4862:3, 4912:1, 4912:3, 5194:1, 6043:1, 5854:1, 5854:3, 68:1, 124:1, 236:1, 476:1, 597:1, 651:1, 691:1, 748:1, 781:1, 820:1, 838:1, 912:1, 962:1, 973:3, 1182:3, 1375:1, 1410:4, 1581:1, 1730:1, 1813:3, 2206:1, 2520:1, 2771:1, 2836:2, 2927:1, 3097:1, 3178:1, 3186:1, 3190:1, 3192:1, 3284:3, 3769:1, 3877:1, 3901:1, 4014:1, 4241:3, 4282:3, 4376:4, 4666:1, 4772:1, 4813:3, 4878:1, 4879:1, 4888:1, 4891:1, 4909:1, 4920:1, 5055:1, 5063:1, 5165:0, 5301:1, 5658:1, 5911:1, 5914:1, 5937:1, 5955:1, 6051:1, 6083:2, 6159:1	baby / back / beard / black / boy / brain / break (destroy or get destroyed) / bring / call / child (young human) / claw / comb / come / cotton / cover / crawl or creep / cure / cut / dark / deaf / deep / dig / drink / drunk / eye / eyelash / face / fall / fan (action) / fasten / feather / few / field / finger / first / flour / flute / fly (insect) / forehead / get lost / girl / grind / half / hand / hard / hawk / heel / husband / i / kill / laugh / leaf / lift / lip / lizard / look for / love / man / marry / mighty or powerful or strong / mother / mouth / move / narrow / nasal mucus (snot) / neck / necklace / new / nose / open / palm of hand / play / push / ring / rough / rub / scrape / sew / sharp / sharpen (something) / shout / shut / smell (perceive) / smell (stink) / smoke (inhale) / snore / some / split / spread out / straight / swallow / tear (of eye) / thick / thing / tie / tobacco / tooth / touch / two / untie / vulture / wake up / want / wave / weave / wet / whistle / wide / wife / wind / wing / worm / wound / yes / young / young man
215-6	V	6	ɨ	ɨ	ɨ	ɨ	i	ɨ	ɨ	ə	i	-	ɨ	-	1769:1, 1769:3, 597:3, 917:1, 973:1, 4323:5	be silent / day (not night) / good / light (radiation) / touch / wide / wound
67-4	V	4	ɨ	ɨ	-	-	-	-	-	w	-	-	-	-	2933:3, 4440:3, 4754:5, 6092:5	axe / black / dark / heavy / leg
104-4	V	4	ɨ	ɨ	m	ɨ	ɨ	ɨ	m	Ø	ɨ	ɨ	ɨ	i	609:1, 2072:1, 5415:1, 5952:1	claw / cooking pot / few / fingernail / one / only / path / town or village
102-3	V	3	ɨ	ɨ	ɨ	ɨ	ɨ	i	ɨ	Ø	ɨ	ɨ	ɨ	i	3550:1, 4468:1, 6016:1	fat (organic substance) / here / sew
199-3	V	3	ɨ	ɨ	n	ɨ	ɨ	-	n	Ø	n	n	ɨ	Ø	781:2, 2813:1, 4891:7	love / milk / river / tear (of eye) / want / water
251-3	V	3	ɨ	a	Ø	a	Ø	k	Ø	Ø	Ø	a	-	a	1648:3, 3521:4, 5194:3	chicken / dirty / move
258-3	V	3	ɨ	-	Ø	ɨ	-	tʃ	-	Ø	-	-	tʃ	-	2597:8, 5974:3, 6089:3	evening / eye / heel / seed
264-3	V	3	ɨ	o	ɨ	i	Ø	Ø	ɨ	Ø	Ø	-	w	β	661:2, 1207:3, 4597:1	burn (something) / turtle / wife
275-3	V	3	ɨ	w	ɨ	w	Ø	Ø	ɨ	Ø	Ø	u	ʂ	o	4014:2, 4980:3, 5556:3	flute / man / pinch
30-2	V	2	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	i	4972:1, 5364:1	maize / old / old man
59-2	V	2	ɨ	ɨ	i	ɨ	ɨ	ɨ	i	Ø	-	-	ɨ	ɨ	68:3, 2813:3	milk / river / smell (perceive) / smell (stink) / water
146-2	V	2	ɨ	ɨ	ɨ	∼	-	Ø	ɨ	Ø	Ø	n	a	∼	3592:4, 3817:1	fear (fright) / i
150-2	V	2	ɨ	ɨ	a	Ø	a	p	a	p	Ø	ɨ	a	p	522:3, 1854:1	father / thread
191-2	V	2	ɨ	ɨ	ɨ	e	Ø	Ø	ɯɨ	ɨ	Ø	ɨ	ɨ	ɨ	5312:3, 6042:1	darkness / evening / night / sharp
201-2	V	2	ɨ	ʂ	ɨ	Ø	a	Ø	i	Ø	Ø	u	Ø	i	5911:3, 6016:3	finger / palm of hand / sew / touch
213-2	V	2	ɨ	a	ʂ	ɨ	Ø	Ø	ʂ	Ø	ʂ	ʃ	ʂ	ʂ	5612:4, 5974:1	eye / grind / press / seed / squeeze
268-2	V	2	ɨ	i	o	Ø	ɨ	Ø	Ø	Ø	Ø	Ø	ɨ	ɨ	3592:3, 3618:3	fear (fright) / wake up
