ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
EseEjja-dust-1-1,EseEjja-dust-1,meši-hahi,2950,false,expert,,m e ʃ i + h a h i,false,expert
EseEjja-mud-1-1,EseEjja-mud-1,wašapa,5189,false,expert,,w a ʃ a p a,false,expert
EseEjja-sand-1-1,EseEjja-sand-1,meši-hahi,2950,false,expert,,m e ʃ i + h a h i,false,expert
EseEjja-plain-1-1,EseEjja-plain-1,haha-haha,5548,false,expert,,h a h a + h a h a,false,expert
EseEjja-water-1-1,EseEjja-water-1,ena,2227,false,expert,,( - ) - n a,false,expert
EseEjja-lake-1-1,EseEjja-lake-1,ɓai,4692,false,expert,,ɓ a i,false,expert
EseEjja-springorwell-1-1,EseEjja-springorwell-1,xani,1447,false,expert,,x a ( n ) i,false,expert
EseEjja-springorwell-2-1,EseEjja-springorwell-2,čixoko,2009,false,expert,,tʃ i x o k o,false,expert
EseEjja-springorwell-3-1,EseEjja-springorwell-3,eteoxi,253,false,expert,,t eo x i,false,expert
EseEjja-forest-1-1,EseEjja-forest-1,eɓio,4097,false,expert,,ɓ i o,false,expert
EseEjja-tree-1-1,EseEjja-tree-1,akʷi,5083,false,expert,,- a kʷ i,false,expert
EseEjja-sky-1-1,EseEjja-sky-1,eya,4199,false,expert,,j a,false,expert
EseEjja-sun-1-1,EseEjja-sun-1,išeki,379,false,expert,,( i ) ʃ e k i,false,expert
EseEjja-sun-2-1,EseEjja-sun-2,ešeki,379,false,expert,,( - ) ʃ e k i,false,expert
EseEjja-moon-1-1,EseEjja-moon-1,ɓaʔi,4282,false,expert,,ɓ a ʔ i ( - - ),false,expert
EseEjja-star-1-1,EseEjja-star-1,mahameta,289,false,expert,,m a h a m e t a,false,expert
EseEjja-lightning-1-1,EseEjja-lightning-1,poxexi,4830,false,expert,,p o x e x i,false,expert
EseEjja-thunder-1-1,EseEjja-thunder-1,kʷehi,566,false,expert,,kʷ e h i,false,expert
EseEjja-thunder-2-1,EseEjja-thunder-2,kʷehe,566,false,expert,,kʷ e h e,false,expert
EseEjja-rainbow-1-1,EseEjja-rainbow-1,sihiani,2076,false,expert,,s i h i a n i,false,expert
EseEjja-lightradiation-1-1,EseEjja-lightradiation-1,heahaʔa-,4810,false,expert,,h e a h a ʔ a,false,expert
EseEjja-darkness-1-1,EseEjja-darkness-1,-apo,2446,false,expert,,a p o,false,expert
EseEjja-shade-1-1,EseEjja-shade-1,e-šawa,6000,false,expert,,ʃ a w a ( - ),false,expert
EseEjja-shade-2-1,EseEjja-shade-2,e-axaɲa,1726,false,expert,,a x a ɲ a,false,expert
EseEjja-dew-1-1,EseEjja-dew-1,mahametana,2612,false,expert,,m a h a m e t a n a,false,expert
EseEjja-dew-2-1,EseEjja-dew-2,eši'o,2610,false,expert,,ʃ i - o,false,expert
EseEjja-wind-1-1,EseEjja-wind-1,ɓeni,959,false,expert,,ɓ e n i,false,expert
EseEjja-cloud-1-1,EseEjja-cloud-1,ɓo,1175,false,expert,,ɓ o ( - - ),false,expert
EseEjja-cloud-2-1,EseEjja-cloud-2,-haʔa,1946,false,expert,,h a ʔ a,false,expert
EseEjja-fog-1-1,EseEjja-fog-1,wohaɓo,4063,false,expert,,w o h a ɓ o,false,expert
EseEjja-rainprecipitation-1-1,EseEjja-rainprecipitation-1,ena,2227,false,expert,,( - ) - n a,false,expert
EseEjja-fire-1-1,EseEjja-fire-1,kʷa-ki,2139,false,expert,,kʷ a + k i -,false,expert
EseEjja-smokeexhaust-1-1,EseEjja-smokeexhaust-1,wičača,90,false,expert,,w i tʃ a tʃ a,false,expert
EseEjja-ash-1-1,EseEjja-ash-1,kʷaki-maxo,2141,false,expert,,kʷ a + k i - + m a x o,false,expert
EseEjja-ash-2-1,EseEjja-ash-2,kʷaki-powi,2143,false,expert,,kʷ a + k i - + p o w i,false,expert
EseEjja-burnsomething-1-1,EseEjja-burnsomething-1,kiyo-,4532,false,expert,,k i j o,false,expert
EseEjja-burning-1-1,EseEjja-burning-1,hihi-,5297,false,expert,,h i ( h i - - - ),false,expert
EseEjja-lightignite-1-1,EseEjja-lightignite-1,hihi-,5297,false,expert,,h i ( h i - - - ),false,expert
EseEjja-lightignite-2-1,EseEjja-lightignite-2,košo-,2905,false,expert,,k o ʃ o,false,expert
EseEjja-lightignite-3-1,EseEjja-lightignite-3,ɗeʔɗo-,2178,false,expert,,ɗ e ʔ ɗ o,false,expert
EseEjja-extinguish-1-1,EseEjja-extinguish-1,čiyo-,2119,false,expert,,tʃ i - - + j o,false,expert
EseEjja-extinguish-2-1,EseEjja-extinguish-2,kixoyo-,3269,false,expert,,k i x o + j o,false,expert
EseEjja-extinguish-3-1,EseEjja-extinguish-3,čiʔ-,2119,false,expert,,tʃ i - - + ʔ -,false,expert
EseEjja-firewood-1-1,EseEjja-firewood-1,kʷa-ki,2139,false,expert,,kʷ a + k i -,false,expert
