ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Borrowing,Partial_Cognacy,Alignment,Morphemes,GroupedSounds
EseEjja-dust-1,,EseEjja,dust,meši-hahi,meši-hahi,m e ʃ i + h a h i,None,Key2021,2928,,,,None,3249 3251,m e ʃ i + h a h i,dust dust,"['m', 'e', 'ʃ', 'i', '+', 'h', 'a', 'h', 'i']"
EseEjja-mud-1,,EseEjja,mud,wašapa,wašapa,w a ʃ a p a,None,Key2021,5193,,,,None,7466,w a ʃ a p a,?,"['w', 'a', 'ʃ', 'a', 'p', 'a']"
EseEjja-sand-1,,EseEjja,sand,meši-hahi,meši-hahi,m e ʃ i + h a h i,None,Key2021,2928,,,,None,3249 3251,m e ʃ i + h a h i,dust dust,"['m', 'e', 'ʃ', 'i', '+', 'h', 'a', 'h', 'i']"
EseEjja-plain-1,,EseEjja,plain,haha-haha,haha-haha,h a h a + h a h a,None,Key2021,5559,,,,None,8535 8535,h a h a + h a h a,?,"['h', 'a', 'h', 'a', '+', 'h', 'a', 'h', 'a']"
EseEjja-water-1,,EseEjja,water,ena,ena,n a,None,Key2021,2210,,,,None,25,- - - n a ( - ),water,"['n', 'a']"
EseEjja-lake-1,,EseEjja,lake,ɓai,ɓai,ɓ a i,None,Key2021,4689,,,,None,6266,ɓ a i,lake,"['ɓ', 'a', 'i']"
EseEjja-springorwell-1,,EseEjja,springorwell,xani,xani,x a n i,None,Key2021,1432,,,,None,1677,x a n i,opening,"['x', 'a', 'n', 'i']"
EseEjja-springorwell-2,,EseEjja,springorwell,čixoko,čixoko,tʃ i x o k o,None,Key2021,1992,,,,None,226,tʃ i x o k o,?,"['tʃ', 'i', 'x', 'o', 'k', 'o']"
EseEjja-springorwell-3,,EseEjja,springorwell,eteoxi,eteoxi,t eo x i,None,Key2021,251,,,,None,10823,t eo x ( i ),?,"['t', 'eo', 'x', 'i']"
EseEjja-forest-1,,EseEjja,forest,eɓio,eɓio,ɓ i o,None,Key2021,4096,,,,None,460,ɓ i o,forest,"['ɓ', 'i', 'o']"
EseEjja-tree-1,,EseEjja,tree,akʷi,akʷi,a kʷ i,None,Key2021,5088,,,,None,72,- a kʷ i,tree,"['a', 'kʷ', 'i']"
EseEjja-sky-1,,EseEjja,sky,eya,eya,j a,None,Key2021,4198,,,,None,49,j a,sky,"['j', 'a']"
EseEjja-sun-1,,EseEjja,sun,išeki,išeki,i ʃ e k i,None,Key2021,377,,,,None,11157,( i ) ʃ e k i,?,"['i', 'ʃ', 'e', 'k', 'i']"
EseEjja-sun-2,,EseEjja,sun,ešeki,ešeki,ʃ e k i,None,Key2021,377,,,,None,11157,( - ) ʃ e k i,sun,"['ʃ', 'e', 'k', 'i']"
