# Wordlist

# DATA
ID	DOCULECT	FAMILY	SUBGROUP	CONCEPT	TOKENS	FORM	VALUE	COMMENT	SOURCE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT	COGID
#
260	EseEjja	Pano-Tacanan	Tacana	alcohol (fermented drink)	ʃ i x ʔ e n a	šixe-ʔena	šixe-ʔena		Key2021	3 7 3 1 7 4 7	AXMBYBZ	SIGHENA	9	9.S.C 9.I.V 9.G.c 9.H.C 9.E.V 9.N.C 9.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	ʃixʔena	0	1	ʃ i x - ʔ - e n - a -	7
771	HuarayoEseEjja	Pano-Tacanan	Tacana	alcohol (fermented drink)	e + i ʃ i + x i	e-iši-xi	e-iši-xi		Key2021	7 9 7 3 7 9 3 7	X_XBZ_AX	E_ISI_GI	10	10.E.V 10._._ 10.I.V 10.S.C 10.I.V 10._._ 10.G.C 10.I.V	1.5 0.0 1.5 1.75 0.8 0.0 2.0 1.5	e+iʃi+xi	1	5 2 6	e + - i ʃ i - + x i	8
772	HuarayoEseEjja	Pano-Tacanan	Tacana	alcohol (fermented drink)	b i ʃ o + n a	bi'šo-'na	bi'šo-'na		Key2021	1 7 3 7 9 4 7	AXBZ_AX	PISU_NA	10	10.P.C 10.I.V 10.S.C 10.U.V 10._._ 10.N.C 10.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	biʃo+na	0	2 1	b i ʃ o - + - - - - - - - n - a -	16
1642	Catuquina	Pano-Tacanan	Pano	alcohol (fermented drink)	k a ʂ a	kaṣ̌a	kaṣ̌a		Key2021	1 7 3 7	AXBZ	KASA	5	5.K.C 5.A.V 5.S.C 5.A.V	2.0 1.5 1.75 0.8	kaʂa	0	2	k a ʂ a -	3
2189	ShipiboConibo	Pano-Tacanan	Pano	alcohol (fermented drink)	p a ɨ	paɨ	paɨ		Key2021	1 7 7	AXZ	PAI	18	18.P.C 18.A.V 18.I.V	2.0 1.5 0.8	paɨ	0	2	p a - ɨ -	2
2190	ShipiboConibo	Pano-Tacanan	Pano	alcohol (fermented drink)	m o k a	moka	moka		Key2021	4 7 1 7	AXBZ	MUKA	18	18.M.C 18.U.V 18.K.C 18.A.V	2.0 1.5 1.75 0.8	moka	1	7	m o k a	18
2817	Yaminahua	Pano-Tacanan	Pano	alcohol (fermented drink)	m ã m ã	mãmã	mãmã		Key2021	4 7 4 7	AXBZ	MAMA	21	21.M.C 21.A.V 21.M.C 21.A.V	2.0 1.5 1.75 0.8	mãmã	0	7	m ã m ã	15
2818	Yaminahua	Pano-Tacanan	Pano	alcohol (fermented drink)	m ã m ã + p a ɨ a	mãmã paɨa	mãmã paɨa		Key2021	4 7 4 7 9 1 7 7 7	AXBZ_AXYZ	MAMA_PAIA	21	21.M.C 21.A.V 21.M.C 21.A.V 21._._ 21.P.C 21.A.V 21.I.V 21.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.3 0.8	mãmã+paɨa	0	7 2	m ã m ã + p a - ɨ a	15
3174	Amahuaca	Pano-Tacanan	Pano	alcohol (fermented drink)	h a j a t í/i	hayatí	hayatí		Hyde1980	3 7 6 7 1 7	AXBYBZ	HAJATI	1	1.H.C 1.A.V 1.J.C 1.A.V 1.T.C 1.I.V	2.0 1.5 1.75 1.3 1.75 0.8	hajatí/i	0	1	h a j - - - a - t í/i -	1
