ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	AUTOCOGID
252	EseEjja	alcohol (fermented drink)	šixe-ʔena	šixe-ʔena	ʃ i x e ʔ e n a	None	4	7
750	HuarayoEseEjja	alcohol (fermented drink)	e-iši-xi	e-iši-xi	i ʃ i	None	1197	2
751	HuarayoEseEjja	alcohol (fermented drink)	bi'šo-'na	bi'šo-'na	b i ʃ o n a	None	1204	2
1606	Catuquina	alcohol (fermented drink)	kaṣ̌a	kaṣ̌a	k a tʃ a	None	2358	3
2145	ShipiboConibo	alcohol (fermented drink)	paɨ	paɨ	p a ɨ	None	1596	2
2146	ShipiboConibo	alcohol (fermented drink)	moka	moka	m o k a	None	1260	8
2740	Yaminahua	alcohol (fermented drink)	mãmã	mãmã	m ã m ã	None	4998	8
2741	Yaminahua	alcohol (fermented drink)	mãmã paɨa	mãmã paɨa	m ã m ã p a ɨ a	None	4999	8
3089	Amahuaca	alcohol (fermented drink)	hayatí	hayatí	ʔ a j a t í/i	?	2	1
3838	Capanahua	alcohol (fermented drink)	pahe	pahe	p a ʔ ɨ	None	1247	2
4433	Moseten	alcohol (fermented drink)	'čukye	'čukye	tʃ u k j e	None	3	9
4434	Moseten	alcohol (fermented drink)	šokdʸeʔ	šokdʸeʔ	ʃ o k dʲ e.ʔ	None	0	11
4435	Movima	alcohol (fermented drink)	poʔ-so	poʔ-so	p o ʔ s o	None	3587	2
6623	Isconahua	alcohol (fermented drink)	oma	oma	o m a	None	1261	8
7469	Chipaya	alcohol (fermented drink)	lik-chi	lik-chi	l i k tʃ i	None	1162	6
8171	Cavinena	alcohol (fermented drink)	enajewe	enajewe	n a h e w e	None	3157	4
8602	Tacana	alcohol (fermented drink)	e-id’i	e-id’i	i ɽ i	None	1197	2
9020	Tsimane	alcohol (fermented drink)	ćhono’macdyes	ćhono’macdyes	tʃʰ o n o.ʔ m a k dʲ e s	None	941	10
9633	Chacobo	alcohol (fermented drink)	jënë-shapo	jënë-shapo	h ɨ n ɨ ʃ a p o	None	2476	5
423	EseEjja	all	oxaɲa	oxaɲa	o x a ɲ a	None	2726	17
424	EseEjja	all	wasee	wasee	w a s e.e	None	3077	24
1299	Cashibo	all	kamaβi	kamaβi	k a m a β i	None	2359	13
1751	Catuquina	all	kɨyo-s-ka	kɨyo-s-ka	k ɨ j o s k a	None	2149	12
2340	ShipiboConibo	all	-tiiβi	-tiiβi	t i i β i	None	2159	14
2341	ShipiboConibo	all	hatiβi	hatiβi	h a t i β i	None	2304	14
2904	Yaminahua	all	kɨyo-kõi	kɨyo-kõi	k ɨ j o k õ i	None	2150	12
3044	Amahuaca	all	quíyoo	quíyoo	k í/i j o.o	None	2149	12
3708	Capanahua	all	jatihibi, rahsi	jatihibi	h a t i ʔ i β i	None	1390	14
3709	Capanahua	all	jatihibi, rahsi	rahsi	r a ʔ s i	None	3077	22
4409	Moseten	all	e'rehtum	e'rehtum	e r e.h/e t u m	None	2917	19
4410	Movima	all	ɓa-ra	ɓa-ra	ɓ a r a	None	2273	20
5106	Matses	all	tedi	tedi	t e d i	None	2584	15
6005	Sharanahua	all	nantifi	nantifi	n a n t i β i	None	1641	14
6124	Kakataibo	all	kamabi	kamabi	k a m a β̞ i	None	2359	13
6624	Isconahua	all	aranabi	aranabi	a ɾ a n a β i	None	2834	18
7467	Chipaya	all	liju, thapa	liju	l i x u	None	2653	16
7468	Chipaya	all	liju, thapa	thapa	tʰ a p a	None	3226	23
8149	Cavinena	all	dutya	dutya	d u tʲ a	None	3158	15
8763	Tacana	all	pamapa	pamapa	p a m a p a	None	2427	13
9289	Tsimane	all	räj, tas	räj	r ə h	None	3077	21
9290	Tsimane	all	räj, tas	tas	t a s	None	1643	25
9627	Chacobo	all	jatiroha ca	jatiroha ca	h a t i r o ʔ a k a	None	2303	14
9913	Araona	all	babaohue	babaohue	b a b a o w e	None	2234	13
85	EseEjja	animal	ixiakaxi	ixiakaxi	i x i a k a x i	None	3990	30
1019	Cashibo	animal	ɲuina	ɲuina	ɲ u i n a	None	3906	27
1461	Catuquina	animal	yoʔina	yoʔina	j o ʔ i n a	None	3906	27
1945	ShipiboConibo	animal	yoina	yoina	j o i n a	None	3906	27
2578	Yaminahua	animal	yõinã	yõinã	j õ i n ã	None	3906	27
3109	Amahuaca	animal	chítu	chítu	tʃ í/i t ɨ	None	3270	26
4141	Capanahua	animal	yohinah	yohinah	j o ʔ i n a ʔ	None	3906	27
4164	Moseten	animal	hebak-'dʸe	hebak-'dʸe	h e b a k dʲ e	None	3285	31
4165	Movima	animal	popoi-kʷa	popoi-kʷa	p o p o i kʷ a	None	3282	32
5576	Sharanahua	animal	fishtui	fishtui	β i ʃ t ɨ i	None	4044	33
6125	Kakataibo	animal	ñuina	ñuina	ɲ ɯ i n a	None	3906	27
6625	Isconahua	animal	yoina	yoina	j o i n a	None	3906	27
7289	Chipaya	animal	uywa, yaticha	uywa	u j w a	None	3960	29
7290	Chipaya	animal	uywa, yaticha	yaticha	j a t i tʃ a	None	3859	26
8443	Cavinena	animal	upati, kwanubi	upati	u p a t i	None	3930	28
8444	Cavinena	animal	upati, kwanubi	kwanubi	kʷ a n u b i	None	4106	28
8478	Tacana	animal	animalu	animalu	a n i m a l u	None	4074	34
9137	Tsimane	animal	jebacdye’	jebacdye’	h e b a k dʲ e.ʔ	None	3285	31
9860	Chacobo	animal	yohina	yohina	j o ʔ i n a	None	3906	27
103	EseEjja	ant	šeme	šeme	ʃ e m e	None	4668	35
638	HuarayoEseEjja	ant	poxi aso	poxi aso	p o x i a s o	None	4806	39
1035	Cashibo	ant	ku'tiš	ku'tiš	k u t i ʃ	None	4779	38
1477	Catuquina	ant	hima	hima	h i m a	None	4668	35
1964	ShipiboConibo	ant	βona	βona	β o n a	None	5000	44
2594	Yaminahua	ant	ɨɨ	ɨɨ	ɨ ɨ	None	4869	40
3102	Amahuaca	ant	jíma	jíma	h í/i m a	None	4668	35
3722	Capanahua	ant	jisis, jiin, xehi	jisis	h i s i s	None	4751	37
3723	Capanahua	ant	jisis, jiin, xehi	jiin	h i i n	None	5101	37
3724	Capanahua	ant	jisis, jiin, xehi	xehi	ʂ ɨ ʔ i	None	4751	37
4166	Moseten	ant	kya'ki	kya'ki	k j a k i	None	4902	42
4167	Moseten	ant	a'yuša	a'yuša	a j u ʃ a	None	4837	47
4168	Movima	ant	či-heɬ	či-heɬ	tʃ i h e ɬ	None	4936	43
5107	Matses	ant	bacuë	bacuë	b a kʷ ɨ	None	3491	41
6126	Kakataibo	ant	ima	ima	i m a	None	4668	35
6127	Kakataibo	ant	ëu	ëu	ɨ ɯ	None	4869	40
6626	Isconahua	ant	e	e	ɨ	None	4869	40
6627	Isconahua	ant	ima	ima	i m a	None	4668	35
8699	Tacana	ant	id’ui	id’ui	i ɽ u i	None	5030	45
9344	Tsimane	ant	tayen’	tayen’	t a j e n.ʔ	None	5074	46
9953	Araona	ant	bototo	bototo	b o t o t o	None	4715	36
3854	Capanahua	approach	pataxquin	pataxquin	p a t a ʂ	None	199	49
4169	Moseten	approach	čeiʔ'yai	čeiʔ'yai	tʃ ei.ʔ j ai	None	229	56
4170	Movima	approach	nen-kʷa-niwa	nen-kʷa-niwa	n e n kʷ a n i w a	None	479	57
5577	Sharanahua	approach	fishtai	fishtai	β i ʃ t a i	None	556	58
6128	Kakataibo	approach	nërënkiti	nërënkiti	n ɨ ɾ ɨ n k i t i	None	420	55
7728	Chipaya	approach	zhkatzin-z, makat-z	zhkatzin-z	ʐ k a t z i n	None	390	54
7729	Chipaya	approach	zhkatzin-z, makat-z	makat-z	m a k a t	None	612	59
7896	Chacobo	approach	basimahaina	basimahaina	β a s i m a	None	358	53
8254	Cavinena	approach	jipe, sita	jipe	h i p e	None	2433	52
