CONCEPTICON_ID	CONCEPTICON_GLOSS
667	ROAD
2457	PATH OR ROAD
3696	THROW AWAY
2108	RAINING OR RAIN
1821	BRUSH
281	POST
1690	FENCE
480	PLATE
1844	BOAT
1845	BALL
2272	HOT OR WARM
2110	WARM (OF WEATHER)
1955	GRIEVE
1459	TURN
25	DIRT
1720	SIGN
723	PLACE (POSITION)
2118	MOUNTAIN OR HILL
2531	BROAD
2652	BROAD OR WIDE
2259	FLESH
2615	FLESH OR MEAT
3347	HIGH OR UP
363	DWELL (LIVE, RESIDE)
2295	SUNSET
2296	SUNRISE
2106	MALE PERSON
1326	DOWN
2911	BACKWARD
904	BERRY
57	ATOP
2142	RUN AWAY
2493	BOIL
3701	HOLLOW
411	GOURD
225	PESTLE
1350	MONKEY
3780	PET
282	POLE
1295	STICK
3883	NOISY
1786	DRY UP
2015	MAKE DRY
2012	COLLAR
1840	BUILD
860	CAUSE
1575	COCKROACH
1040	HAIR
3294	BRAID (VERB) OR WEAVE (BASKET)
3320	SNARE (TRAP)
2102	BURN
976	WEAR
1383	GRANDFATHER
1496	GRANDMOTHER
1063	NEPHEW
1327	UNCLE
1753	TOP
2614	SKIN (ANIMAL)
870	BREATH
493	FIVE	five	cinco	cinco
1500	FOUR	four	cuatro	quatro
3020	BREAK (BREAKING)	break (breaking)	romperse, quebrarse	quebrar(-se) / romper(-se)
3913	COUGH (ACT OF COUGHING)	cough (act of coughing)	toser	
3472	DANCE (MOVEMENT)	dance (movement)	baile, danza	
2117	DESIRE	desire	desear	
2866	DROP (SOMETHING)	drop (something)	dejar caer	deixar cair
3603	EARTH OR LAND	earth or land	tierra	TERRA / PAÍS
2486	HIDE	hide	esconder	ESCONDER
2324	GET WET	get wet	mojarse	
143	HUMID	humid	mojado	
785	STRONG	strong	fuerte	FORTE
3452	MUCH	much	mucho	
2112	OLD (AGED)	old (aged)	viejo	
2113	OLD (USED)	old (used)	usado, viejo (de cosas)	
2613	SKIN (HUMAN)	skin (human)	piel	
2271	THINK	think	pensar	pensar
8	CURSE	curse	maldecir	amaldiçoar
21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto
46	HOLLOW OUT	hollow out	ahuecar	esburacar, cavar
78	THAT	that	eso, ese, aquel	esse
129	CHOKE	choke	sofocar	sufocar
162	HICCOUGH	hiccough	tener hipo	soluço
155	CHOP	chop	tajar, cortar	
179	RIPEN	ripen	madurar	
231	SHAVE	shave	afeitarse	nadadeira
232	FLEA	flea	pulga	pulga
269	COOKED	cooked	cocido, cocinado	cozinhado, cozido
320	LAME	lame	lisiado	coxo
377	LOUD	loud	ruidoso	ruidoso, barulhento
379	BLUNT	blunt	romo, embotado	embotado, rombudo
388	FISHNET	fishnet	red, atarraya	rede de pesca
463	FELL (A TREE)	fell (a tree)	talar, tumbar, derribar	
505	PARENTS	parents	padres	pais
544	SPICY	spicy	picante	
580	FUR	fur	pellejo	pelo
612	HEAT	heat	calor	
614	HILL	hill	cerro, colina	
641	MUSHROOM	mushroom	seta	cogumelo
675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes
681	DESTROY	destroy	destruir	destruir
690	BOTTOM	bottom	fondo	fundo
696	STIR	stir	agitar, revolver	
699	SAD	sad	triste	TRISTE (ZA)
739	FEED	feed	alimentar, dar de comer	
750	DROP	drop	caer	
773	HAVE	have	tener	ter
813	DO	do	hacer	fazer
999	JOINT	joint	articulaciones	
1005	TWINS	twins	gemelos, mellizos	gêmeos
1043	BRAID	braid	trenzar	trança
1096	SONG	song	canción	
1129	PAINFUL	painful	doloroso	
1142	URINE	urine	orina	urina
1182	NOISE	noise	ruido	
1214	THIS	this	este	este
1232	WARM	warm	tibio, cálido	quente, cálido
1250	JAGUAR	jaguar	jaguar	onça pintada
1253	RAIN (RAINING)	rain (raining)	llover	
1275	ANSWER	answer	contestar, responder	responder
1334	GUTS	guts	intestinos, tripas	vísceras
1340	WITH	with	con	
1341	HEAT UP	heat up	calentar	
1363	VOICE	voice	voz	voz
1411	LIE (REST)	lie (rest)	acostarse	DEITAR (-SE)
1419	FEAR (BE AFRAID)	fear (be afraid)	tener miedo	ter medo
1422	BE ALIVE	be alive	vivo	vivo
1434	STAB	stab	achurar, acuchillar	
1448	HOLD	hold	tener (en mano), apoyar	segurar, agarrar
1454	WIPE	wipe	limpiar	
1473	FIST	fist	puño	
1490	RAT	rat	rata	RATO
1510	CHIN	chin	barbilla, mentón	queixo
1512	RISE (ONESELF)	rise (oneself)	alzarse,  levantarse	
1520	CRUSH	crush	machacar, aplastar	
1542	ACCOMPANY	accompany	acompañar	vinho
1531	BRANCH	branch	rama	galho
1533	BE HUNGRY	be hungry	tener hambre, hambriento	TER FOME
1577	AND	and	y	e
1588	TURN	turn	girar, voltearse	virar
1615	ESCAPE	escape	escapar	
1660	LOSE	lose	perder	
1674	POOR	poor	pobre	pobre
1741	ABOVE	above	encima	encima
1827	HARVEST CROPS	harvest crops	cosechar	
1860	BEAD	bead	chaquira, perla	contas, miçanga
1883	IN FRONT OF	in front of	delante	frente
1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR
1986	DISEASE	disease	enfermedad (dolencia)	
2069	SOAK (VERB)	soak (verb)	mojar	
2124	SMELL	smell	olor	cheirar
2159	GROUND	ground	suelo, piso	
2223	BE ANGRY	be angry	enojado	
2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien	
2297	DUSK	dusk	anochecer, atardecer	
