CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE
2	DUST	dust	polvo	pó
6	FILL	fill	llenar	terremoto
7	GATHER	gather	colectar, reunir, compilar, recopilar	colecionar, reunir
8	CURSE	curse	maldecir	amaldiçoar
10	FIREWOOD	firewood	leña	lenha
11	DARKNESS	darkness	oscuridad, tinieblas	escuridão
21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto
25	DIRT	dirt	suciedad	
38	SPREAD OUT	spread out	extender, esparcir	estender, espalhar
42	STINKING	stinking	apestando	fedorento, mal cheiroso
46	HOLLOW OUT	hollow out	ahuecar	esburacar, cavar
48	BE SILENT	be silent	callarse	ficar em silêncio
52	SHIVER	shiver	temblar	tremer
57	ATOP	atop	encima, sobre	sobre
66	KNEEL	kneel	arrodillarse	ajoelhar
72	CLAW	claw	pinza	unha
76	YOUNG MAN	young man	jóven	rapaz
77	YOUNG WOMAN	young woman	jóven mujer	moça
78	THAT	that	eso, ese, aquel	esse
98	ALL	all	todo	tudo, todo
112	TURTLE	turtle	tortuga, motelo	tartaruga
119	DIVE	dive	zambullirse	mergulhar
121	SPIN	spin	hilar	fiar
123	FOREHEAD	forehead	frente (la)	testa, fronte
124	THORN	thorn	espina	espinho
127	EXTINGUISH	extinguish	apagar	extinguir
129	CHOKE	choke	sofocar	sufocar
133	WEAVE	weave	tejer	tecer
136	HERE	here	aquí	aqui
138	BATHE	bathe	bañarse	tomar banho
141	BURN (SOMETHING)	burn (something)	quemar, quemarse	queimar, incendiar
143	HUMID	humid	mojado	
156	RED	red	rojo	vermelho
159	SWEET POTATO	sweet potato	camote, boniato, batata	batata-doce
162	HICCOUGH	hiccough	tener hipo	soluço
163	BLACK	black	negro	preto, negro
165	CHOP	chop	tajar, cortar	
168	REST	rest	descansar	descansar
175	BLOW (OF WIND)	blow (of wind)	soplar	soprar
178	RIPE	ripe	maduro	maduro
179	RIPEN	ripen	madurar	
189	HAIR (BODY)	hair (body)	vello (del cuerpo)	cabelo, pêlo
195	MAT	mat	petate	tapete
203	MARRY	marry	casarse	casar
208	NASAL MUCUS (SNOT)	nasal mucus (snot)	moco	muco
212	FIELD	field	chacra, campo	roça
213	SHAVE	shave	aleta	nadadeira
214	STRETCH	stretch	tender, alargar, estirar	esticar
215	LIE DOWN	lie down	acostarse, echarse	deitar-se
221	FIRE	fire	fuego	fogo
225	PESTLE	pestle	mano de mortero	socador (do pilão)
227	FISH	fish	pez, pescado	peixe
232	FLEA	flea	pulga	pulga
239	FLOWER	flower	flor	inflorescência
244	LEFT	left	izquierdo	esquerdo
249	FOG	fog	niebla	névoa
251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR
256	FOOD	food	comida	alimento
269	COOKED	cooked	cocido, cocinado	cozinhado, cozido
275	PEEL	peel	pelar	descascar
281	POST	post	poste	poste, vara
282	POLE	pole	palo, polo	
297	CROOKED	crooked	torcido	torcido, torto
301	CHIEFTAIN	chieftain	jefe, cacique	chefe, cacique
307	HAWK	hawk	halcón	gavião
318	FOOTPRINT	footprint	huella	pegada
319	LICK	lick	lamer	lamber
320	LAME	lame	lisiado	coxo
321	CHEW	chew	masticar	mastigar, mascar
323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)	grasa	gordura
352	UNTIE	untie	desatar	desatar
360	FAN (ACTION)	fan (action)	abanicar, aventar	ventilar, abanar
363	DWELL (LIVE, RESIDE)	dwell (live,  reside)	vivir, habitar	morar, residir
371	PICK UP	pick up	recoger	captar
377	LOUD	loud	ruidoso	ruidoso, barulhento
378	PINCH	pinch	pellizcar	beliscar
379	BLUNT	blunt	embotado, romo	embotado, rombudo
380	WRINKLED	wrinkled	arrugado	enrugado
388	FISHNET	fishnet	red, atarraya	rede de pesca
404	ALCOHOL (FERMENTED DRINK)	alcohol (fermented drink)	bebida fermentada	bebida fermentada
406	OLD MAN	old man	hombre viejo	velho
411	GOURD	gourd	jícara	cabaça
420	FOREST	forest	selva	floresta, mata
423	GET LOST	get lost	perderse	PERDER-SE
463	FELL (A TREE)	fell (a tree)	talar, tumbar, derribar	
471	UPPER LEG (THIGH)	upper leg (thigh)	muslo	coxa
478	LIP	lip	labio	lábios
479	GROW	grow	crecer	crescer
480	PLATE	plate	plato	prato
489	KIDNEY	kidney	riñón	rim
492	THREE	three	tres	três
493	FIVE	five	cinco	cinco
499	CURE	cure	curar	sarar, curar
501	LIFT	lift	levantar	levantar, içar
503	FROG	frog	rana	rã
505	PARENTS	parents	padres	pais
506	MAIZE	maize	maíz	milho
539	NEST	nest	nido	ninho
544	SPICY	spicy	picante	
549	COPULATE	copulate	tirar, tener relaciones sexuales	ter relações sexuais
580	FUR	fur	peludo	pelo
581	COME BACK	come back	volver, regresar	voltar, regressar
587	ANT	ant	hormiga	formiga
590	NAKED	naked	desnudo	despido, nu
592	PISS	piss	orinar	urinar
593	POTATO	potato	papa	batata
601	LIE (MISLEAD)	lie (mislead)	mentir	mentir
602	HIDE (CONCEAL)	hide (conceal)	esconder (algo)	esconder
606	GRASS	grass	pasto, hierba	grama
612	HEAT	heat	calor	
614	HILL	hill	colina	
619	ANIMAL	animal	animal	animal, bicho
624	LAKE	lake	lago	lago
628	LEAF	leaf	hoja de árbol	folha
630	LIGHT (RADIATION)	light (radiation)	luz	luz
632	LIZARD	lizard	lagartija	lagarto
634	MEAT	meat	carne	carne
635	MILK	milk	leche	leite
639	MOUNTAIN	mountain	montaña, monte	serra
640	MUD	mud	lodo	lama, lodo
641	MUSHROOM	mushroom	seta	cogumelo
646	ASH	ash	cenizas	cinzas
652	PLAIN	plain	llanura	campo, planície, savannah
658	RAIN (PRECIPITATION)	rain (precipitation)	lluvia	chuva
665	BEE	bee	abeja	abelha
666	RIVER	river	río	rio
667	ROAD	road	carretera	estrada, caminho
670	ROOT	root	ráiz	raiz
671	SAND	sand	arena	areia
674	MOUTH	mouth	boca	boca
675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes
676	SHIT (DEFECATE)	shit (defecate)	defecar, excremento (noun)	defecar
677	AXE	axe	hacha	machado
678	BEARD	beard	barba	barba
679	BRIGHT	bright	brillante, resplandor	claro, brilhante
680	BREAK (DESTROY OR GET DESTROYED)	break (destroy or get destroyed)	romper	romper, quebrar
681	DESTROY	destroy	destruir	destruir
682	SIDE	side	lado, costado	lado
683	PERSON	person	persona, ser humano	pessoa, ser humano
688	LUNG	lung	pulmón	pulmão
689	BETWEEN	between	entre	
690	BOTTOM	bottom	fondo	fundo
692	BRING	bring	traer	trazer
694	GET	get	obtener (recibir)	obter, conseguir
695	GO	go	ir	ir
696	STIR	stir	revolver	
699	SAD	sad	triste	TRISTE (ZA)
700	CARRY	carry	cargar	levar
704	CLEAN	clean	limpio	limpo
705	GO UP (ASCEND)	go up (ascend)	subir	subir
706	DARK	dark	oscuro	escuro
707	REMEMBER	remember	recordar	lembrar-se
708	SHINE	shine	brillar	brilhar
713	STEAL	steal	robar	roubar
714	SEED	seed	semilla	semente
715	SHOUT	shout	gritar	gritar
717	SWEET	sweet	dulce	doce
719	FIND	find	encontrar, hallar	achar, encontrar
723	PLACE (POSITION)	place (position)	lugar, sitio	espaço, lugar
728	FIRST	first	primero	primeiro
729	DAWN	dawn	madrugada	amanhecer
730	SNAKE	snake	serpiente	cobra
731	BEVERAGE	beverage	bebida	bebida
735	OWL	owl	lechuza	mocho, coruja
737	LIGHT (IGNITE)	light (ignite)	encender	acender, atear
738	THING	thing	cosa	coisa
739	FEED	feed	nutrir	
744	EGG	egg	huevo	ovo
749	ENTER	enter	entrar	entrar
750	DROP	drop	caer	
