ID	Name	Glottocode	SubGroup	Source
Amahuaca	Amawaka	amah1246	Pano	Hyde1980
Araona	Araona	arao1248	Tacana	Pitman1981
Capanahua	Kapanawa	capa1241	Pano	Loos1998
Cashibo	Kashibo	cash1251	Pano	Key2021
Catuquina	Katukina	pano1254	Pano	Key2021
Cavinena	Cavineña	cavi1250	Tacana	Guillaume2008
Chacobo	Chákobo	chac1251	Pano	Zingg1998
Chipaya	Chipaya	chip1262	Uru-Chipaya	Cerron2011
EseEjja	Ese Ejja	esee1248	Tacana	Key2021
HuarayoEseEjja	Ese Ejja (Huarayo)	esee1248	Tacana	Key2021
Isconahua	Iskonawa	isco1239	Pano	Zariquiey2016
Kakataibo	Kakataibo	cash1251	Pano	Zariquiey2018
Matses	Matses	mats1244	Pano	Fleck2012
Moseten	Mosetén	mose1249	Mosetén	Key2021
Movima	Movima	movi1243	Movima	Key2021
Sharanahua	Sharanawa	shar1245	Pano	Scott2004
ShipiboConibo	Shipibo-Konibo	ship1254	Pano	Key2021
Tacana	Tacana	taca1256	Tacana	Ottaviano1989
Tsimane	Tsimane	chim1313	Mosetén	Gill1993
Yaminahua	Yaminawa	yami1256	Pano	Key2021
Kaxarari	Kashararí	kaxa1239	Pano	Oliveira2014
