CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH
619	ANIMAL	animal
1387	ARRIVE	arrive
977	ARROW	arrow
646	ASH	ash
2004	BEND	bend
887	BITTER	bitter
163	BLACK	black
1394	BONE	bone
994	BOW	bow
679	BRIGHT	bright
1895	CLOTHES	clothes
581	COME BACK	come back
1100	COOK (SOMETHING)	cook (something)
1850	COTTON	cotton
1432	CUT	cut
1230	DIRTY	dirty
1401	DRINK	drink
1398	DRY	dry
1247	EAR	ear
1248	EYE	eye
1560	FACE	face
1258	FINGERNAIL	fingernail
1574	FLOAT	float
1504	FLY (INSECT)	fly (insect)
695	GO	go
1425	GREEN	green
1256	HEAD	head
1667	HOLE	hole
1393	HORN (ANATOMY)	horn (anatomy)
1829	JUMP	jump
1417	KILL	kill
1355	LAUGH	laugh
640	MUD	mud
1333	NECK	neck
1156	OPEN	open
480	PLATE	plate
281	POST	post
1452	PUSH	push
998	PUT	put
1218	ROPE	rope
1457	SEW	sew
1246	SMALL	small
1621	SNEEZE	sneeze
1623	SPEAK	speak
1437	SPLIT	split
906	TREE	tree
1453	WASH	wash
948	WATER	water
1219	WORM	worm
380	WRINKLED	wrinkled
665	BEE	bee
1202	BIG	big
937	BIRD	bird
806	BLANKET	blanket
700	CARRY	carry
704	CLEAN	clean
1046	SHUT	shut
1616	CLOTH	cloth
506	MAIZE	maize
761	COVER	cover
1593	DEEP	deep
676	SHIT (DEFECATE)	shit (defecate)
1973	DEMON	demon
1336	EAT	eat
744	EGG	egg
1280	FALL	fall
1406	FAR	far
323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)
1423	FIGHT	fight
227	FISH	fish
1301	FOOT	foot
1429	FULL	full
1035	GOOD	good
606	GRASS	grass
1408	HEAR	hear
602	HIDE (CONCEAL)	hide (conceal)
1864	HUNGER	hunger
489	KIDNEY	kidney
1371	KNEE	knee
1410	KNOW (SOMETHING)	know (something)
628	LEAF	leaf
1297	LEG	leg
1052	LIGHT (WEIGHT)	light (weight)
601	LIE (MISLEAD)	lie (mislead)
215	LIE DOWN	lie down
1392	LOUSE	louse
1554	MAN	man
203	MARRY	marry
634	MEAT	meat
1350	MONKEY	monkey
1405	NAME	name
1267	NARROW	narrow
1838	NAVEL	navel
539	NEST	nest
1231	NEW	new
1233	NIGHT	night
1376	NOW	now
907	OLD WOMAN	old woman
275	PEEL	peel
378	PINCH	pinch
1913	PRESS	press
156	RED	red
1644	RELATIVES	relatives
801	RIB	rib
1575	COCKROACH	cockroach
769	ROOF	roof
1274	SALT	salt
1458	SAY	say
1767	SCRAPE	scrape
1409	SEE	see
1847	SICK	sick
48	BE SILENT	be silent
763	SKIN	skin
1587	SMELL (STINK)	smell (stink)
1585	SLEEP	sleep
1414	SQUEEZE	squeeze
713	STEAL	steal
214	STRETCH	stretch
1343	SUN	sun
1220	TAIL	tail
1161	THREAD	thread
1346	THROAT	throat
1150	THUNDER	thunder
1917	TIE	tie
1380	TOOTH	tooth
1958	UNRIPE	unripe
1784	WANT	want
1335	WHITE	white
962	WOMAN	woman
1109	WOUND	wound
