CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM	DOCULECT
744	EGG	egg	huevo	ovo	bachi	Capanahua
539	NEST	nest	nido	ninho	bachi, naja, baquejati	Capanahua
1423	FIGHT	fight	pelear	lutar	bahchinnani	Capanahua
2457	PATH OR ROAD	path or road	camino, sendero, trocha	CAMINHO	bahi	Capanahua
2252	PATH	path	trocha	caminho, vereda	bahi	Capanahua
1174	YESTERDAY	yesterday	ayer	ontem	bahquish	Capanahua
1329	TOMORROW	tomorrow	mañana	amanhã	bahquish	Capanahua
1879	DANCE	dance	bailar	dançar	bairahti, mahshahihqui	Capanahua
1486	PLANT (SOMETHING)	plant (something)	plantar, sembrar	plantar, semear	banaquin	Capanahua
1646	GIRL	girl	niña	menininha	baque	Capanahua
1304	CHILD (YOUNG HUMAN)	child (young human)	niño	criança, menino	baque	Capanahua
1366	BOY	boy	niño (chico)	menino, garoto	baque	Capanahua
1343	SUN	sun	sol	sol	bari	Capanahua
1342	SUMMER	summer	verano	verão	baritian	Capanahua
1226	YEAR	year	año	ano	baritian, bari	Capanahua
717	SWEET	sweet	dulce	doce	batani	Capanahua
981	ELBOW	elbow	codo	cotovelo	baxpoxco	Capanahua
1883	IN FRONT OF	in front of	delantero, delante	frente	bebo	Capanahua
213	SHAVE	shave	aleta	nadadeira	behma	Capanahua
1231	NEW	new	nuevo	novo	behna	Capanahua
1046	SHUT	shut	cerrar	fechar	behpoquib, besmiquin	Capanahua
1096	SONG	song	canción		behua	Capanahua
1560	FACE	face	cara	rosto	bemanan, besh, behonx	Capanahua
1468	LOOK FOR	look for	buscar (mirar)	buscar, procurar	benaquin	Capanahua
1200	HUSBAND	husband	marido, esposo	marido	bene	Capanahua
1248	EYE	eye	ojo	olho	bero	Capanahua
714	SEED	seed	semilla	semente	bero	Capanahua
1651	TEAR (OF EYE)	tear (of eye)	lágrima	lágrima	bero jene	Capanahua
1340	WITH	with	con		betan	Capanahua
1173	EYEBROW	eyebrow	frente	sobrancelhas	betonco, bemanan	Capanahua
763	SKIN	skin	piel, cutis, pellejo	pele, couro	bichi, rah	Capanahua
1509	MOSQUITO	mosquito	zancudo	mosquito	bii, chiquibin	Capanahua
1507	FRUIT	fruit	fruto	fruta	bimi	Capanahua
1517	WASP	wasp	avispa	vespa	bina	Capanahua
1519	RUN	run	correr	correr	bishquihihqui, hishtohi	Capanahua
1355	LAUGH	laugh	reír	rir	bitsati	Capanahua
119	DIVE	dive	zambullirse	mergulhar	boasihti	Capanahua
1591	UP	up	arriba, encima	em cima, sôbre	bochiqui, machi	Capanahua
1429	FULL	full	lleno	estar cheio	bohas, bocho	Capanahua
1475	COMB	comb	peine	pente	bohuexehti	Capanahua
2070	COMB (VERB)	comb (verb)	peinar		bohuexquin	Capanahua
942	HONEY	honey	miel	mel	bona jajene	Capanahua
2648	HAIR (HEAD)	hair (head)	cabello, pelo	cabelo	boo	Capanahua
1040	HAIR	hair	pelo	pelo	boo, rani	Capanahua
2468	BAG	bag	bolso		borasa	Capanahua
