# Wordlist

# DATA
ID	FORM	SEGMENTS	DOCULECT	FAMILY	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOTTOCODE
#
223887	Teus	t e u s	Ninam (Shirishana variety)	Yanomamic	God	1944	GOD	nina1238
224821	tiosi	t i o s i	Yanomámi	Yanomamic	God	1944	GOD	yano1262
241840	yooš	y/j oː ʃ	Chipaya	Uru-Chipaya	God	1944	GOD	chip1262
242996	'hen	h e n	Mosetén	Mosetén-Chimané	God	1944	GOD	mose1249
244133	baba	b a b a	Araona	Pano-Tacanan	God	1944	GOD	arao1248
245134	yoso	y/j o s o	Cavineña	Pano-Tacanan	God	1944	GOD	cavi1250
246820	e-dosi-kiana	e + d o s i + k i a n a	Ese Ejja (Huarayo)	Pano-Tacanan	God	1944	GOD	esee1248
248001	dioso	d i o s o	Tacana	Pano-Tacanan	God	1944	GOD	taca1256
252314	rios	r i o s	Shipibo-Conibo	Pano-Tacanan	God	1944	GOD	ship1254
252315	iβo	i β o	Shipibo-Conibo	Pano-Tacanan	God	1944	GOD	ship1254
253668	nios	n i o s	Yaminahua	Pano-Tacanan	God	1944	GOD	yami1256
254820	ko'dapapa	k o d a p a p a	Cayuvava	Cayubaba	God	1944	GOD	cayu1262
254821	o'dapapa	o d a p a p a	Cayuvava	Cayubaba	God	1944	GOD	cayu1262
256757	dios	d i o s	Movima	Movima	God	1944	GOD	movi1243
#
223005	kami-ye	k a m i + y/j e	Ninam (Shirishana variety)	Yanomamic	I	1209	I	nina1238
223006	ya	y/j a	Ninam (Shirishana variety)	Yanomamic	I	1209	I	nina1238
223994	ya	y/j a	Yanomámi	Yanomamic	I	1209	I	yano1262
240951	werx	w e r x	Chipaya	Uru-Chipaya	I	1209	I	chip1262
240952	wexr-ki	w e x r + k i	Chipaya	Uru-Chipaya	I	1209	I	chip1262
241976	yo'ẽ	y/j o ẽ	Mosetén	Mosetén-Chimané	I	1209	I	mose1249
243136	ema	e m a	Araona	Pano-Tacanan	I	1209	I	arao1248
243137	yama	y/j a m a	Araona	Pano-Tacanan	I	1209	I	arao1248
244253	i-ke	i + k e	Cavineña	Pano-Tacanan	I	1209	I	cavi1250
245266	eya	e y/j a	Ese Ejja	Pano-Tacanan	I	1209	I	esee1248
245267	eaya	e a y/j a	Ese Ejja	Pano-Tacanan	I	1209	I	esee1248
246216	e-ya	e + y/j a	Ese Ejja (Huarayo)	Pano-Tacanan	I	1209	I	esee1248
