DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Amahuaca	2	DUST	dust	polvo	pó	póto
Amahuaca	6	FILL	fill	llenar	terremoto	míyan
Amahuaca	7	GATHER	gather	colectar, reunir, compilar, recopilar	colecionar, reunir	
Amahuaca	8	CURSE	curse	maldecir	amaldiçoar	
Amahuaca	10	FIREWOOD	firewood	leña	lenha	cáro
Amahuaca	11	DARKNESS	darkness	oscuridad, tinieblas	escuridão	
Amahuaca	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto	páxcaquín
Amahuaca	25	DIRT	dirt	suciedad		
Amahuaca	38	SPREAD OUT	spread out	extender, esparcir	estender, espalhar	putááquin
Amahuaca	42	STINKING	stinking	apestando	fedorento, mal cheiroso	
Amahuaca	46	HOLLOW OUT	hollow out	ahuecar	esburacar, cavar	cháxquin
Amahuaca	48	BE SILENT	be silent	callarse	ficar em silêncio	níshmaahí
Amahuaca	52	SHIVER	shiver	temblar	tremer	pári-paríhqui
Amahuaca	57	ATOP	atop	encima, sobre	sobre	
Amahuaca	66	KNEEL	kneel	arrodillarse	ajoelhar	rámuncóhohí
Amahuaca	72	CLAW	claw	pinza	unha	
Amahuaca	76	YOUNG MAN	young man	jóven	rapaz	maxó
Amahuaca	77	YOUNG WOMAN	young woman	jóven mujer	moça	xóntacó
Amahuaca	78	THAT	that	eso, ese, aquel	esse	jáá
Amahuaca	98	ALL		todo		quíyoo
Amahuaca	112	TURTLE	turtle	tortuga, motelo	tartaruga	xaú
Amahuaca	119	DIVE	dive	zambullirse	mergulhar	
Amahuaca	121	SPIN		hilar		yócquín, máyahí
Amahuaca	123	FOREHEAD	forehead	frente (la)	testa, fronte	vúcuzánti
Amahuaca	124	THORN	thorn	espina	espinho	híshpi, móxa
Amahuaca	127	EXTINGUISH	extinguish	apagar	extinguir	nocáquin
Amahuaca	129	CHOKE	choke	sofocar	sufocar	
Amahuaca	133	WEAVE	weave	tejer	tecer	tópiquín
Amahuaca	136	HERE	here	aquí	aqui	nunó
Amahuaca	138	BATHE	bathe	bañarse	tomar banho	náxihí
Amahuaca	141	BURN (SOMETHING)		quemar, quemarse		cóhaquín
Amahuaca	143	HUMID	humid	mojado		múcha
Amahuaca	156	RED		rojo		vínshin
Amahuaca	159	SWEET POTATO	sweet potato	camote, boniato, batata	batata-doce	cári
Amahuaca	162	HICCOUGH	hiccough	tener hipo	soluço	
Amahuaca	163	BLACK		negro		cúchuxún
Amahuaca	165	CHOP	chop	tajar, cortar		
Amahuaca	168	REST		descansar		jóvinhí
Amahuaca	175	BLOW (OF WIND)		soplar		xóónhqui
Amahuaca	178	RIPE	ripe	maduro	maduro	caní, jóvu
Amahuaca	179	RIPEN	ripen	madurar		vánbihí, jóvuhí
Amahuaca	189	HAIR (BODY)	hair (body)	vello (del cuerpo)	cabelo, pêlo	xaní
Amahuaca	195	MAT	mat	petate	tapete	
Amahuaca	203	MARRY	marry	casarse	casar	haínquin, vunúquin
Amahuaca	208	NASAL MUCUS (SNOT)	nasal mucus (snot)	moco	muco	
Amahuaca	212	FIELD	field	chacra, campo	roça	naú, vái
Amahuaca	213	SHAVE	shave	aleta	nadadeira	cashpí
Amahuaca	214	STRETCH	stretch	tender, alargar, estirar	esticar	putááquin
Amahuaca	215	LIE DOWN		acostarse, echarse		rácaahí
Amahuaca	221	FIRE		fuego		chíhi, júrupán
Amahuaca	225	PESTLE	pestle	mano de mortero	socador (do pilão)	
Amahuaca	227	FISH	fish	pez, pescado	peixe	
Amahuaca	232	FLEA		pulga		híya
Amahuaca	239	FLOWER		flor		jová
Amahuaca	244	LEFT		izquierdo		poquíhri
Amahuaca	249	FOG		niebla		níshvun
Amahuaca	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	cúnoquín
Amahuaca	256	FOOD		comida		píti, jírití
Amahuaca	269	COOKED	cooked	cocido, cocinado	cozinhado, cozido	jová
Amahuaca	275	PEEL		pelar		xócaquín
Amahuaca	281	POST	post	poste	poste, vara	
Amahuaca	282	POLE	pole	palo, polo		jíí
Amahuaca	297	CROOKED	crooked	torcido	torcido, torto	cházton, vúquiquín
Amahuaca	301	CHIEFTAIN	chieftain	jefe, cacique	chefe, cacique	coshí, hápo
Amahuaca	307	HAWK	hawk	halcón	gavião	
Amahuaca	318	FOOTPRINT	footprint	huella	pegada	
Amahuaca	319	LICK	lick	lamer	lamber	táxoquín
Amahuaca	320	LAME	lame	lisiado	coxo	
Amahuaca	321	CHEW	chew	masticar	mastigar, mascar	nácaquin
Amahuaca	323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)	grasa	gordura	
Amahuaca	352	UNTIE	untie	desatar	desatar	púcaquín
Amahuaca	360	FAN (ACTION)	fan (action)	abanicar, aventar	ventilar, abanar	púunquin
Amahuaca	363	DWELL (LIVE, RESIDE)	dwell (live,  reside)	vivir, habitar	morar, residir	jáhi
Amahuaca	371	PICK UP	pick up	recoger	captar	
Amahuaca	377	LOUD	loud	ruidoso	ruidoso, barulhento	
Amahuaca	378	PINCH	pinch	pellizcar	beliscar	hótuxquín
Amahuaca	379	BLUNT	blunt	embotado, romo	embotado, rombudo	
Amahuaca	380	WRINKLED	wrinkled	arrugado	enrugado	chónpi
Amahuaca	388	FISHNET	fishnet	red, atarraya	rede de pesca	
