ID	DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE
ID	DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE
76	Maxuruna	493	FIVE	mukenapite
152	MayorunaFera	1500	FOUR	daraim-pa
210	JaunAvo	1500	FOUR	eranbue narábue
211	JaunAvo	493	FIVE	mueken tüna
290	Culino	1500	FOUR	taküyuwukuin
291	Culino	493	FIVE	takütakurasi
440	MayorunaJandiatuba	1500	FOUR	uát
441	MayorunaJandiatuba	1500	FOUR	uát
442	MayorunaJandiatuba	493	FIVE	in-uá
606	RemoBlanco	195	MAT	pichi
629	RemoBlanco	1500	FOUR	umaui
630	RemoBlanco	493	FIVE	umaan
650	RemoMoa	1500	FOUR	rabïribinorabïribi
651	RemoMoa	493	FIVE	rámi'o mïkïli
770	Reyesano	493	FIVE	pis̆ika
772	Reyesano	1500	FOUR	pos̆i
810	Maxuruna	1500	FOUR	tapukische
1193	EseEjja	195	MAT	ɓexepi
1306	EseEjja	1500	FOUR	e-ɓe'ka-ɓeepeaai
1691	HuarayoEseEjja	195	MAT	xepi
1692	HuarayoEseEjja	195	MAT	e-šihi yobo sipi
1773	HuarayoEseEjja	493	FIVE	e'me
2131	Cashibo	195	MAT	pi'ši
2586	Catuquina	195	MAT	pičĩ
2679	Catuquina	493	FIVE	mɨβi hama-ʔori-tiʔi
3246	ShipiboConibo	195	MAT	pišĩ
3247	ShipiboConibo	195	MAT	kawĩ
3382	ShipiboConibo	493	FIVE	pičika
3880	Yaminahua	195	MAT	pĩši
3983	Yaminahua	1500	FOUR	koatoro
3984	Yaminahua	493	FIVE	sĩkko
4920	Capanahua	493	FIVE	pichca
4968	Capanahua	1500	FOUR	rabénon rabé, chosco
5241	Matis	493	FIVE	mɨkan atßuwiß ted
5243	Matis	1500	FOUR	mɨkan ted
5875	Moseten	195	MAT	to'bo
5876	Moseten	195	MAT	to'woh
5877	Movima	195	MAT	powol
6618	Nucuyni	195	MAT	rustate
6748	Maropa	1500	FOUR	puschi
6749	Maropa	493	FIVE	pi-schi-ka
6911	Matses	493	FIVE	mëdante auc abentsëc ted
6935	Matses	1500	FOUR	daëd-daëd
7021	Matses	195	MAT	pisid
7428	Sharanahua	493	FIVE	mucu fusti
7453	Sharanahua	1500	FOUR	rafu non rafuri
