ID	DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE
	Kaxarari	802	ADAM'S APPLE	tɨbuˈɾu
	Kaxarari	2438	CAIMAN	kapɨˈtɨ
	Kaxarari	3929	BRAZILIAN CEDAR	ʃakwaˈʂa
	Kaxarari	2389	COATI (COATIMUNDI)	ʃiʃiˈwa
	Kaxarari	1340	WITH	bɨ
	Kaxarari	313	AGOUTI	matʃahi
	Kaxarari	2350	EARTHWORM	njuˈ'i
	Kaxarari	2350	EARTHWORM	oˈli
	Kaxarari	675	FAECES (EXCREMENT)	puj̃kiˈli
	Kaxarari	433	HOWLER MONKEY	ˈtʃhɨʔɨ
	Kaxarari	1040	HAIR	tʃɐˈniˈʔi
	Kaxarari	1211	HE	ha
	Kaxarari	612	HEAT	itsiˈsi
	Kaxarari	3949	RED-FOOTED TORTOISE	ʃaˈwɨ
	Kaxarari	437	GUAN	kiˈwi
	Kaxarari	1250	JAGUAR	inaˈwa
	Kaxarari	1250	JAGUAR	kamaˈlu
	Kaxarari	3811	MIRITI PALM	binuˈni
	Kaxarari	1178	NOSTRIL	[tʃɨkɐˈni]
	Kaxarari	316	PACA	anawɨ
	Kaxarari	3919	PEACH PALM	waniˈma
	Kaxarari	317	PIRANHA	ˈmaka
	Kaxarari	1490	RAT	ʃujã
	Kaxarari	1628	SQUIRREL	kaˈpa
	Kaxarari	312	TAPIR	[awaˈtʃa]
	Kaxarari	883	TERMITE	nakaʃa
	Kaxarari	734	MAKE	a-
	Kaxarari	2065	STEP (VERB)	haˈmahi
	Kaxarari	1924	VEIN	puˈnu
	Kaxarari	410	YAM	katʃi
	Kaxarari	410	YAM	puˈa
