ID	DOCULECT	CONCEPTICON ID	CONCEPTICON_GLOSS	VALUE
1081	Araona_IDS	1228	EARTH (SOIL)	mezizo
1082	Araona_IDS	2	DUST	poc̷ac̷a-i
1083	Araona_IDS	640	MUD	a-bela-bela
1084	Araona_IDS	671	SAND	mezizo
1085	Araona_IDS	652	PLAIN	zei
1086	Araona_IDS	652	PLAIN	paša
1087	Araona_IDS	948	WATER	e-na
1088	Araona_IDS	948	WATER	eowi
1089	Araona_IDS	624	LAKE	bai
1090	Araona_IDS	2144	SPRING OR WELL	sipia
1091	Araona_IDS	420	FOREST	eiye
1092	Araona_IDS	906	TREE	akʷi
1093	Araona_IDS	1732	SKY	baepa
1094	Araona_IDS	1343	SUN	zeti
1095	Araona_IDS	1313	MOON	badi
1096	Araona_IDS	1654	LIGHTNING	popa
1097	Araona_IDS	1150	THUNDER	tili-tili
1098	Araona_IDS	1733	RAINBOW	walibao
1099	Araona_IDS	630	LIGHT (RADIATION)	ode
1100	Araona_IDS	11	DARKNESS	a-apo
1101	Araona_IDS	11	DARKNESS	hamomoneti
1102	Araona_IDS	1388	SHADE	zeti šama
1103	Araona_IDS	1977	DEW	šalada
1104	Araona_IDS	960	WIND	beni
1105	Araona_IDS	1489	CLOUD	boso
1106	Araona_IDS	1489	CLOUD	mozizi-bade
1107	Araona_IDS	249	FOG	baepa mozizi
1108	Araona_IDS	658	RAIN (PRECIPITATION)	nai
1109	Araona_IDS	221	FIRE	kʷa-ti
1110	Araona_IDS	778	SMOKE (EXHAUST)	hodo
1111	Araona_IDS	646	ASH	timo
1112	Araona_IDS	141	BURN (SOMETHING)	oc̷o
1113	Araona_IDS	141	BURN (SOMETHING)	oc̷o-a
1114	Araona_IDS	737	LIGHT (IGNITE)	weta
1115	Araona_IDS	127	EXTINGUISH	sami
1116	Araona_IDS	127	EXTINGUISH	šenono
1117	Araona_IDS	10	FIREWOOD	kʷa-ti
1118	Araona_IDS	1188	CHARCOAL	tezi
1119	Araona_IDS	683	PERSON	e-kʷiča
1120	Araona_IDS	683	PERSON	c̷edapo
1121	Araona_IDS	1554	MAN	dea
1122	Araona_IDS	962	WOMAN	pona
1123	Araona_IDS	962	WOMAN	mama
1124	Araona_IDS	1366	BOY	tadada
1125	Araona_IDS	1366	BOY	tolo
1126	Araona_IDS	76	YOUNG MAN	waezakʷa
1127	Araona_IDS	76	YOUNG MAN	šakʷa
1128	Araona_IDS	1646	GIRL	bakʷe-pona
1129	Araona_IDS	77	YOUNG WOMAN	noehaha
1130	Araona_IDS	1304	CHILD (YOUNG HUMAN)	'bakʷa
1131	Araona_IDS	1289	BABY	bakʷa
1132	Araona_IDS	1289	BABY	ezoe
1133	Araona_IDS	1200	HUSBAND	e-awe
1134	Araona_IDS	1199	WIFE	wane
1135	Araona_IDS	1199	WIFE	mama
1136	Araona_IDS	203	MARRY	wane-i
1137	Araona_IDS	1217	FATHER	kʷiča-po
1138	Araona_IDS	1217	FATHER	tadi
1139	Araona_IDS	1216	MOTHER	kʷala
1140	Araona_IDS	1216	MOTHER	wadi
1141	Araona_IDS	1759	OLDER BROTHER	mama
1142	Araona_IDS	1759	OLDER BROTHER	no
1143	Araona_IDS	1760	YOUNGER BROTHER	mama-zao
1144	Araona_IDS	1760	YOUNGER BROTHER	no-lipi
1145	Araona_IDS	1758	OLDER SISTER	dodo
1146	Araona_IDS	1761	YOUNGER SISTER	e-doe
1147	Araona_IDS	1761	YOUNGER SISTER	zana
1149	Araona_IDS	406	OLD MAN	esi
