DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Kakataibo	1615	ESCAPE	escape	escapar		'abáti
Kakataibo	1292	BAD	bad	malo	mau	'aisama uni
Kakataibo	1185	VULTURE	vulture	buitre	urubu, abutre	'imin, 'ishmin
Kakataibo	1250	JAGUAR	jaguar	jaguar	onça pintada	'inu
Kakataibo	2124	SMELL	smell	olor	cheirar	'isha, sanu
Kakataibo	1986	DISEASE	disease	enfermedad (dolencia)		'isin
Kakataibo	2327	BECOME SICK	become sick	enfermarse, estar enfermo		'isinti
Kakataibo	3452	MUCH	much	mucho		'itsa
Kakataibo	750	DROP	drop	caer		'uiti
Kakataibo	3913	COUGH (ACT OF COUGHING)	cough (act of coughing)	toser		'ukuti
Kakataibo	2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien		'unanti
Kakataibo	2486	HIDE	hide	esconder	ESCONDER	'unputi
Kakataibo	231	SHAVE	shave	afeitarse	nadadeira	'uruti
Kakataibo	1644	RELATIVES	relatives	parientes, parentela	parentes	aintsi
Kakataibo	1240	NOT	not	no	não	ama
Kakataibo	3749	HATE (LOATHING)	hate (loathing)	odiar		ami nishti
Kakataibo	2019	HAMMOCK	hammock	hamaca, chinchorro	rede	anu bëëti
Kakataibo	388	FISHNET	fishnet	red, atarraya	rede de pesca	anunts atsabiti
Kakataibo	1657	TRUE	true	verdadero	verdadeiro	asérabi
Kakataibo	666	RIVER	river	río	rio	baka
Kakataibo	501	LIFT	lift	levantar	levantar, içar	bakáruti, bakáti
Kakataibo	1422	BE ALIVE	be alive	vivo	vivo	bamakëma
Kakataibo	864	PUMPKIN	pumpkin	zapallo, calabaza, calabazo	moranga	baran
Kakataibo	1342	SUMMER	summer	verano	verão	baritia
Kakataibo	3924	MALE ANIMAL	male animal	macho		bënë
Kakataibo	2308	THIN	thin	delgado	fino	bëntsin
Kakataibo	3174	WAKE UP (SOMEONE)	wake up (someone)	despertar		bësunti
Kakataibo	2504	DIFFERENT	different	diferente		betsi betsi
Kakataibo	463	FELL (A TREE)	fell (a tree)	talar, tumbar, derribar		bëúti
Kakataibo	2613	SKIN (HUMAN)	skin (human)	piel		bëxbí
Kakataibo	371	PICK UP	pick up	recoger	captar	biti
Kakataibo	2006	FILL	fill	llenar		buákati
Kakataibo	1576	PILE UP	pile up	amontonar	empilhar	bukunti
Kakataibo	143	HUMID	humid	mojado		chabá
Kakataibo	2324	GET WET	get wet	mojarse		chabáti
Kakataibo	2069	SOAK (VERB)	soak (verb)	mojar		chaboti
Kakataibo	1520	CRUSH	crush	machacar, aplastar		chakati
Kakataibo	1041	INCREASE	increase	aumentar, crecer		choti
Kakataibo	3609	TOWN OR VILLAGE	town or village	pueblo, ciudad	cidade pequena ou vila	ëma
Kakataibo	2827	MENSTRUATE	menstruate	menstruar		imioti
Kakataibo	1142	URINE	urine	orina	urina	insun
Kakataibo	1741	ABOVE	above	encima	encima	kamána
Kakataibo	1084	CALL	call	llamar	linha	këkati
Kakataibo	1588	TURN	turn	girar, voltearse	virar	kuaina këti, pënkë́ti
Kakataibo	2492	BOIL (SOMETHING)	boil (something)	hervir, cocer		kukakiti
Kakataibo	785	STRONG	strong	fuerte	FORTE	kushi
Kakataibo	2117	DESIRE	desire	desear		kwëënti
Kakataibo	1159	FART	fart	pedo	peido	m'anapusa
Kakataibo	1490	RAT	rat	rata	RATO	makun
Kakataibo	1491	MOUSE	mouse	ratón	camundongo	makun
Kakataibo	614	HILL	hill	cerro, colina, monte		matan
Kakataibo	857	STONE	stone	piedra	pedra	maxax
Kakataibo	3603	EARTH OR LAND	earth or land	tierra	TERRA / PAÍS	me
Kakataibo	1448	HOLD	hold	tener (en mano), apoyar	segurar, agarrar	mëkáti
Kakataibo	1183	PALM OF HAND	palm of hand	palma de la mano	palma de mão	mëkën napax
Kakataibo	1473	FIST	fist	puño		mëkën tunku
Kakataibo	1454	WIPE	wipe	limpiar		mënioti
Kakataibo	1433	HIT	hit	golpear	bater	mëti
Kakataibo	124	THORN	thorn	espina	espinho	muxa
Kakataibo	1195	GIVE BIRTH	give birth	dar a luz	parir	náchikiti
Kakataibo	1629	EVENING	evening	tarde	tarde	ñantan
Kakataibo	1403	BITE	bite	morder	morder	natëxti
Kakataibo	136	HERE	here	aquí, acá	aqui	nëri
Kakataibo	249	FOG	fog	niebla	névoa	nëtë kuin
Kakataibo	423	GET LOST	get lost	perderse	PERDER-SE	nëtë́ti
Kakataibo	420	FOREST	forest	selva	floresta, mata	ni
Kakataibo	1660	LOSE	lose	perder		nipáti
Kakataibo	1512	RISE (ONESELF)	rise (oneself)	alzarse. levantarse		niruti
Kakataibo	2215	BECOME ANGRY	become angry	enojarse		nishti
Kakataibo	2390	PECCARY	peccary	pecarí		ño
Kakataibo	1086	WORK (ACTIVITY)	work (activity)	trabajar		ñu mëëti
Kakataibo	1625	DEAD	dead	muerto	morto	nukë
Kakataibo	1494	DIE	die	morir	morrer	ñuti
Kakataibo	1783	PAIN	pain	dolor	dor	paë
Kakataibo	2561	HURT (SENSE PAIN)	hurt (sense pain)	doler		paëti
Kakataibo	1324	SLIP	slip	resbalar	escorregar, resvalar	pakë́ti
Kakataibo	3230	DECEIVE	deceive	engañar		paranti
Kakataibo	1959	RAW	raw	crudo	cru	paxa
Kakataibo	1201	FEATHER	feather	pluma	pluma	pëi
Kakataibo	179	RIPEN	ripen	madurar		pëkë́ti
Kakataibo	2468	BAG	bag	bolsa		pisha, ñusuti
Kakataibo	42	STINKING	stinking	apestando	fedorento, mal cheiroso	pisikë
Kakataibo	1587	SMELL (STINK)	smell (stink)	apestar, heder, oler mal	cheirar	pisiti
Kakataibo	2907	ROT	rot	pudrirse		pisiti, chëkiti
Kakataibo	1336	EAT	eat	comer	comer	piti
Kakataibo	1251	BELLY	belly	barriga, vientre	barriga	puku
Kakataibo	1334	GUTS	guts	tripas	vísceras	puku
Kakataibo	1419	FEAR (BE AFRAID)	fear (be afraid)	tener miedo	ter medo	rakuëti
Kakataibo	580	FUR	fur	peludo	pelo	rani
Kakataibo	2912	FORWARD	forward	adelante		rëkuën
Kakataibo	2411	HURT (SOMEBODY)	hurt (somebody)	herir		ruchati
Kakataibo	1341	HEAT UP	heat up	calentar		sënanti
Kakataibo	2271	THINK	think	pensar	pensar	sinanti
Kakataibo	1996	GET TIRED	get tired	cansarse		tatununti
Kakataibo	1241	SOME	some	alguno, pocos	alguns	tëxë
Kakataibo	1831	MEET	meet	reunirse	encontrar	timë́ti
Kakataibo	2638	FISHING	fishing	pescar	pescar	tsatsa ‘ati
Kakataibo	639	MOUNTAIN	mountain	montaña, monte	serra	tsira
Kakataibo	1649	SIT DOWN	sit down	sentarse	SENTAR (-SE)	tsóti
Kakataibo	2472	SUCKLE (BREASTFEED, NURSE)	suckle (breastfeed, nurse)	mamar		tsukukati
Kakataibo	2070	COMB (VERB)	comb (verb)	peinar		tuaskati
Kakataibo	3287	BLOOM	bloom	florecer		tuáti
Kakataibo	1803	WOOD	wood	madera	madeira	tuku
Kakataibo	1440	SPIT	spit	escupir (saliva [noun])	cuspir	tushukiti, tushukati
Kakataibo	78	THAT	that	eso, ese, aquel	esse	u
Kakataibo	1407	BREATHE	breathe	respirar	respirar	uinti
Kakataibo	1937	THERE	there	allí	lá	unu
Kakataibo	2112	OLD (AGED)	old (aged)	viejo		xëni
Kakataibo	1094	FASTEN	fasten	amarrar		xëoti, nëati
Kakataibo	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	xëtoti
Kakataibo	882	PARROT	parrot	papagayo	papagaio	xón
Kakataibo	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	xuiti
Kakataibo	1127	SEND	send	enviar, mandar	enviar, mandar	xuti
Kakataibo	3898	ACCEPT	accept	aceptar		
Kakataibo	1434	STAB	stab	achurar, acuchillar		
Kakataibo	1542	ACCOMPANY	accompany	acompañar	vinho	
Kakataibo	1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)	
Kakataibo	762	OUTSIDE	outside	afuera, fuera, exterior	fora	
Kakataibo	46	HOLLOW OUT	hollow out	ahuecar	esburacar, cavar	
Kakataibo	2790	HIGH OR TALL	high or tall	alto		
Kakataibo	2297	DUSK	dusk	anochecer, atardecer		
Kakataibo	1428	BURNING	burning	arder	queimar, arder	
Kakataibo	380	WRINKLED	wrinkled	arrugado	enrugado	
Kakataibo	999	JOINT	joint	articulaciones		
Kakataibo	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	
Kakataibo	1879	DANCE	dance	bailar	dançar	
