DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Matses	1937	THERE	there	allí	lá	a, u
Matses	1657	TRUE	true	verdadero	verdadeiro	abimbo
Matses	2790	HIGH OR TALL	high or tall	alto		abuc
Matses	813	DO	do	hacer	fazer	ac, na, ne
Matses	666	RIVER	river	río	rio	acte
Matses	78	THAT	that	eso, ese, aquel	esse	aid, uid
Matses	77	YOUNG WOMAN	young woman	jóven mujer	moça	ain bacuë, champi
Matses	2638	FISHING	fishing	pescar	pescar	anseme, ancues
Matses	1422	BE ALIVE	be alive	vivo	vivo	aʈʂuʂ
Matses	76	YOUNG MAN	young man	jóven	rapaz	bacuë
Matses	1304	CHILD (YOUNG HUMAN)	child (young human)	niño	criança, menino	bacuë
Matses	1339	MORNING	morning	mañana	manhã	badiadaʂ
Matses	323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)	grasa	gordura	bëchi
Matses	1452	PUSH	push	empujar	empurrar	bëcunne, tsicunne
Matses	1250	JAGUAR	jaguar	jaguar	onça pintada	bëdi, camun
Matses	1660	LOSE	lose	perder		bëdnu
Matses	423	GET LOST	get lost	perderse	PERDER-SE	bëdnud
Matses	3924	MALE ANIMAL	male animal	macho		bënë
Matses	2319	LID (COVER, CAP)	lid (cover, cap)	tapa		bëtashte
Matses	1588	TURN	turn	girar, voltearse	virar	bidiad
Matses	2613	SKIN (HUMAN)	skin (human)	piel		bitsi
Matses	189	HAIR (BODY)	hair (body)	pelo, vello (del cuerpo)	pêlo	bu
Matses	1041	INCREASE	increase	aumentar, crecer		caid
Matses	1590	WAIT (FOR)	wait (for)	esperar		cain
Matses	1437	SPLIT	split	hender, partir	rachar	canche, cuëʂ
Matses	1291	BACK	back	espalda	costas	caʈʂo
Matses	1686	BEHIND	behind	atrás, detrás	atrás de	caʈʂoc
Matses	1827	HARVEST CROPS	harvest crops	cosechar		chic
Matses	3923	FEMALE ANIMAL	female animal	hembra		chido
Matses	3749	HATE (LOATHING)	hate (loathing)	odiar		chieshën
Matses	675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes	chimu
Matses	1414	SQUEEZE	squeeze	exprimir	espremer, comprimir	chin
