DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Cashibo	3898	ACCEPT	accept	aceptar		
Cashibo	1778	APPROACH	approach	acercarse	aproximar	nëti
Cashibo	1434	STAB	stab	achurar, acuchillar		
Cashibo	1542	ACCOMPANY	accompany	acompañar	vinho	raruati
Cashibo	1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)	racáti
Cashibo	2912	FORWARD	forward	adelante		
Cashibo	1606	INSIDE	inside	adentro, dentro	dentro	
Cashibo	231	SHAVE	shave	afeitarse	nadadeira	
Cashibo	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	cuënuti
Cashibo	46	HOLLOW OUT	hollow out	ahuecar	esburacar, cavar	
Cashibo	919	CHILI PEPPER	chili pepper	ají	malagueta	
Cashibo	1257	WING	wing	ala	asa	pëchi
Cashibo	729	DAWN	dawn	albor, amanecer, aurora, madrugada	amanhecer	pëcarati
Cashibo	1241	SOME	some	alguno, pocos	alguns	
Cashibo	1937	THERE	there	allí	lá	'uri
Cashibo	2790	HIGH OR TALL	high or tall	alto		chaxcë
Cashibo	1512	RISE (ONESELF)	rise (oneself)	alzarse. levantarse		báquiti
Cashibo	1094	FASTEN	fasten	amarrar		tëcërëcati
Cashibo	2297	DUSK	dusk	anochecer, atardecer		xupíti
Cashibo	136	HERE	here	aquí	aqui	nëri
Cashibo	1428	BURNING	burning	arder	queimar, arder	ërëti
Cashibo	66	KNEEL	kneel	arrodillarse	ajoelhar	rantipurúnti
Cashibo	999	JOINT	joint	articulaciones		
Cashibo	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	xuiti
Cashibo	1923	ROUGH	rough	áspero	áspero	
Cashibo	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	
Cashibo	1041	INCREASE	increase	aumentar, crecer		uáti
Cashibo	1886	ARMPIT	armpit	axila, sobaco	axila, sovaco	
Cashibo	837	BLUE	blue	azul	azul	
Cashibo	1879	DANCE	dance	bailar	dançar	
Cashibo	3472	DANCE (MOVEMENT)	dance (movement)	baile, danza		
Cashibo	1510	CHIN	chin	barbilla, mentón	queixo	
Cashibo	1289	BABY	baby	bebé	lactente	
Cashibo	731	BEVERAGE	beverage	bebida	bebida	
Cashibo	404	ALCOHOL (FERMENTED DRINK)	alcohol (fermented drink)	bebida fermentada	bebida fermentada	
Cashibo	2468	BAG	bag	bolsa		pisha
Cashibo	750	DROP	drop	caer		nipáti
Cashibo	1341	HEAT UP	heat up	calentar		sënanti
Cashibo	612	HEAT	heat	calor		
Cashibo	1096	SONG	song	canción		
Cashibo	1996	GET TIRED	get tired	cansarse)		'atsanti
Cashibo	860	CAUSE	cause	causar	causa	
Cashibo	1942	NEAR	near	cerca	perto, próximo	
Cashibo	614	HILL	hill	cerro, colina, monte		bashi
Cashibo	1860	BEAD	bead	chaquira, abalorio	contas, miçanga	muru
Cashibo	493	FIVE	five	cinco	cinco	
Cashibo	269	COOKED	cooked	cocido, cocinado	cozinhado, cozido	
Cashibo	7	GATHER	gather	colectar, reunir, compilar, recopilar	colecionar, reunir	
Cashibo	1961	NECKLACE	necklace	collar	colar	
Cashibo	2012	COLLAR	collar	collar	colarinho	
Cashibo	1239	HOW	how	cómo?	como?	
Cashibo	1869	BUY	buy	comprar	comprar	maruti
Cashibo	1340	WITH	with	con		
Cashibo	2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien		
Cashibo	1840	BUILD	build	construir, edificar	construir	
Cashibo	1711	TELL	tell	contar, narrar	dizer	tupuxunti
Cashibo	1275	ANSWER	answer	contestar, responder	responder	cuëbíti
Cashibo	1827	HARVEST CROPS	harvest crops	cosechar		
Cashibo	1238	WHEN	when	cuándo?	quando?	
Cashibo	1500	FOUR	four	cuatro	quatro	
Cashibo	1575	COCKROACH	cockroach	cucaracha	barata	xëpancuru
Cashibo	1333	NECK	neck	cuello	pescoço	
Cashibo	1480	BODY	body	cuerpo	corpo	
Cashibo	1195	GIVE BIRTH	give birth	dar a luz	parir	bacënti
Cashibo	2866	DROP (SOMETHING)	drop (something)	dejar caer	deixar cair	nipacëti
Cashibo	1883	IN FRONT OF	in front of	delante	frente	
Cashibo	2308	THIN	thin	delgado	fino	bëntsin
Cashibo	2334	MELT	melt	derretir		
Cashibo	2117	DESIRE	desire	desear		cuëënti
Cashibo	590	NAKED	naked	desnudo	despido, nu	
Cashibo	3174	WAKE UP (SOMEONE)	wake up (someone)	despertar		bësunti
Cashibo	681	DESTROY	destroy	destruir	destruir	
Cashibo	2504	DIFFERENT	different	diferente		
Cashibo	2561	HURT (SENSE PAIN)	hurt (sense pain)	doler		paëti
Cashibo	1783	PAIN	pain	dolor	dor	paëti
Cashibo	1129	PAINFUL	painful	doloroso		
Cashibo	1237	WHERE	where	dónde?	onde?	
Cashibo	379	BLUNT	blunt	embotado, romo	embotado, rombudo	
Cashibo	1741	ABOVE	above	encima	encima	cacëti
Cashibo	719	FIND	find	encontrar, hallar	achar, encontrar	mërati
Cashibo	1358	ENEMY	enemy	enemigo	inimigo	no
