DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Cavinena	3898	ACCEPT	accept	aceptar		inatsaya
Cavinena	1778	APPROACH	approach	acercarse	aproximar	jipetanaya
Cavinena	1434	STAB	stab	achurar, acuchillar		
Cavinena	1542	ACCOMPANY	accompany	acompañar	vinho	tajiya, topoya
Cavinena	1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)	
Cavinena	2912	FORWARD	forward	adelante		icuene
Cavinena	231	SHAVE	shave	afeitarse	nadadeira	
Cavinena	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	
Cavinena	696	STIR	stir	agitar, revolver		
Cavinena	1241	SOME	some	alguno, pocos	alguns	
Cavinena	739	FEED	feed	alimentar, dar de comer		araya
Cavinena	1937	THERE	there	allí	lá	tohuaque, yohua
Cavinena	2790	HIGH OR TALL	high or tall	alto		
Cavinena	1512	RISE (ONESELF)	rise (oneself)	alzarse,  levantarse		netitsoraya
Cavinena	1094	FASTEN	fasten	amarrar		risiya
Cavinena	2297	DUSK	dusk	anochecer, atardecer		aponaya
Cavinena	136	HERE	here	aquí, acá	aqui	je’ejo, re’eque
Cavinena	66	KNEEL	kneel	arrodillarse	ajoelhar	
Cavinena	999	JOINT	joint	articulaciones		
Cavinena	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	cuahuiya
Cavinena	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	
Cavinena	1041	INCREASE	increase	aumentar, crecer		
Cavinena	3472	DANCE (MOVEMENT)	dance (movement)	baile, danza		
Cavinena	1251	BELLY	belly	barriga, vientre	barriga	
Cavinena	2468	BAG	bag	bolsa		sapicua
Cavinena	750	DROP	drop	caer		ribiya
Cavinena	1341	HEAT UP	heat up	calentar		oquenaya
Cavinena	612	HEAT	heat	calor		oque
Cavinena	1096	SONG	song	canción		
Cavinena	1996	GET TIRED	get tired	cansarse		castereya
Cavinena	614	HILL	hill	cerro, colina		emata
Cavinena	1860	BEAD	bead	chaquira, perla	contas, miçanga	
Cavinena	269	COOKED	cooked	cocido, cocinado	cozinhado, cozido	
Cavinena	1340	WITH	with	con		
Cavinena	2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien		adebaya
Cavinena	1711	TELL	tell	contar, narrar	dizer	piebaya, cuejaya
Cavinena	1275	ANSWER	answer	contestar, responder	responder	
Cavinena	1827	HARVEST CROPS	harvest crops	cosechar		tacaya, jicuijicuiya
Cavinena	1195	GIVE BIRTH	give birth	dar a luz	parir	cuinaya
Cavinena	2866	DROP (SOMETHING)	drop (something)	dejar caer	deixar cair	
Cavinena	1883	IN FRONT OF	in front of	delante	frente	toyo
Cavinena	2308	THIN	thin	delgado	fino	ariadama, oshorique
Cavinena	2334	MELT	melt	derretir		oriya
Cavinena	2117	DESIRE	desire	desear		bijida
Cavinena	3174	WAKE UP (SOMEONE)	wake up (someone)	despertar		cabatiya
Cavinena	681	DESTROY	destroy	destruir	destruir	pococoshaya
Cavinena	2504	DIFFERENT	different	diferente		
Cavinena	2561	HURT (SENSE PAIN)	hurt (sense pain)	doler		ojedacatiya
Cavinena	1129	PAINFUL	painful	doloroso		
Cavinena	1741	ABOVE	above	encima	encima	dyaque
Cavinena	719	FIND	find	encontrar, hallar	achar, encontrar	tsoroya
Cavinena	1358	ENEMY	enemy	enemigo	inimigo	ata’ama
Cavinena	2327	BECOME SICK	become sick	enfermarse, estar enfermo		adyaya, ojejedajoya
Cavinena	1986	DISEASE	disease	enfermedad (dolencia)		ojeje
Cavinena	3230	DECEIVE	deceive	engañar		
Cavinena	2223	BE ANGRY	be angry	enojado		
Cavinena	2215	BECOME ANGRY	become angry	enojarse		cahuaitiya
Cavinena	689	BETWEEN	between	entre		
Cavinena	1615	ESCAPE	escape	escapar		
Cavinena	2486	HIDE	hide	esconder	ESCONDER	catehuajoya
Cavinena	78	THAT	that	eso, ese, aquel	esse	yomeque
Cavinena	1590	WAIT (FOR)	wait (for)	esperar		ihuaya
Cavinena	124	THORN	thorn	espina	espinho	acuija
Cavinena	1214	THIS	this	este	este	rique, je’eque
Cavinena	3861	FAIL	fail	fallar, fracasar		
Cavinena	1175	GHOST	ghost	fantasma, espíritu	fantasma	
Cavinena	3287	BLOOM	bloom	florecer		catsatiya
Cavinena	2003	FLOW	flow	fluir, correr	fluir	
Cavinena	690	BOTTOM	bottom	fondo	fundo	
Cavinena	785	STRONG	strong	fuerte	FORTE	casada
Cavinena	1689	SMOKE (INHALE)	smoke (inhale)	fumar	fumar	omajajoya
Cavinena	72	CLAW	claw	garra, pezuña, pinza, zarpa	unha	ehuachitacua
Cavinena	1005	TWINS	twins	gemelos, mellizos	gêmeos	shihui
Cavinena	1588	TURN	turn	girar, voltearse	virar	
Cavinena	1433	HIT	hit	golpear	bater	
Cavinena	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto	bijida
Cavinena	813	DO	do	hacer	fazer	aya
