DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Chacobo	813	DO	do	hacer	fazer	acaina
Chacobo	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	achahaina
Chacobo	666	RIVER	river	río	rio	ani
Chacobo	1041	INCREASE	increase	aumentar, crecer		anihaina
Chacobo	1359	SEPARATE	separate	separar, apartar	separar	aquëhaina
Chacobo	581	COME BACK	come back	volver, regresar	voltar, regressar	bacahaina
Chacobo	1454	WIPE	wipe	limpiar		bahuëhaina
Chacobo	679	BRIGHT	bright	brillante, resplandor	claro, brilhante	bajra, shërëmë
Chacobo	708	SHINE	shine	brillar	brilhar	bajrahaina
Chacobo	1542	ACCOMPANY	accompany	acompañar	vinho	banahuahaina, chimatihaina
Chacobo	1207	YOUNG	young	jóven	jovem, novo	baquë
Chacobo	1195	GIVE BIRTH	give birth	dar a luz, parir	parir	baquë comahaina
Chacobo	1778	APPROACH	approach	acercarse	aproximar	basimahaina
Chacobo	2912	FORWARD	forward	adelante		bëbo, rëquë
Chacobo	719	FIND	find	encontrar, hallar	achar, encontrar	bëchahaina
Chacobo	3924	MALE ANIMAL	male animal	macho		bënë
Chacobo	423	GET LOST	get lost	perderse	PERDER-SE	bënohaina
Chacobo	3174	WAKE UP (SOMEONE)	wake up (someone)	despertar		bëpëquëmahaina
Chacobo	1175	GHOST	ghost	fantasma, espíritu	fantasma	bërocamaqui
Chacobo	1588	TURN	turn	girar, voltearse	virar	bësaquëhaina, shobirihaina
Chacobo	1422	BE ALIVE	be alive	vivo	vivo	bëso ca
Chacobo	1512	RISE (ONESELF)	rise (oneself)	alzarse,  levantarse		bësohaina
Chacobo	1625	DEAD	dead	muerto	morto	bësoyama
Chacobo	2308	THIN	thin	delgado	fino	bëxpa
Chacobo	2614	SKIN (ANIMAL)	skin (animal)	pellejo, piel		bichi
Chacobo	2613	SKIN (HUMAN)	skin (human)	piel		bichi
Chacobo	3898	ACCEPT	accept	aceptar		bihaina
Chacobo	1750	CHOOSE	choose	escoger, elegir	escolher	bihaina
Chacobo	694	GET	get	recibir, obtener	obter, conseguir	bihaina
Chacobo	371	PICK UP	pick up	recoger	captar	bihaina
Chacobo	1615	ESCAPE	escape	escapar		biisihaina
Chacobo	1520	CRUSH	crush	machacar, aplastar		bishcahaina
Chacobo	3224	WRING	wring	retorcer, estrujar		bishcahaina
Chacobo	2907	ROT	rot	pudrirse		boax-haina, porohaina
Chacobo	2070	COMB (VERB)	comb (verb)	peinar		boëx-haina
Chacobo	2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien		cahëhaina
Chacobo	1250	JAGUAR	jaguar	jaguar	onça pintada	camano
Chacobo	1043	BRAID	braid	trenzar	trança	camihaina
Chacobo	3230	DECEIVE	deceive	engañar		caniahaina
Chacobo	2215	BECOME ANGRY	become angry	enojarse		caxahaina
Chacobo	232	FLEA	flea	pulga	pulga	cayaya
Chacobo	2324	GET WET	get wet	mojarse		chaax-haina
Chacobo	2069	SOAK (VERB)	soak (verb)	mojar		chaax-huahaina
Chacobo	143	HUMID	humid	mojado		chaaxa
