DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
EseEjja	773	HAVE	have	tener	ter	-jji
EseEjja	1340	WITH	with	con		-nijje
EseEjja	2117	DESIRE	desire	desear		-sa
EseEjja	124	THORN	thorn	espina	espinho	acuisha
EseEjja	1649	SIT DOWN	sit down	sentarse	SENTAR (-SE)	anioquenaje
EseEjja	1491	MOUSE	mouse	ratón	camundongo	bahuicho
EseEjja	2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien		banaje
EseEjja	719	FIND	find	encontrar, hallar	achar, encontrar	banaje
EseEjja	2006	FILL	fill	llenar		biocuatanaje
EseEjja	739	FEED	feed	alimentar, dar de comer		bobianaje
EseEjja	3749	HATE (LOATHING)	hate (loathing)	odiar		botíama poanaje
EseEjja	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto	botibanaje
EseEjja	1086	WORK (ACTIVITY)	work (activity)	trabajar		chacochaconaje
EseEjja	2486	HIDE	hide	esconder	ESCONDER	cuaquishonaje
EseEjja	1660	LOSE	lose	perder		cuaquishonaje, jjajeaquinaje
EseEjja	1752	LEAVE	leave	salir, marcharse, irse, quitarse	partir, ir-se embora	cuayanaje
EseEjja	1520	CRUSH	crush	machacar, aplastar		cuiapeejeanaje
EseEjja	1454	WIPE	wipe	limpiar		cuinaje
EseEjja	1341	HEAT UP	heat up	calentar		dahuaijjianaje, quiyoijjianaje
EseEjja	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	dahuanaje
EseEjja	1241	SOME	some	alguno, pocos	alguns	ebecacuana
EseEjja	1741	ABOVE	above	encima	encima	ecuionojji
EseEjja	1175	GHOST	ghost	fantasma, espíritu	fantasma	edojjoshahua
EseEjja	614	HILL	hill	cerro, colina		eiyo
EseEjja	639	MOUNTAIN	mountain	montaña, cerro	serra	eiyo
EseEjja	2613	SKIN (HUMAN)	skin (human)	piel		ejé
EseEjja	2912	FORWARD	forward	adelante		ejjiojipojji
EseEjja	1251	BELLY	belly	barriga, vientre	barriga	emajjii, emapi
EseEjja	1625	DEAD	dead	muerto	morto	emanoyo
EseEjja	1253	RAIN (RAINING)	rain (raining)	llover		ena poanaje
EseEjja	666	RIVER	river	río	rio	enam cuei
EseEjja	3923	FEMALE ANIMAL	female animal	hembra		epona
EseEjja	3463	RIVERBANK	riverbank	orilla, ribera		esahua
EseEjja	301	CHIEFTAIN	chieftain	jefe, cacique	chefe, cacique	esho’iyo
EseEjja	1958	UNRIPE	unripe	inmaduro, no maduro, verde	verde, imaturo	etahua
EseEjja	3924	MALE ANIMAL	male animal	macho		eyahue
EseEjja	119	DIVE	dive	sumergirse, zambullirse	mergulhar	huiiñanaje
EseEjja	1711	TELL	tell	contar, narrar	dizer	huohuinaje
