DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Tacana	813	DO	do	hacer	fazer	a
Tacana	2827	MENSTRUATE	menstruate	menstruar		ami-pu
Tacana	1512	RISE (ONESELF)	rise (oneself)	alzarse,  levantarse		ani-tsua
Tacana	1649	SIT DOWN	sit down	sentarse	SENTAR (-SE)	ani-ute
Tacana	1531	BRANCH	branch	rama	galho	aqui echa
Tacana	124	THORN	thorn	espina	espinho	aquid’a
Tacana	1402	BREAST	breast	teta, seno, pechos	seio, mama	atsu
Tacana	3230	DECEIVE	deceive	engañar		base-a
Tacana	2790	HIGH OR TALL	high or tall	alto		bauda
Tacana	2638	FISHING	fishing	pescar	pescar	bia-teje
Tacana	2341	CLOUDY	cloudy	nublado		budhuji
Tacana	3080	SPLIT OPEN	split open	rajar		buped’u
Tacana	1542	ACCOMPANY	accompany	acompañar	vinho	buque
Tacana	2019	HAMMOCK	hammock	hamaca, chinchorro	rede	chahui
Tacana	1490	RAT	rat	rata	RATO	chaihue
Tacana	1182	NOISE	noise	ruido		chucama
Tacana	377	LOUD	loud	ruidoso	ruidoso, barulhento	chucama aida
Tacana	2472	SUCKLE (BREASTFEED, NURSE)	suckle (breastfeed, nurse)	mamar		chuchu
Tacana	1827	HARVEST CROPS	harvest crops	cosechar		chudu-mudu, huiru, mutsu
Tacana	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	cuahui
Tacana	2492	BOIL (SOMETHING)	boil (something)	hervir, cocer		cuarara
Tacana	1341	HEAT UP	heat up	calentar		cuase-sia
Tacana	1094	FASTEN	fasten	amarrar		d’eque
Tacana	750	DROP	drop	caer		dajaja
Tacana	1937	THERE	there	allí	lá	dapia, de
Tacana	1433	HIT	hit	golpear	bater	dhapuja
Tacana	1533	BE HUNGRY	be hungry	hambriento	TER FOME	dhe-manu
Tacana	7	GATHER	gather	colectar, reunir, compilar, recopilar	colecionar, reunir	dhita
Tacana	2334	MELT	melt	derretir		dhureme
Tacana	2215	BECOME ANGRY	become angry	enojarse		duinini
Tacana	3749	HATE (LOATHING)	hate (loathing)	odiar		duinini-ba
