DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Araona	1326	DOWN	down	abajo		
Araona	3898	ACCEPT	accept	aceptar		
Araona	1778	APPROACH	approach	acercarse	aproximar	
Araona	1434	STAB	stab	achurar, acuchillar		
Araona	1542	ACCOMPANY	accompany	acompañar	vinho	bocue
Araona	1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)	jasisa
Araona	2912	FORWARD	forward	adelante		dea
Araona	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	lacua
Araona	231	SHAVE	shave	afeitarse	nadadeira	
Araona	1241	SOME	some	alguno, pocos	alguns	jepehuelimi
Araona	1937	THERE	there	allí	lá	mo
Araona	2790	HIGH OR TALL	high or tall	alto		a-ato
Araona	1512	RISE (ONESELF)	rise (oneself)	alzarse. levantarse		dotsoati
Araona	1094	FASTEN	fasten	Amarrar		iji
Araona	619	ANIMAL	animal	animal	animal, bicho	
Araona	2297	DUSK	dusk	anochecer, atardecer		apona
Araona	136	HERE	here	aquí	aqui	dyo
Araona	1428	BURNING	burning	arder	queimar, arder	otso
Araona	66	KNEEL	kneel	arrodillarse	ajoelhar	
Araona	999	JOINT	joint	articulaciones		
Araona	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	cuahui
Araona	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	tashoa
Araona	2911	BACKWARD	backward	atrás		
Araona	1041	INCREASE	increase	aumentar, crecer		adela
Araona	1879	DANCE	dance	bailar	dançar	
Araona	1510	CHIN	chin	barbilla, mentón	queixo	
Araona	904	BERRY	berry	baya		
Araona	2468	BAG	bag	bolso		lobiaji
Araona	708	SHINE	shine	brillar	brilhar	
Araona	750	DROP	drop	caer		bisa
Araona	1341	HEAT UP	heat up	calentar		iyoti
Araona	1232	WARM				a-asho
Araona	48	BE SILENT	be silent	callarse	ficar em silêncio	
Araona	612	HEAT	heat	calor		
Araona	1096	SONG	song	canción		
Araona	1996	GET TIRED	get tired	cansar(se)		taeni
Araona	860	CAUSE	cause	causar	causa	me
