DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	Form
Cavineña	1531	BRANCH	branch	-aa
Cavineña	1592	CHEST	chest	-akwa
Cavineña	1307	LANGUAGE	language	-ana
Cavineña	1205	TONGUE	tongue	-ana
Cavineña	1248	EYE	eye	-atuka
Cavineña	1405	NAME	name	-bakani
Cavineña	1560	FACE	face	-bawa, eketi
Cavineña	1291	BACK	back	-bebakwa, -tibu
Cavineña	1673	ARM	arm	-bi
Cavineña	1204	BARK	bark	-biti
Cavineña	580	FUR	fur	-biti
Cavineña	690	BOTTOM	bottom	-busu, -tibu
Cavineña	1393	HORN (ANATOMY)	horn (anatomy)	-dana
Cavineña	2252	PATH	path	-diji
Cavineña	628	LEAF	leaf	-jaki
Cavineña	688	LUNG	lung	-jasa
Cavineña	744	EGG	egg	-ka
Cavineña	1507	FRUIT	fruit	-kaka
Cavineña	797	TESTICLES	testicles	-kaka
Cavineña	816	HALF	half	-kare
Cavineña	1201	FEATHER	feather	-kata, ududu
Cavineña	420	FOREST	forest	-kike
Cavineña	674	MOUTH	mouth	-kwatsa, -atsanaka
Cavineña	1382	NEEDLE (FOR SEWING)	needle (for sewing)	-kwija
Cavineña	1480	BODY	body	-kwita
Cavineña	318	FOOTPRINT	footprint	-mekware
Cavineña	1766	FINISH	finish	-meshuru
Cavineña	1303	FINGER	finger	-metuku
Cavineña	948	WATER	water	-na
Cavineña	942	HONEY	honey	-nakaka, waja
Cavineña	1223	HEART	heart	-niju
Cavineña	834	BUTTOCKS	buttocks	-tada
Cavineña	1224	LIVER	liver	-takwa
Cavineña	1183	PALM OF HAND	palm of hand	-takwa
Cavineña	1301	FOOT	foot	-tibu, -wachi
Cavineña	221	FIRE	fire	-tiki
Cavineña	212	FIELD	field	-tipare
Cavineña	239	FLOWER	flower	-tsa
Cavineña	1297	LEG	leg	-tsaka
Cavineña	1583	BRAIN	brain	-tsapuna
Cavineña	189	HAIR (BODY)	hair (body)	-tsaru
Cavineña	2648	HAIR (HEAD)	hair (head)	-tsaru
Cavineña	1394	BONE	bone	-tsau
Cavineña	1380	TOOTH	tooth	-tse
Cavineña	1221	NOSE	nose	-wikani
Cavineña	1711	TELL	tell	a-, kweja
Cavineña	1047	PURSUE	pursue	aaje
Cavineña	48	BE SILENT	be silent	abakatana
Cavineña	700	CARRY	carry	abu
Cavineña	3898	ACCEPT	accept	acepta a
Cavineña	1246	SMALL	small	achacha
Cavineña	707	REMEMBER	remember	adeba
Cavineña	2248	KNOW (SOMEBODY)	know (somebody)	adeba, bawe ju-
Cavineña	1410	KNOW (SOMETHING)	know (something)	adeba, bawe ju-
Cavineña	2006	FILL	fill	aikwana, jeke
