DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM
Chipaya	1256	HEAD	acha, phurna
Chipaya	1229	OLD	achi
Chipaya	1453	WASH	aju-z, ajun-z
Chipaya	1726	WET	ajwi
Chipaya	1215	THOU	am
Chipaya	1415	THINK (REFLECT)	am-ti-z, lap’i-zi-z
Chipaya	1213	YOU	am-truka
Chipaya	923	LOVE	am-z, pek-z
Chipaya	1269	NO	ana
Chipaya	1376	NOW	anzi, anchha
Chipaya	998	PUT	ap-jat-z
Chipaya	501	LIFT	ap-ti-z, wayti-z
Chipaya	1127	SEND	apa-y-z, khit-z
Chipaya	215	LIE DOWN	aphz-qa-z
Chipaya	1085	FOLLOW	apz-z, jor-z
Chipaya	7	GATHER	aqh-z
Chipaya	141	BURN (SOMETHING)	as-z, thap-z, uj-z
Chipaya	1428	BURNING	as-z, uj-z
Chipaya	630	LIGHT (RADIATION)	as, asa
Chipaya	478	LIP	ata-pulu
Chipaya	123	FOREHEAD	aya
Chipaya	1406	FAR	azhq-kina
Chipaya	1847	SICK	azin-z, laa
Chipaya	715	SHOUT	ch’ajwa
Chipaya	1033	GRIND	ch’eqh-z, hal-z, jawin-z
Chipaya	227	FISH	ch’iz
Chipaya	879	COUGH	ch’oj-z
Chipaya	1425	GREEN	ch’ojña
Chipaya	606	GRASS	ch’ojña, k’aphara, saqwa
Chipaya	1839	CRY	ch’oy-z
Chipaya	48	BE SILENT	ch’uj-z
Chipaya	777	FLUTE	ch’uli, wawku
Chipaya	1421	SUCK	ch’um-z
Chipaya	1202	BIG	chajuku
Chipaya	1046	SHUT	chakhu-z, phuk-z
Chipaya	1567	DOOR	chakhuza, qatana
Chipaya	907	OLD WOMAN	chakw
Chipaya	406	OLD MAN	chakwa
Chipaya	2648	HAIR (HEAD)	chara, choma
Chipaya	189	HAIR (BODY)	chara, choma
Chipaya	52	SHIVER	cheqh-z
Chipaya	1409	SEE	cher-z
Chipaya	1204	BARK	chhajpi
Chipaya	628	LEAF	chhañi
Chipaya	2014	GO DOWN (DESCEND)	chhiju-z
Chipaya	38	SPREAD OUT	chhin-z
Chipaya	214	STRETCH	chhin-z
Chipaya	729	DAWN	chhipu
Chipaya	634	MEAT	chhizwi
Chipaya	1587	SMELL (STINK)	chhonan-z
Chipaya	658	RAIN (PRECIPITATION)	chij-ñi, qarpa
Chipaya	816	HALF	chika-ta
Chipaya	1149	ORPHAN	chita, wajcha
Chipaya	1335	WHITE	chiwi
Chipaya	1623	SPEAK	chiy-z
Chipaya	1884	HARD	chojru
Chipaya	1803	WOOD	chojsa
Chipaya	602	HIDE (CONCEAL)	chooj-z, uk-z
Chipaya	1109	WOUND	choojri
Chipaya	1864	HUNGER	eekz
Chipaya	1217	FATHER	ep
Chipaya	1231	NEW	ewu
Chipaya	677	AXE	hacha
Chipaya	1594	FLOUR	hak’u, pitu
Chipaya	1480	BODY	hanchi
Chipaya	1329	TOMORROW	haqa
Chipaya	1237	WHERE	haqzi
Chipaya	1906	SOUR	haru, k’allku
Chipaya	887	BITTER	haru, k’allku
Chipaya	1268	YES	heez, way
Chipaya	1235	WHO	hek
Chipaya	700	CARRY	heps-z
Chipaya	1313	MOON	hiiz
Chipaya	1759	OLDER BROTHER	hila
Chipaya	162	HICCOUGH	hiwk-t’i-z
Chipaya	1418	DIG	hwet-z, tuq-z
Chipaya	1767	SCRAPE	ikh-z, chhir-z
Chipaya	781	FEAR (FRIGHT)	iqz
Chipaya	1387	ARRIVE	ira-nti-z
Chipaya	319	LICK	is-z
Chipaya	1258	FINGERNAIL	isñi
Chipaya	1733	RAINBOW	itiku, kumaari
Chipaya	1261	SING	its-z, rim-z
Chipaya	1380	TOOTH	izhqi
Chipaya	1244	THICK	jata
Chipaya	956	FLEE	jir-z
Chipaya	1150	THUNDER	jor-jor-ñi, q’iju-q’iju-ñi
Chipaya	1346	THROAT	jora
Chipaya	1363	VOICE	jora, taqu
Chipaya	1983	SNORE	joran-z
Chipaya	1961	NECKLACE	jorkiza
Chipaya	1278	VOMIT	jot-z
Chipaya	21	TASTE (SOMETHING)	juzta-z
Chipaya	680	BREAK (DESTROY OR GET DESTROYED)	jwar-z, qholz-z
Chipaya	1735	TEAR (SHRED)	jwar-z, qholz-z
Chipaya	3020	BREAK (BREAKING)	jwar-z, qholz-z
Chipaya	352	UNTIE	jwer-z, chhoq-z
Chipaya	1449	RUB	jwit-z
Chipaya	1631	FAST	k’unchi
Chipaya	694	GET	katu-q-t’i-z
Chipaya	1592	CHEST	keka
Chipaya	1942	NEAR	kezhu
Chipaya	3456	CRAWL OR CREEP	kherwi-z
Chipaya	1156	OPEN	khet-z
Chipaya	323	FAT (ORGANIC SUBSTANCE)	khewa
Chipaya	1052	LIGHT (WEIGHT)	khezhi, wazha
Chipaya	1672	WRITE	khir-z
Chipaya	1458	SAY	khiy-z
