DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM
Tacana	1458	SAY	a, pu
Tacana	700	CARRY	abu
Tacana	1382	NEEDLE (FOR SEWING)	acusha
Tacana	1244	THICK	adha
Tacana	1230	DIRTY	adhida, budhuji
Tacana	738	THING	ai
Tacana	1236	WHAT	ai
Tacana	634	MEAT	aicha
Tacana	1202	BIG	aida
Tacana	1235	WHO	aidhe
Tacana	946	BLOOD	ami
Tacana	619	ANIMAL	animalu
Tacana	1476	CHAIR	aniude
Tacana	907	OLD WOMAN	anu
Tacana	1766	FINISH	ape
Tacana	906	TREE	aqui
Tacana	1443	WALK	ase
Tacana	1430	STAR	atujau
Tacana	1409	SEE	ba
Tacana	406	OLD MAN	baba, tata edhi
Tacana	1043	BRAID	bacuapa
Tacana	1313	MOON	badi
Tacana	121	SPIN	badu
Tacana	1410	KNOW (SOMETHING)	bahue
Tacana	1580	ONLY	bahui, hue
Tacana	624	LAKE	bai
Tacana	1869	BUY	baja
Tacana	1828	ASK (REQUEST)	baja
Tacana	1977	DEW	baji
Tacana	632	LIZARD	banacua
Tacana	1274	SALT	banu
Tacana	1278	VOMIT	batasiu, puti-puti
Tacana	1203	LONG	bauda
Tacana	1574	FLOAT	bed’a
Tacana	1564	LAZY	bei
Tacana	1127	SEND	beitu
Tacana	682	SIDE	bene
Tacana	960	WIND	beni
Tacana	1498	TWO	beta
Tacana	1439	SWIM	betsa
Tacana	1517	WASP	bia
Tacana	1392	LOUSE	bia
Tacana	919	CHILI PEPPER	bid’u
Tacana	601	LIE (MISLEAD)	bid’umimi pu
Tacana	1324	SLIP	bidha
Tacana	1793	BAT	bina
Tacana	1210	HEAVY	biqueda
Tacana	1291	BACK	bishi, yarapa
Tacana	717	SWEET	bitada
Tacana	1489	CLOUD	budhu, judu
Tacana	1732	SKY	buepa
Tacana	1808	PUS	busu
Tacana	203	MARRY	butsene-ti, yahue-ti
Tacana	1404	STRAIGHT	butsepi
Tacana	1543	SNAIL	buturu, d’emu
Tacana	321	CHEW	cachu
Tacana	1970	CANOE	canua
Tacana	1468	LOOK FOR	chacu
Tacana	1819	LOOK	chama
Tacana	1425	GREEN	china
Tacana	1421	SUCK	chuchu
Tacana	371	PICK UP	chudu
Tacana	1752	LEAVE	cua
Tacana	1441	FLY (MOVE THROUGH AIR)	cua-betsa
Tacana	925	CASSAVA	cuahue
Tacana	1239	HOW	cuaja
Tacana	1216	MOTHER	cuara
Tacana	679	BRIGHT	cuareda, siresire
Tacana	1232	WARM	cuaseseda
Tacana	10	FIREWOOD	cuati
Tacana	737	LIGHT (IGNITE)	cuati-turu, huitsu
Tacana	1337	PIG	cuchi
Tacana	1387	ARRIVE	cuina
Tacana	1090	BE BORN	cuina
Tacana	1107	GO OUT	cuinana
Tacana	1923	ROUGH	d’aca-d’aca
Tacana	1761	YOUNGER SISTER	d’ana
Tacana	1892	TOUCH	d’apana
Tacana	1760	YOUNGER BROTHER	d’au
Tacana	141	BURN (SOMETHING)	d’ed’a
Tacana	843	SPIDER	d’etete
Tacana	937	BIRD	d’ia
Tacana	506	MAIZE	d’ije
Tacana	680	BREAK (DESTROY OR GET DESTROYED)	d’iu
Tacana	1539	BASKET	d’ujuju
Tacana	388	FISHNET	d’ujuju
Tacana	1280	FALL	dajaja
Tacana	112	TURTLE	dati
Tacana	1100	COOK (SOMETHING)	dau, jana pu
Tacana	1554	MAN	deja
Tacana	1672	WRITE	dere
Tacana	155	CHOP	dha-dha
Tacana	1750	CHOOSE	dhare
Tacana	708	SHINE	dharu-dharu-a, d’ia
Tacana	163	BLACK	dhehuena
Tacana	156	RED	dherena, dhereda
Tacana	1233	NIGHT	dhidha
Tacana	378	PINCH	dhiju
Tacana	681	DESTROY	dhirape
Tacana	1576	PILE UP	dhita
Tacana	1475	COMB	dhupa
Tacana	1336	EAT	dia
Tacana	21	TASTE (SOMETHING)	dia-ba
Tacana	1758	OLDER SISTER	dudu
Tacana	1033	GRIND	dudu
Tacana	1198	MANY	dueji
Tacana	1593	DEEP	duenda
Tacana	1358	ENEMY	duininibaji
Tacana	692	BRING	duse
Tacana	1673	ARM	e-bai
Tacana	1405	NAME	e-bani
Tacana	318	FOOTPRINT	e-baqui
Tacana	981	ELBOW	e-batsu
Tacana	1204	BARK	e-biti
Tacana	763	SKIN	e-biti
Tacana	1256	HEAD	e-chua
Tacana	1583	BRAIN	e-chua bushu
Tacana	2648	HAIR (HEAD)	e-chua-ina
Tacana	301	CHIEFTAIN	e-cuai
Tacana	505	PARENTS	e-cuaretse
Tacana	674	MOUTH	e-cuatsa
Tacana	798	JAW	e-d’ahui
Tacana	1393	HORN (ANATOMY)	e-dana
Tacana	1207	YOUNG	e-deahue
Tacana	1644	RELATIVES	e-due
Tacana	1199	WIFE	e-huane
Tacana	1301	FOOT	e-huatsi
Tacana	980	HEEL	e-huatsi tiadi
Tacana	1221	NOSE	e-hui
Tacana	1247	EAR	e-id’aja
Tacana	404	ALCOHOL (FERMENTED DRINK)	e-id’i
Tacana	1372	MEDICINE	e-idue
Tacana	628	LEAF	e-ina
Tacana	1201	FEATHER	e-ina
Tacana	189	HAIR (BODY)	e-inua
Tacana	744	EGG	e-ja
Tacana	714	SEED	e-jaja
Tacana	797	TESTICLES	e-jaja
Tacana	1303	FINGER	e-jatsa
Tacana	420	FOREST	e-jije
Tacana	1371	KNEE	e-madachua
Tacana	1277	HAND	e-me
Tacana	1183	PALM OF HAND	e-me-tacua
Tacana	1258	FINGERNAIL	e-metid’i
Tacana	1257	WING	e-nabaji
Tacana	1333	NECK	e-naja
Tacana	811	SOUL	e-nid’u
Tacana	489	KIDNEY	e-paidhudu, muru-muru-ji
Tacana	1594	FLOUR	e-pamu
Tacana	2	DUST	e-pamu
Tacana	801	RIB	e-pareiri
Tacana	1325	FRIEND	e-pereji
Tacana	77	YOUNG WOMAN	e-puneje chidi
Tacana	76	YOUNG MAN	e-puneje chidi
Tacana	2144	SPRING OR WELL	e-pururu
Tacana	478	LIP	e-queque
Tacana	1480	BODY	e-quita
Tacana	539	NEST	e-sa-ji
Tacana	1895	CLOTHES	e-sai-ba-ji
Tacana	1398	DRY	e-sara
Tacana	1252	HOUSE	e-te
Tacana	769	ROOF	e-te beji
Tacana	1567	DOOR	e-teri-ji
Tacana	1188	CHARCOAL	e-tid’e
Tacana	471	UPPER LEG (THIGH)	e-tidada
Tacana	1297	LEG	e-tidada
Tacana	1220	TAIL	e-tidha, e-tima
Tacana	646	ASH	e-timu
Tacana	1394	BONE	e-tsau
Tacana	1380	TOOTH	e-tse
Tacana	323	FAT (ORGANIC SUBSTANCE)	e-tsei
Tacana	1363	VOICE	e-tsui
Tacana	1346	THROAT	e-tsui-jani
Tacana	772	BELT	e-tu-risi-ji
Tacana	1248	EYE	e-tua
Tacana	1540	EYELASH	e-tua queque ina
Tacana	1173	EYEBROW	e-tua shinu
Tacana	1591	UP	e-baque
Tacana	1560	FACE	e-bu
Tacana	670	ROOT	e-d’au
Tacana	1959	RAW	e-dhahua
Tacana	2113	OLD (USED)	e-dhi
Tacana	1229	OLD	e-dhi
Tacana	1606	INSIDE	e-dume su
Tacana	816	HALF	e-dusete
Tacana	1268	YES	ehe
Tacana	1231	NEW	e-ichacua, e-nana
Tacana	1485	BELOW OR UNDER	e-ma su
Tacana	1209	I	ema, yama
Tacana	834	BUTTOCKS	e-mutu
Tacana	1958	UNRIPE	e-nana
Tacana	1657	TRUE	e-ni
Tacana	1035	GOOD	e-ni, saida
Tacana	962	WOMAN	e-puna
Tacana	1883	IN FRONT OF	e-quene
Tacana	728	FIRST	e-quene
Tacana	178	RIPE	e-sehua
Tacana	1429	FULL	e-seje
Tacana	762	OUTSIDE	e-tseque su
Tacana	1246	SMALL	huai chidi
Tacana	765	MOVE	huaji-huaji
Tacana	214	STRETCH	huana
Tacana	1586	SMELL (PERCEIVE)	huaniba
Tacana	1850	COTTON	huapese
Tacana	1149	ORPHAN	huaquicha
Tacana	731	BEVERAGE	huarapu
Tacana	1318	CHICKEN	huaripa
Tacana	665	BEE	huasa
Tacana	942	HONEY	huasa ena
Tacana	630	LIGHT (RADIATION)	hueda
Tacana	729	DAWN	huena
Tacana	1504	FLY (INSECT)	huere-huere
Tacana	2003	FLOW	hueu pu
Tacana	1025	WHISTLE	hui
Tacana	592	PISS	huia
Tacana	208	NASAL MUCUS (SNOT)	huid’i
Tacana	1287	COLD	huinada
Tacana	897	SWALLOW	ibudia
Tacana	998	PUT	icha
Tacana	38	SPREAD OUT	icha-huana
Tacana	928	EMBRACE	id'ami
Tacana	1408	HEAR	id’aba
Tacana	996	DEAF	id’aja mahue
Tacana	1602	WAKE UP	id’e-cuina
Tacana	1343	SUN	id’eti
Tacana	1401	DRINK	id’i
Tacana	587	ANT	id’ui
Tacana	1084	CALL	ihua
Tacana	1728	ROTTEN	ihuida
Tacana	1961	NECKLACE	ine
Tacana	1571	SELL	iru
Tacana	781	FEAR (FRIGHT)	iyuame
Tacana	1444	TURN AROUND	ja-barerea-ti
Tacana	1831	MEET	ja-dhitati
Tacana	1423	FIGHT	ja-iche-ti
Tacana	1778	APPROACH	ja-naria-ti
Tacana	549	COPULATE	ja-quina-ti
Tacana	581	COME BACK	ja-sia-pa-ti
Tacana	1413	PLAY	ja-situ-ti
Tacana	129	CHOKE	jaana-sia-teri-ti
Tacana	1407	BREATHE	jaanata
Tacana	677	AXE	jacha
Tacana	590	NAKED	jahuijati
Tacana	1355	LAUGH	jaid’ebati
Tacana	256	FOOD	jana
Tacana	168	REST	janahua
Tacana	159	SWEET POTATO	jariri
Tacana	715	SHOUT	jeje, tsiatsia
Tacana	908	DRUM	jememe
Tacana	864	PUMPKIN	jemi
Tacana	1359	SEPARATE	jemi-dera
Tacana	1275	ANSWER	jeu-tsu
Tacana	1376	NOW	jiahue
Tacana	1486	PLANT (SOMETHING)	juchu
Tacana	778	SMOKE (EXHAUST)	judu
Tacana	1519	RUN	jududu
Tacana	175	BLOW (OF WIND)	juju
Tacana	3653	COOKING POT	jutu
Tacana	671	SAND	jutu-jutu
Tacana	1267	NARROW	ma huaichidi, upahaichidi
Tacana	1292	BAD	madhada
Tacana	1269	NO	mahue
Tacana	1417	KILL	manu-a-me
Tacana	1226	YEAR	mara
Tacana	1161	THREAD	masi
Tacana	1374	RING	metara
Tacana	1172	SHOOT	metse nuru, puju-ju
Tacana	48	BE SILENT	mi-tana
Tacana	1215	THOU	mi, mida
Tacana	1213	YOU	micuana, metse
Tacana	1623	SPEAK	mimi
Tacana	1307	LANGUAGE	mimi cuana
Tacana	1208	CAT	mishi
Tacana	1223	HEART	muesumu
Tacana	819	STOMACH	muesumu
Tacana	1329	TOMORROW	mueta
Tacana	119	DIVE	murara
Tacana	479	GROW	muru
Tacana	1414	SQUEEZE	na-huatsu
Tacana	658	RAIN (PRECIPITATION)	nai
Tacana	1942	NEAR	nari
Tacana	1986	DISEASE	neda
Tacana	1847	SICK	neda-ji sa
Tacana	1442	STAND	neti
Tacana	501	LIFT	neti-a
Tacana	749	ENTER	nubi
Tacana	1452	PUSH	nunu
Tacana	606	GRASS	nutsa
Tacana	1856	SOFT	nutsada
Tacana	1839	CRY	pa
Tacana	1243	WIDE	pa aida
Tacana	98	ALL	pamapa
Tacana	1719	BURY	papa, quitane
Tacana	1909	SHAKE	patara, ria
Tacana	887	BITTER	patseda
Tacana	1437	SPLIT	ped’u
Tacana	1418	DIG	peda
Tacana	1052	LIGHT (WEIGHT)	pejuda
Tacana	1005	TWINS	pere
Tacana	1493	ONE	piada
Tacana	1415	THINK (REFLECT)	piba
Tacana	707	REMEMBER	piba-me
Tacana	1156	OPEN	pirara
Tacana	1631	FAST	pirida
Tacana	977	ARROW	pisa
Tacana	994	BOW	pisatsue
Tacana	493	FIVE	pishica
Tacana	1446	COME	pu-e
Tacana	695	GO	pu-ti
Tacana	1674	POOR	puri
Tacana	1500	FOUR	pushi
Tacana	1157	BECAUSE	putsu
Tacana	678	BEARD	quedha
Tacana	1396	SHARP	quejuda
Tacana	777	FLUTE	quena
Tacana	1237	WHERE	quepia
Tacana	1238	WHEN	quetupu
Tacana	1222	PENIS	qui
Tacana	492	THREE	quimisha
Tacana	1309	ASK (INQUIRE)	quisa-ba
Tacana	1440	SPIT	quitua
Tacana	1983	SNORE	racaca
Tacana	1432	CUT	raja, dha-dha
Tacana	1667	HOLE	rara
Tacana	1218	ROPE	reijiji
Tacana	3456	CRAWL OR CREEP	rerua
Tacana	1075	TRAP (PITFALL)	ribi, d’ibi
Tacana	380	WRINKLED	richi-richi
Tacana	602	HIDE (CONCEAL)	rubua
Tacana	1453	WASH	rucua
Tacana	1457	SEW	rusu
Tacana	215	LIE DOWN	sa-na
Tacana	1791	BUTTERFLY	sababa
Tacana	499	CURE	saisia-me
Tacana	1906	SOUR	sajuda, tebuda
Tacana	1185	VULTURE	samani
Tacana	1261	SING	satsu
Tacana	227	FISH	se
Tacana	1523	FORGET	seta
Tacana	2248	KNOW (SOMEBODY)	shanapa
Tacana	239	FLOWER	shasha
Tacana	1456	THROW	sia
Tacana	1286	HOT	sinada
Tacana	1360	DUCK	suse
Tacana	1733	RAINBOW	susenabacua
Tacana	133	WEAVE	tad’i
Tacana	1884	HARD	tadada
Tacana	1767	SCRAPE	tadhi
Tacana	1585	SLEEP	tahui
Tacana	1920	DREAM (SOMETHING)	tahui-tsu
Tacana	1388	SHADE	tanana
Tacana	2004	BEND	tanuja
Tacana	1217	FATHER	tata
Tacana	1829	JUMP	tenatsua, biatena
Tacana	1046	SHUT	teri
Tacana	1447	GIVE	tia
Tacana	1424	YELLOW	tid’ina
Tacana	1621	SNEEZE	tid’u
Tacana	1686	BEHIND	tije
Tacana	1085	FOLLOW	tije-tije a
Tacana	127	EXTINGUISH	tiju
Tacana	1879	DANCE	tiri-tiri
Tacana	923	LOVE	tsa-da ba
Tacana	1784	WANT	tsa, utsata
Tacana	1726	WET	tsabida
Tacana	1897	HELP	tsahua
Tacana	2017	MIX	tsapia-tsapia
Tacana	735	OWL	tsaudachi
Tacana	704	CLEAN	tseruda
Tacana	1463	DRUNK	tsetsejiji
Tacana	319	LICK	tseu
Tacana	713	STEAL	tsi
Tacana	1109	WOUND	tsiji
Tacana	1225	DAY (NOT NIGHT)	tsine
Tacana	719	FIND	tsu
Tacana	705	GO UP (ASCEND)	tsua
Tacana	1403	BITE	tsui
Tacana	1838	NAVEL	tsuju
Tacana	1651	TEAR (OF EYE)	tua-na
Tacana	956	FLEE	tuasiu
Tacana	3188	MIGHTY OR POWERFUL OR STRONG	tucheda
Tacana	817	THEY	tuneda
Tacana	1219	WORM	tunu
Tacana	827	ROLL	tuquiriri-a
Tacana	297	CROOKED	turi
Tacana	66	KNEEL	tururu
Tacana	2009	DOG	uchi
Tacana	1242	FEW	ucua chidi
Tacana	974	TOBACCO	umasa
Tacana	1689	SMOKE (INHALE)	umasa pu
Tacana	1406	FAR	uqueda
Tacana	1759	OLDER BROTHER	usi
Tacana	1428	BURNING	utsu-a
Tacana	879	COUGH	utu
Tacana	1200	HUSBAND	yahue
Tacana	948	WATER	yahui
Tacana	1205	TONGUE	yana
Tacana	1304	CHILD (YOUNG HUMAN)	yanana
Tacana	1289	BABY	yanana chidi
Tacana	1482	SHOULDER	yarapa
Tacana	652	PLAIN	yatsi
Tacana	360	FAN (ACTION)	
Tacana	3898	ACCEPT	
Tacana	1434	STAB	
Tacana	46	HOLLOW OUT	
Tacana	1917	TIE	
Tacana	42	STINKING	
Tacana	1587	SMELL (STINK)	
Tacana	999	JOINT	
Tacana	1886	ARMPIT	
Tacana	837	BLUE	
Tacana	3472	DANCE (MOVEMENT)	
Tacana	138	BATHE	
Tacana	1510	CHIN	
Tacana	1335	WHITE	
Tacana	612	HEAT	
Tacana	1096	SONG	
Tacana	1435	HUNT	
Tacana	212	FIELD	
Tacana	1860	BEAD	
Tacana	269	COOKED	
Tacana	1711	TELL	
Tacana	1645	SHORT	
Tacana	761	COVER	
Tacana	676	SHIT (DEFECATE)	
Tacana	2866	DROP (SOMETHING)	
Tacana	1973	DEMON	
Tacana	1019	RIGHT	
Tacana	2014	GO DOWN (DESCEND)	
Tacana	2561	HURT (SENSE PAIN)	
Tacana	1783	PAIN	
Tacana	1129	PAINFUL	
Tacana	855	SEIZE	
Tacana	1175	GHOST	
Tacana	123	FOREHEAD	
