ID	DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE
1	Maxuruna	1335	WHITE	se
2	Atsahuaca	1247	EAR	páucani
3	Maxuruna	811	SOUL	nuntschusin
4	Maxuruna	1374	RING	matscho
5	Maxuruna	948	WATER	uaka
6	Maxuruna	906	TREE	yuy
7	Maxuruna	1408	HEAR	ghoake
8	Maxuruna	1496	GRANDMOTHER	schanu
9	Maxuruna	1247	EAR	papischan
10	Atsahuaca	1277	HAND	emé
11	Maxuruna	1383	GRANDFATHER	pontároa
12	Maxuruna	837	BLUE	tschüschü
13	Maxuruna	2648	HAIR (HEAD)	pu
14	Maxuruna	1333	NECK	saua
15	Arazaire	1221	NOSE	ā́wui
16	Maxuruna	1223	HEART	uinté
17	Maxuruna	1480	BODY	tahnine
18	Maxuruna	1329	TOMORROW	pariuschin
19	Maxuruna	1297	LEG	uipuku
20	Maxuruna	981	ELBOW	mupukuschau
21	Maxuruna	1225	DAY (NOT NIGHT)	pari-koisnas
22	Maxuruna	1336	EAT	yupenu
23	Maxuruna	1209	I	üpü
24	Maxuruna	1424	YELLOW	meos
25	Maxuruna	123	FOREHEAD	pumunan
26	Atsahuaca	1837	VULVA	hṓše
27	Maxuruna	1654	LIGHTNING	ghanantes
28	Maxuruna	1224	LIVER	tacqua
29	Maxuruna	1482	SHOULDER	putukunde
30	Atsahuaca	221	FIRE	chi
31	Maxuruna	221	FIRE	tzy
32	Maxuruna	1269	NO	ay
33	Maxuruna	478	LIP	guipý
34	Maxuruna	624	LAKE	tschan
35	Maxuruna	857	STONE	mesky
36	Maxuruna	420	FOREST	yuy
37	Maxuruna	1205	TONGUE	âna
38	Maxuruna	1203	LONG	tschuu
39	Arazaire	778	SMOKE (EXHAUST)	yúša
40	Atsahuaca	778	SMOKE (EXHAUST)	chicuani
41	Maxuruna	1402	BREAST	schuma
42	Maxuruna	1277	HAND	mukoü
43	Maxuruna	1216	MOTHER	mama
45	Maxuruna	962	WOMAN	tschirabo
46	Maxuruna	1221	NOSE	tüschan
47	Maxuruna	163	BLACK	tschüschü
48	Maxuruna	1269	NO	papy
49	Maxuruna	1212	WE	üpü
50	Maxuruna	1233	NIGHT	dschá-muras
51	Maxuruna	1248	EYE	pora
52	Maxuruna	674	MOUTH	üschá
53	Maxuruna	674	MOUTH	üschá
54	Maxuruna	1183	PALM OF HAND	mukinapasch
56	Maxuruna	1217	FATHER	papa
58	Maxuruna	1592	CHEST	takua
59	Maxuruna	1301	FOOT	uitas
60	Maxuruna	1371	KNEE	tantuscha
61	Maxuruna	1593	DEEP	maianzy
62	Maxuruna	1646	GIRL	sumayuka
63	Maxuruna	1366	BOY	tara nakany-qua
64	Maxuruna	670	ROOT	schuku
65	Maxuruna	156	RED	schyn
66	Maxuruna	946	BLOOD	ymy
67	Maxuruna	1343	SUN	pary
68	Maxuruna	1173	EYEBROW	purukupeze
69	Maxuruna	420	FOREST	nimuru
70	Maxuruna	1228	EARTH (SOIL)	mapu
71	Maxuruna	797	TESTICLES	ubu
72	Maxuruna	1150	THUNDER	apokuré
73	Maxuruna	1215	THOU	miby
74	Maxuruna	1251	BELLY	pokukite
75	Arazaire	227	FISH	seuva
76	Maxuruna	1425	GREEN	pürama
