ID	DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE
1	Maxuruna	1335	WHITE	se
2	Atsahuaca	1247	EAR	páucani
3	Maxuruna	811	SOUL	nuntschusin
4	Maxuruna	1374	RING	matscho
5	Maxuruna	948	WATER	uaka
6	Maxuruna	906	TREE	yuy
7	Maxuruna	1408	HEAR	ghoake
8	Maxuruna	1247	EAR	papischan
9	Atsahuaca	1277	HAND	emé
10	Maxuruna	837	BLUE	tschüschü
11	Maxuruna	2648	HAIR (HEAD)	pu
12	Maxuruna	1333	NECK	saua
13	Arazaire	1221	NOSE	ā́wui
14	Maxuruna	1223	HEART	uinté
15	Maxuruna	1480	BODY	tahnine
16	Maxuruna	1329	TOMORROW	pariuschin
17	Maxuruna	1297	LEG	uipuku
18	Maxuruna	981	ELBOW	mupukuschau
19	Maxuruna	1225	DAY (NOT NIGHT)	pari-koisnas
20	Maxuruna	1336	EAT	yupenu
21	Maxuruna	1209	I	üpü
22	Maxuruna	1424	YELLOW	meos
23	Maxuruna	123	FOREHEAD	pumunan
24	Atsahuaca	1837	VULVA	hṓše
25	Maxuruna	1654	LIGHTNING	ghanantes
26	Maxuruna	1224	LIVER	tacqua
27	Maxuruna	1482	SHOULDER	putukunde
28	Atsahuaca	221	FIRE	chi
29	Maxuruna	221	FIRE	tzy
30	Maxuruna	1269	NO	ay
31	Maxuruna	478	LIP	guipý
32	Maxuruna	624	LAKE	tschan
33	Maxuruna	857	STONE	mesky
34	Maxuruna	420	FOREST	yuy
35	Maxuruna	1205	TONGUE	âna
36	Maxuruna	1203	LONG	tschuu
37	Arazaire	778	SMOKE (EXHAUST)	yúša
38	Atsahuaca	778	SMOKE (EXHAUST)	chicuani
39	Maxuruna	1402	BREAST	schuma
40	Maxuruna	1277	HAND	mukoü
41	Maxuruna	1216	MOTHER	mama
42	Maxuruna	962	WOMAN	tschirabo
43	Maxuruna	1221	NOSE	tüschan
44	Maxuruna	163	BLACK	tschüschü
45	Maxuruna	1269	NO	papy
46	Maxuruna	1212	WE	üpü
47	Maxuruna	1233	NIGHT	dschá-muras
48	Maxuruna	1248	EYE	pora
49	Maxuruna	674	MOUTH	üschá
50	Maxuruna	674	MOUTH	üschá
51	Maxuruna	1183	PALM OF HAND	mukinapasch
52	Maxuruna	1217	FATHER	papa
53	Maxuruna	1592	CHEST	takua
54	Maxuruna	1301	FOOT	uitas
55	Maxuruna	1371	KNEE	tantuscha
56	Maxuruna	1593	DEEP	maianzy
57	Maxuruna	1646	GIRL	sumayuka
58	Maxuruna	1366	BOY	tara nakany-qua
59	Maxuruna	670	ROOT	schuku
60	Maxuruna	156	RED	schyn
61	Maxuruna	946	BLOOD	ymy
62	Maxuruna	1343	SUN	pary
63	Maxuruna	1173	EYEBROW	purukupeze
64	Maxuruna	420	FOREST	nimuru
65	Maxuruna	1228	EARTH (SOIL)	mapu
66	Maxuruna	797	TESTICLES	ubu
67	Maxuruna	1150	THUNDER	apokuré
68	Maxuruna	1215	THOU	miby
69	Maxuruna	1251	BELLY	pokukite
70	Arazaire	227	FISH	seuva
71	Maxuruna	1425	GREEN	pürama
72	Maxuruna	1838	NAVEL	nitschum-puru
73	Maxuruna	1493	ONE	pazü
74	Maxuruna	1498	TWO	taboe
