DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Amahuaca	1443	WALK	walk	caminar, andar	andar, caminhar	cáhi
Amahuaca	1172	SHOOT	shoot	disparar, tirar	disparar, fuzilar	cánuquin
Amahuaca	2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien		hónanhi
Amahuaca	2486	HIDE	hide	esconder	ESCONDER	jónuquin
Amahuaca	1958	UNRIPE	unripe	inmaduro, no maduro, verde	verde, imaturo	macó
Amahuaca	1588	TURN	turn	girar, voltearse	virar	máyahi
Amahuaca	2223	BE ANGRY	be angry	enojado		nótzi
Amahuaca	3898	ACCEPT	accept	aceptar		
Amahuaca	1778	APPROACH	approach	acercarse	aproximar	
Amahuaca	1434	STAB	stab	achurar, acuchillar		
Amahuaca	2912	FORWARD	forward	adelante		
Amahuaca	1606	INSIDE	inside	adentro, dentro	dentro	
Amahuaca	1631	FAST	fast	ágil	rápido, ligeiro	
Amahuaca	811	SOUL	soul	alma	alma, espírito	
Amahuaca	1243	WIDE	wide	ancho, amplio	largo	
Amahuaca	2297	DUSK	dusk	anochecer, atardecer		
Amahuaca	42	STINKING	stinking	apestando	fedorento, mal cheiroso	
Amahuaca	999	JOINT	joint	articulaciones		
Amahuaca	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	
Amahuaca	1174	YESTERDAY	yesterday	ayer	ontem	
Amahuaca	3472	DANCE (MOVEMENT)	dance (movement)	baile, danza		
Amahuaca	1510	CHIN	chin	barbilla, mentón	queixo	
Amahuaca	1289	BABY	baby	bebé	lactente	
Amahuaca	1185	VULTURE	vulture	buitre	urubu, abutre	
Amahuaca	612	HEAT	heat	calor		
Amahuaca	1096	SONG	song	canción		
Amahuaca	1543	SNAIL	snail	caracol	lesma	
Amahuaca	1188	CHARCOAL	charcoal	carbón	carvão	
Amahuaca	860	CAUSE	cause	causar	causa	
Amahuaca	1435	HUNT	hunt	cazar	caçar	
Amahuaca	1173	EYEBROW	eyebrow	ceja	sobrancelhas	
Amahuaca	493	FIVE	five	cinco	cinco	
Amahuaca	7	GATHER	gather	colectar, reunir, compilar, recopilar	colecionar, reunir	
Amahuaca	1840	BUILD	build	construir, edificar	construir	
Amahuaca	1275	ANSWER	answer	contestar, responder	responder	
Amahuaca	738	THING	thing	cosa	coisa	
Amahuaca	1500	FOUR	four	cuatro	quatro	
Amahuaca	1485	BELOW OR UNDER	below or under	debajo	embaixo de	
Amahuaca	676	SHIT (DEFECATE)	shit (defecate)	defecar, excremento (noun)	defecar	
Amahuaca	2866	DROP (SOMETHING)	drop (something)	dejar caer	deixar cair	
Amahuaca	1883	IN FRONT OF	in front of	delante	frente	
Amahuaca	2308	THIN	thin	delgado	fino	
Amahuaca	2334	MELT	melt	derretir		
Amahuaca	590	NAKED	naked	desnudo	despido, nu	
Amahuaca	681	DESTROY	destroy	destruir	destruir	
Amahuaca	1129	PAINFUL	painful	doloroso		
Amahuaca	817	THEY	they	ellos, ellas	eles, elas	
Amahuaca	855	SEIZE	seize	embargar	pegar	
Amahuaca	379	BLUNT	blunt	embotado, romo	embotado, rombudo	
Amahuaca	2327	BECOME SICK	become sick	enfermarse, estar enfermo		
Amahuaca	1986	DISEASE	disease	enfermedad (dolencia)		
Amahuaca	2215	BECOME ANGRY	become angry	enojarse		
Amahuaca	689	BETWEEN	between	entre		
Amahuaca	1267	NARROW	narrow	estrecho, angosto	estreito	
Amahuaca	3287	BLOOM	bloom	florecer		
Amahuaca	2003	FLOW	flow	fluir, correr	fluir	
Amahuaca	3861	FAIL	fail	fracasar		
Amahuaca	1689	SMOKE (INHALE)	smoke (inhale)	fumar	fumar	
Amahuaca	1005	TWINS	twins	gemelos	gêmeos	
Amahuaca	323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)	grasa	gordura	
Amahuaca	307	HAWK	hawk	halcón	gavião	
Amahuaca	1864	HUNGER	hunger	hambre	fome	
Amahuaca	675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes	
Amahuaca	2411	HURT (SOMEBODY)	hurt (somebody)	herir		
Amahuaca	406	OLD MAN	old man	hombre viejo	velho	
Amahuaca	318	FOOTPRINT	footprint	huella	pegada	
Amahuaca	635	MILK	milk	leche	leite	
Amahuaca	1454	WIPE	wipe	limpiar		
Amahuaca	320	LAME	lame	lisiado	coxo	
Amahuaca	652	PLAIN	plain	llanura	campo, planície, savannah	
Amahuaca	640	MUD	mud	lodo	lama, lodo	
Amahuaca	3924	MALE ANIMAL	male animal	macho		
Amahuaca	8	CURSE	curse	maldecir	amaldiçoar	
Amahuaca	2472	SUCKLE (BREASTFEED, NURSE)	suckle (breastfeed, nurse)	mamar		
Amahuaca	1329	TOMORROW	tomorrow	mañana	amanhã	
Amahuaca	806	BLANKET	blanket	manta	cobertor	
Amahuaca	3208	CENTER OR MIDDLE	center or middle	medio, centro	meio, centro	
Amahuaca	2827	MENSTRUATE	menstruate	menstruar		
Amahuaca	208	NASAL MUCUS (SNOT)	nasal mucus (snot)	moco	muco	
Amahuaca	2409	BROWN	brown	moreno		
Amahuaca	907	OLD WOMAN	old woman	mujer vieja	velha	
Amahuaca	1090	BE BORN	be born	nacer	nascer	
Amahuaca	1646	GIRL	girl	niña	menininha	
Amahuaca	2341	CLOUDY	cloudy	nublado		
Amahuaca	739	FEED	feed	nutrir		
Amahuaca	3749	HATE (LOATHING)	hate (loathing)	odiar		
Amahuaca	11	DARKNESS	darkness	oscuridad, tinieblas	escuridão	
Amahuaca	505	PARENTS	parents	padres	pais	
Amahuaca	882	PARROT	parrot	papagayo	papagaio	
Amahuaca	1753	TOP	top	parte superior	cume, topo	
Amahuaca	1159	FART	fart	pedo	peido	
Amahuaca	2614	SKIN (ANIMAL)	skin (animal)	pellejo, piel		
Amahuaca	580	FUR	fur	peludo	pelo	
Amahuaca	683	PERSON	person	persona, ser humano	pessoa, ser humano	
Amahuaca	195	MAT	mat	petate	tapete	
Amahuaca	227	FISH	fish	pez, pescado	peixe	
Amahuaca	72	CLAW	claw	pinza	unha	
Amahuaca	2159	GROUND	ground	piso		
Amahuaca	1674	POOR	poor	pobre	pobre	
Amahuaca	2144	SPRING OR WELL	spring or well	pozo, manantial	nascente, poço	
Amahuaca	1309	ASK (INQUIRE)	ask (inquire)	preguntar	perguntar	
Amahuaca	1913	PRESS	press	presionar	comprimir, apertar	
Amahuaca	1593	DEEP	deep	profundo, hondo	fundo	
Amahuaca	2907	ROT	rot	pudrirse		
Amahuaca	1473	FIST	fist	puño		
Amahuaca	503	FROG	frog	rana	rã	
Amahuaca	371	PICK UP	pick up	recoger	captar	
Amahuaca	1404	STRAIGHT	straight	recto	reto	
Amahuaca	388	FISHNET	fishnet	red, atarraya	rede de pesca	
Amahuaca	870	BREATH	breath	respiro	hálito	
Amahuaca	3224	WRING	wring	retorcer, estrujar		
Amahuaca	696	STIR	stir	revolver		
Amahuaca	1182	NOISE	noise	ruido		
Amahuaca	377	LOUD	loud	ruidoso	ruidoso, barulhento	
Amahuaca	1359	SEPARATE	separate	separar, apartar	separar	
Amahuaca	1719	BURY	bury	sepultar	enterrar	
Amahuaca	641	MUSHROOM	mushroom	seta	cogumelo	
Amahuaca	1476	CHAIR	chair	silla	cadeira	
Amahuaca	1063	NEPHEW	nephew	sobrino	sobrinho	
Amahuaca	129	CHOKE	choke	sofocar	sufocar	
Amahuaca	2506	LOOSE	loose	suelto		
Amahuaca	2374	DREAM	dream	sueño	SONHO / SONHAR	
Amahuaca	974	TOBACCO	tobacco	tabaco	tabaco	
Amahuaca	155	CHOP	chop	tajar, cortar		
Amahuaca	1629	EVENING	evening	tarde	tarde	
Amahuaca	769	ROOF	roof	techo	telhado, teto	
Amahuaca	773	HAVE	have	tener	ter	
Amahuaca	1448	HOLD	hold	tener (en mano), apoyar	segurar, agarrar	
Amahuaca	162	HICCOUGH	hiccough	tener hipo	soluço	
Amahuaca	1419	FEAR (BE AFRAID)	fear (be afraid)	tener miedo	ter medo	
Amahuaca	1232	WARM	warm	tibio, cálido	quente, cálido	
Amahuaca	1327	UNCLE	uncle	tío	tio	
Amahuaca	3913	COUGH (ACT OF COUGHING)	cough (act of coughing)	toser		
Amahuaca	897	SWALLOW	swallow	tragar	tragar, engolir	
Amahuaca	1043	BRAID	braid	trenzar	trança	
Amahuaca	1334	GUTS	guts	tripas	vísceras	
Amahuaca	1150	THUNDER	thunder	trueno	trovão	
Amahuaca	2113	OLD (USED)	old (used)	usado		
Amahuaca	1342	SUMMER	summer	verano	verão	
Amahuaca	976	WEAR	wear	vestir		
Amahuaca	1441	FLY (MOVE THROUGH AIR)	fly (move through air)	volar	voar	
Amahuaca	1444	TURN AROUND	turn around	voltear, dar vuelta	voltar, dar a volta	
Amahuaca	581	COME BACK	come back	volver, regresar	voltar, regressar	
Amahuaca	1363	VOICE	voice	voz	voz	
Amahuaca	1837	VULVA	vulva	vulva	órgão sexual feminino	
Amahuaca	119	DIVE	dive	zambullirse	mergulhar	
