DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Chipaya_new	689	BETWEEN	between	entre		-pura
Chipaya_new	1340	WITH	with	con		-zh-tan(a)
Chipaya_new	1491	MOUSE	mouse	ratón	camundongo	achuku
Chipaya_new	1454	WIPE	wipe	limpiar		ajun-z
Chipaya_new	143	HUMID	humid	mojado		ajwi
Chipaya_new	2271	THINK	think	pensar	pensar	am-ti-z, lap’i-zi-z
Chipaya_new	1240	NOT	not	no	não	ana
Chipaya_new	1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)	aphz-qa-z
Chipaya_new	3861	FAIL	fail	fallar, fracasar		aq-z, kiwuk-z
Chipaya_new	371	PICK UP	pick up	recoger	captar	aqh-z
Chipaya_new	1827	HARVEST CROPS	harvest crops	cosechar		aqh-z, qhull-z, aqui-nti-z
Chipaya_new	1615	ESCAPE	escape	escapar		atip-z, jir-z, qwat-z
Chipaya_new	3913	COUGH (ACT OF COUGHING)	cough (act of coughing)	toser		ch’oj-z
Chipaya_new	2112	OLD (AGED)	old (aged)	viejo		chakwa
Chipaya_new	1075	TRAP (PITFALL)	trap (pitfall)	trampa	cilada, armadilha	chala
Chipaya_new	492	THREE	three	tres	três	chhep(u)
Chipaya_new	275	PEEL	peel	pelar	descascar	chhir-z, truh-z, pir-z
Chipaya_new	2486	HIDE	hide	esconder	ESCONDER	chhoj-z, uk-z
Chipaya_new	2411	HURT (SOMEBODY)	hurt (somebody)	herir		chhojri-t-z
Chipaya_new	2334	MELT	melt	derretir		chhut-t, hiñ-z
Chipaya_new	1253	RAIN (RAINING)	rain (raining)	llover		chij-z
Chipaya_new	544	SPICY	spicy	picante		haru
Chipaya_new	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	hat-z
Chipaya_new	1175	GHOST	ghost	fantasma, espíritu	fantasma	hawari, qatawi
Chipaya_new	1407	BREATHE	breathe	respirar	respirar	heej-z
Chipaya_new	1758	OLDER SISTER	older sister	hermana mayor	irmã mais velha	hila
Chipaya_new	1741	ABOVE	above	encima	encima	hun-t-uñ(a)
Chipaya_new	1094	FASTEN	fasten	amarrar		hwer-z, hweran-z
Chipaya_new	2472	SUCKLE (BREASTFEED, NURSE)	suckle (breastfeed, nurse)	mamar		ich-z, piz-z
Chipaya_new	3230	DECEIVE	deceive	engañar		inkañ-z
Chipaya_new	1096	SONG	song	canción		itsa
Chipaya_new	1531	BRANCH	branch	rama	galho	itsa, thara
Chipaya_new	3898	ACCEPT	accept	aceptar		iyaw-khiy-z
Chipaya_new	1576	PILE UP	pile up	amontonar	empilhar	jur-z
Chipaya_new	3080	SPLIT OPEN	split open	rajar		k’ak-z, ts’or-z
Chipaya_new	232	FLEA	flea	pulga	pulga	k’uti
Chipaya_new	388	FISHNET	fishnet	red, atarraya	rede de pesca	kakuna
Chipaya_new	1507	FRUIT	fruit	fruto	fruta	karanu
Chipaya_new	3924	MALE ANIMAL	male animal	macho		kero
Chipaya_new	1986	DISEASE	disease	enfermedad (dolencia)		kona
Chipaya_new	614	HILL	hill	cerro, colina		kuru
Chipaya_new	639	MOUNTAIN	mountain	montaña, cerro	serra	kuru
Chipaya_new	2327	BECOME SICK	become sick	enfermarse, estar enfermo		laa-khi-z, azin-z
Chipaya_new	2790	HIGH OR TALL	high or tall	alto		lajcha
Chipaya_new	1086	WORK (ACTIVITY)	work (activity)	trabajar		lanz-z
Chipaya_new	1219	WORM	worm	lombriz, gusano	vermelho	laq’u
Chipaya_new	3603	EARTH OR LAND	earth or land	tierra	TERRA / PAÍS	lhoki, qulu
Chipaya_new	731	BEVERAGE	beverage	bebida	bebida	lik-chi
Chipaya_new	1886	ARMPIT	armpit	axila, sobaco	axila, sovaco	ljakz(a)
Chipaya_new	2506	LOOSE	loose	suelto		ljaqhwa
Chipaya_new	3923	FEMALE ANIMAL	female animal	hembra		ljata
Chipaya_new	699	SAD	sad	triste	TRISTE (ZA)	llaki-ta
Chipaya_new	1232	WARM	warm	tibio, cálido	quente, cálido	lluphi, zphili
Chipaya_new	1195	GIVE BIRTH	give birth	dar a luz	parir	mat-z, tor-z
Chipaya_new	857	STONE	stone	piedra	pedra	maz
Chipaya_new	2561	HURT (SENSE PAIN)	hurt (sense pain)	doler		miz-z, tr’ul-z, t’aj-t
Chipaya_new	714	SEED	seed	semilla	semente	muhu
Chipaya_new	2907	ROT	rot	pudrirse		muqh-z, et-z
Chipaya_new	72	CLAW	claw	garra, pezuña, pinza, zarpa	unha	najna, isñi
Chipaya_new	78	THAT	that	eso, ese, aquel	esse	nii
Chipaya_new	1996	GET TIRED	get tired	cansarse		ot-z
Chipaya_new	1473	FIST	fist	puño		otsa, qhar-muku
Chipaya_new	1433	HIT	hit	golpear	bater	p’aqta-y-z, trak-z, p’um-tay-z
Chipaya_new	813	DO	do	hacer	fazer	paa-z
Chipaya_new	750	DROP	drop	caer		pal-z, thots-z
Chipaya_new	1500	FOUR	four	cuatro	quatro	paqpik(a)
Chipaya_new	1188	CHARCOAL	charcoal	carbón	carvão	parasa
Chipaya_new	423	GET LOST	get lost	perderse	PERDER-SE	pay-z
Chipaya_new	1660	LOSE	lose	perder		payz
Chipaya_new	493	FIVE	five	cinco	cinco	phisqa
Chipaya_new	1251	BELLY	belly	barriga, vientre	barriga	phuch
Chipaya_new	2319	LID (COVER, CAP)	lid (cover, cap)	tapa		phukz(a)
Chipaya_new	1837	VULVA	vulva	vulva	órgão sexual feminino	pichi
Chipaya_new	1689	SMOKE (INHALE)	smoke (inhale)	fumar	fumar	pit-z
Chipaya_new	1498	TWO	two	dos	dois, duas	pizk(a)
Chipaya_new	179	RIPEN	ripen	madurar		poq-z
Chipaya_new	666	RIVER	river	río	rio	puju
Chipaya_new	1444	TURN AROUND	turn around	voltear, dar vuelta	voltar, dar a volta	qep-z
Chipaya_new	1341	HEAT UP	heat up	calentar		qhaq-q, thut-z
Chipaya_new	2468	BAG	bag	bolsa		qhats(a), kelz
Chipaya_new	1850	COTTON	cotton	algodón	algodão	qhiya
Chipaya_new	2341	CLOUDY	cloudy	nublado		qhup(a), ch’orawi
Chipaya_new	1542	ACCOMPANY	accompany	acompañar	vinho	qhut-z
Chipaya_new	2308	THIN	thin	delgado	fino	qoochi
Chipaya_new	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	sans-z, thuk-z
Chipaya_new	1437	SPLIT	split	hender, partir	rachar	sara-q-z
Chipaya_new	2113	OLD (USED)	old (used)	usado, viejo (de cosas)		sij-chi, achi
Chipaya_new	2117	DESIRE	desire	desear		sik-z
Chipaya_new	612	HEAT	heat	calor		siy, qhaq-i
Chipaya_new	3224	WRING	wring	retorcer, estrujar		sker-z
Chipaya_new	378	PINCH	pinch	pellizcar	beliscar	sker-z, skhut-z
Chipaya_new	1414	SQUEEZE	squeeze	exprimir	espremer, comprimir	sphit-z
Chipaya_new	706	DARK	dark	oscuro	escuro	sum-chi
Chipaya_new	739	FEED	feed	nutrir		t’ichin-z
Chipaya_new	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	tan-z
Chipaya_new	2638	FISHING	fishing	pescar	pescar	tan-z
Chipaya_new	919	CHILI PEPPER	chili pepper	ají	malagueta	tapa
Chipaya_new	136	HERE	here	aquí, acá	aqui	teqz(i), neqz(i), heekhu
Chipaya_new	2374	DREAM	dream	sueño	SONHO / SONHAR	thaj-i, wiya
Chipaya_new	1590	WAIT (FOR)	wait (for)	esperar		thew-z
Chipaya_new	127	EXTINGUISH	extinguish	apagar	extinguir	thez-z
Chipaya_new	3463	RIVERBANK	riverbank	orilla, ribera		thiya, ata, pulu
