DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Isconahua	1423	FIGHT	fight	pelear	lutar	achina
Isconahua	3080	SPLIT OPEN	split open	rajar		ashanpake
Isconahua	76	YOUNG MAN	young man	jóven	rapaz	awionma
Isconahua	1195	GIVE BIRTH	give birth	dar a luz	parir	bakekain
Isconahua	2297	DUSK	dusk	anochecer, atardecer		bari inkin
Isconahua	1512	RISE (ONESELF)	rise (oneself)	alzarse,  levantarse		beni
Isconahua	2614	SKIN (ANIMAL)	skin (animal)	pellejo, piel		bichi
Isconahua	189	HAIR (BODY)	hair (body)	pelo, vello (del cuerpo)	pêlo	bo
Isconahua	2070	COMB (VERB)	comb (verb)	peinar		bo aro
Isconahua	1533	BE HUNGRY	be hungry	hambriento	TER FOME	bonin bonin ik
Isconahua	549	COPULATE	copulate	tirar, tener relaciones sexuales	ter relações sexuais	chota
Isconahua	719	FIND	find	encontrar, hallar	achar, encontrar	hanti
Isconahua	2113	OLD (USED)	old (used)	usado, viejo (de cosas)		heni
Isconahua	119	DIVE	dive	sumergirse, zambullirse	mergulhar	inkin
Isconahua	2486	HIDE	hide	esconder	ESCONDER	ipon
Isconahua	1142	URINE	urine	orina	urina	ison
Isconahua	38	SPREAD OUT	spread out	extender, esparcir	estender, espalhar	ka ka ak
Isconahua	3861	FAIL	fail	fallar, fracasar		kane
Isconahua	1476	CHAIR	chair	silla	cadeira	kená
Isconahua	1766	FINISH	finish	terminar	completar, acabar	kio
Isconahua	2492	BOIL (SOMETHING)	boil (something)	hervir, cocer		kobin ak
Isconahua	1041	INCREASE	increase	aumentar, crecer		maho
Isconahua	1719	BURY	bury	enterrar, sepultar	enterrar	mai ak
Isconahua	3609	TOWN OR VILLAGE	town or village	pueblo, ciudad	cidade pequena ou vila	maonton
Isconahua	1183	PALM OF HAND	palm of hand	palma de la mano	palma de mão	mebi nata
Isconahua	3020	BREAK (BREAKING)	break (breaking)	romperse	quebrar(-se) / romper(-se)	mori
Isconahua	1251	BELLY	belly	barriga, vientre	barriga	nahbá
Isconahua	2341	CLOUDY	cloudy	nublado		nai koin koin ewa
Isconahua	1241	SOME	some	alguno, pocos	alguns	naranahako
Isconahua	639	MOUNTAIN	mountain	montaña, cerro	serra	ni
Isconahua	699	SAD	sad	triste	TRISTE (ZA)	noi noi ik
Isconahua	78	THAT	that	eso, ese, aquel	esse	oa
Isconahua	1937	THERE	there	allí	lá	oan
Isconahua	1819	LOOK	look	mirar, contemplar	olhar para, fitar	oin
Isconahua	1463	DRUNK	drunk	borracho, ebrio	embriagado	paenmis
Isconahua	750	DROP	drop	caer		pake
Isconahua	2866	DROP (SOMETHING)	drop (something)	dejar caer	deixar cair	pake
Isconahua	1453	WASH	wash	lavar	lavar	patsa
Isconahua	739	FEED	feed	alimentar, dar de comer		pima
Isconahua	1587	SMELL (STINK)	smell (stink)	apestar, heder, oler mal	cheirar	poa poa ik
Isconahua	1232	WARM	warm	tibio, cálido	quente, cálido	potá
Isconahua	2019	HAMMOCK	hammock	hamaca, chinchorro	rede	rakati
Isconahua	208	NASAL MUCUS (SNOT)	nasal mucus (snot)	moco	muco	reshon
Isconahua	1318	CHICKEN	chicken	gallina	galo, frango	tankara
Isconahua	1829	JUMP	jump	saltar	saltar	tirin tirin ik
Isconahua	666	RIVER	river	río	rio	waka
Isconahua	3463	RIVERBANK	riverbank	orilla, ribera		waka keha
