DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Sharanahua	78	THAT	that	eso, ese, aquel	esse	a
Sharanahua	1741	ABOVE	above	encima	encima	acamaqui, mananun
Sharanahua	1182	NOISE	noise	ruido		acha
Sharanahua	1883	IN FRONT OF	in front of	delante	frente	afofori
Sharanahua	1996	GET TIRED	get tired	cansarse		atsanai
Sharanahua	773	HAVE	have	tener	ter	ayai
Sharanahua	489	KIDNEY	kidney	riñón	rim	carata
Sharanahua	3080	SPLIT OPEN	split open	rajar		cashcui
Sharanahua	1520	CRUSH	crush	machacar, aplastar		chaacai, runui
Sharanahua	2334	MELT	melt	derretir		chafai, shohuaiqui
Sharanahua	1836	VAGINA	vagina	vagina	vagina	chishpi
Sharanahua	1827	HARVEST CROPS	harvest crops	cosechar		chituin
Sharanahua	2492	BOIL (SOMETHING)	boil (something)	hervir, cocer		cofin
Sharanahua	1433	HIT	hit	golpear	bater	coshai, tsacai
Sharanahua	1510	CHIN	chin	barbilla, mentón	queixo	coti
Sharanahua	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	cunoi
Sharanahua	785	STRONG	strong	fuerte	FORTE	curushu
Sharanahua	3463	RIVERBANK	riverbank	orilla, ribera		cusha, cusumun
Sharanahua	231	SHAVE	shave	afeitarse	nadadeira	cushniqui
Sharanahua	1041	INCREASE	increase	aumentar, crecer		cushtoi
Sharanahua	3653	COOKING POT	cooking pot	olla, paila	panela	cutin
Sharanahua	2790	HIGH OR TALL	high or tall	alto		cuya
Sharanahua	1096	SONG	song	canción		fanainti
Sharanahua	3923	FEMALE ANIMAL	female animal	hembra		fanoa, chai ahuin
Sharanahua	1226	YEAR	year	año	ano	fari
Sharanahua	3452	MUCH	much	mucho		fasi, ichapa
Sharanahua	717	SWEET	sweet	dulce	doce	fata
Sharanahua	2004	BEND	bend	encorvar, doblar	dobrar, curvar	ficai
Sharanahua	2613	SKIN (HUMAN)	skin (human)	piel		fichi
Sharanahua	2390	PECCARY	peccary	pecarí		fishata
Sharanahua	2070	COMB (VERB)	comb (verb)	peinar		fo aroi
Sharanahua	3287	BLOOM	bloom	florecer		focoi
Sharanahua	1533	BE HUNGRY	be hungry	hambriento	TER FOME	fonainquin, picatsiqui
Sharanahua	2006	FILL	fill	llenar		fospi huai
Sharanahua	1340	WITH	with	con		fu
Sharanahua	2319	LID (COVER, CAP)	lid (cover, cap)	tapa		fucati, fupoti
Sharanahua	2117	DESIRE	desire	desear		fuchipai
Sharanahua	2113	OLD (USED)	old (used)	usado, viejo (de cosas)		funama, shuni
Sharanahua	1512	RISE (ONESELF)	rise (oneself)	alzarse. levantarse		funi, ronocaini
Sharanahua	1660	LOSE	lose	perder		funoi
Sharanahua	423	GET LOST	get lost	perderse	PERDER-SE	funoi
Sharanahua	3230	DECEIVE	deceive	engañar		fuparai
