DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
HuarayoEseEjja_new	379	BLUNT	blunt	romo, embotado	embotado, rombudo	?ikui-má
HuarayoEseEjja_new	680	BREAK (DESTROY OR GET DESTROYED)	break (destroy or get destroyed)	romper	romper, quebrar	?isá-kue
HuarayoEseEjja_new	1590	WAIT (FOR)	wait (for)	esperar		?ishó-?aja-kue
HuarayoEseEjja_new	3913	COUGH (ACT OF COUGHING)	cough (act of coughing)	toser		?ohó-?oho-kue
HuarayoEseEjja_new	813	DO	do	hacer	fazer	a-kue
HuarayoEseEjja_new	1235	WHO	who	quién?	quem?	á?ia
HuarayoEseEjja_new	1621	SNEEZE	sneeze	estornudar	espirrar	achí-kue
HuarayoEseEjja_new	1531	BRANCH	branch	rama	galho	akui iáa
HuarayoEseEjja_new	1803	WOOD	wood	madera	madeira	akui-tékua sío
HuarayoEseEjja_new	124	THORN	thorn	espina	espinho	akuísha
HuarayoEseEjja_new	1649	SIT DOWN	sit down	sentarse	SENTAR (-SE)	aní-kue
HuarayoEseEjja_new	719	FIND	find	encontrar, hallar	achar, encontrar	bá-?io-kue
HuarayoEseEjja_new	923	LOVE	love	querer	amar	ba-bochí-kue
HuarayoEseEjja_new	1588	TURN	turn	girar, voltearse	virar	baetibaeti-popó-kue
HuarayoEseEjja_new	1405	NAME	name	nombre	nome	bajáni
HuarayoEseEjja_new	1195	GIVE BIRTH	give birth	dar a luz	parir	bakuá-kuaia-kue
HuarayoEseEjja_new	1837	VULVA	vulva	vulva	órgão sexual feminino	bési
HuarayoEseEjja_new	1005	TWINS	twins	gemelos, mellizos	gêmeos	beta bákua
HuarayoEseEjja_new	1500	FOUR	four	cuatro	quatro	béta-pi ?ai
HuarayoEseEjja_new	739	FEED	feed	alimentar, dar de comer		bobi-ákue
HuarayoEseEjja_new	1808	PUS	pus	pus	pus	bóho
HuarayoEseEjja_new	1041	INCREASE	increase	aumentar, crecer		chichá-kue
HuarayoEseEjja_new	3230	DECEIVE	deceive	engañar		dasiá-kue, ?e?e-née
HuarayoEseEjja_new	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	dawá-kue
HuarayoEseEjja_new	2492	BOIL (SOMETHING)	boil (something)	hervir, cocer		dawá-okua-kue
HuarayoEseEjja_new	1490	RAT	rat	rata	RATO	dawícho
HuarayoEseEjja_new	1491	MOUSE	mouse	ratón	camundongo	dawícho
HuarayoEseEjja_new	981	ELBOW	elbow	codo	cotovelo	e-básho
HuarayoEseEjja_new	301	CHIEFTAIN	chieftain	jefe, cacique	chefe, cacique	e-chíi
HuarayoEseEjja_new	2113	OLD (USED)	old (used)	usado, viejo (de cosas)		e-chíi
HuarayoEseEjja_new	2112	OLD (AGED)	old (aged)	viejo		e-chíi
HuarayoEseEjja_new	2613	SKIN (HUMAN)	skin (human)	piel		e-hée
HuarayoEseEjja_new	908	DRUM	drum	tambor	tambor	e-kuiá-te?a-ji
HuarayoEseEjja_new	1625	DEAD	dead	muerto	morto	e-máno
HuarayoEseEjja_new	1251	BELLY	belly	barriga, vientre	barriga	e-mapé
HuarayoEseEjja_new	1183	PALM OF HAND	palm of hand	palma de la mano	palma de mão	e-mé takua
HuarayoEseEjja_new	1374	RING	ring	anillo, sortija	anel	e-me-hó-?ia-ji
HuarayoEseEjja_new	777	FLUTE	flute	flauta	flauta	e-mimi-á-ji
HuarayoEseEjja_new	2319	LID (COVER, CAP)	lid (cover, cap)	tapa		e-nába
HuarayoEseEjja_new	614	HILL	hill	cerro, colina		e-páwa, e-máto
HuarayoEseEjja_new	639	MOUNTAIN	mountain	montaña, cerro	serra	e-páwa, e-máto
HuarayoEseEjja_new	1175	GHOST	ghost	fantasma, espíritu	fantasma	e-sháwa
HuarayoEseEjja_new	143	HUMID	humid	mojado		e-shépa
HuarayoEseEjja_new	1274	SALT	salt	sal	sal	e-shijá-ji
HuarayoEseEjja_new	1363	VOICE	voice	voz	voz	e-sói
HuarayoEseEjja_new	3472	DANCE (MOVEMENT)	dance (movement)	baile, danza		e-tée
HuarayoEseEjja_new	1221	NOSE	nose	nariz	nariz	e-wí
HuarayoEseEjja_new	2912	FORWARD	forward	adelante		e-wí doho-ji
HuarayoEseEjja_new	1231	NEW	new	nuevo	novo	eiákua
HuarayoEseEjja_new	1567	DOOR	door	puerta	porta, portão	esékue
HuarayoEseEjja_new	1778	APPROACH	approach	acercarse	aproximar	ete pé-kue
HuarayoEseEjja_new	1897	HELP	help	ayudar	ajudar	ewasawá-kue
HuarayoEseEjja_new	1358	ENEMY	enemy	enemigo	inimigo	haá jipia
HuarayoEseEjja_new	2638	FISHING	fishing	pescar	pescar	heá-okia-kue
HuarayoEseEjja_new	136	HERE	here	aquí, acá	aqui	hekió-ho
HuarayoEseEjja_new	1587	SMELL (STINK)	smell (stink)	apestar, heder, oler mal	cheirar	hijí-kue
HuarayoEseEjja_new	1214	THIS	this	este	este	híkio
HuarayoEseEjja_new	1615	ESCAPE	escape	escapar		hiniá-tewa-kue
HuarayoEseEjja_new	1937	THERE	there	allí	lá	hoiá-ho
HuarayoEseEjja_new	78	THAT	that	eso, ese, aquel	esse	hóia, homá
HuarayoEseEjja_new	3456	CRAWL OR CREEP	crawl or creep	gatear	rastejar, arrastar-se	ieió-kue
HuarayoEseEjja_new	1414	SQUEEZE	squeeze	exprimir	espremer, comprimir	iniá-jasá-kue
HuarayoEseEjja_new	1423	FIGHT	fight	pelear	lutar	ja-kuiá-ti-kue
HuarayoEseEjja_new	2271	THINK	think	pensar	pensar	ja-shawá-ba-ti-kue
HuarayoEseEjja_new	1410	KNOW (SOMETHING)	know (something)	saber	saber	ja-shawá-ba-ti-kue
HuarayoEseEjja_new	1341	HEAT UP	heat up	calentar		jaió-ti-kue
HuarayoEseEjja_new	694	GET	get	recibir, obtener	obter, conseguir	jeshé-kue
HuarayoEseEjja_new	371	PICK UP	pick up	recoger	captar	jeshé-kue, mepé-kue
HuarayoEseEjja_new	706	DARK	dark	oscuro	escuro	kia-aápo
HuarayoEseEjja_new	1533	BE HUNGRY	be hungry	tener hambre, hambriento	TER FOME	kia-bóbi-nee
HuarayoEseEjja_new	2341	CLOUDY	cloudy	nublado		kia-bómoo née
HuarayoEseEjja_new	1633	FLAT	flat	llano, plano, chato	plano, chato	kia-héje
HuarayoEseEjja_new	42	STINKING	stinking	apestando, apestoso	fedorento, mal cheiroso	kia-híji
HuarayoEseEjja_new	1129	PAINFUL	painful	doloroso		kia-née
HuarayoEseEjja_new	1986	DISEASE	disease	enfermedad (dolencia)		kia-née
