DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Movima	3898	ACCEPT	accept	aceptar		jaihuaneɬe
Movima	1434	STAB	stab	achurar, acuchillar		
Movima	1542	ACCOMPANY	accompany	acompañar	vinho	oiloni
Movima	1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)	decheɬ
Movima	2912	FORWARD	forward	adelante		naichi
Movima	231	SHAVE	shave	afeitarse	nadadeira	boɬna
Movima	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	huisna
Movima	696	STIR	stir	agitar, revolver		
Movima	46	HOLLOW OUT	hollow out	ahuecar	esburacar, cavar	
Movima	739	FEED	feed	alimentar, dar de comer		cayapoj
Movima	1937	THERE	there	allí	lá	nacal
Movima	2790	HIGH OR TALL	high or tall	alto		cudes, arihua
Movima	1512	RISE (ONESELF)	rise (oneself)	alzarse,  levantarse		poḿmo
Movima	1094	FASTEN	fasten	amarrar		jamaɬe
Movima	2297	DUSK	dusk	anochecer, atardecer		imayeni
Movima	136	HERE	here	aquí, acá	aqui	nei
Movima	999	JOINT	joint	articulaciones		
Movima	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	isna
Movima	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	
Movima	1041	INCREASE	increase	aumentar, crecer		
Movima	3472	DANCE (MOVEMENT)	dance (movement)	baile, danza		
Movima	1510	CHIN	chin	barbilla, mentón	queixo	
Movima	1251	BELLY	belly	barriga, vientre	barriga	dimba
Movima	2468	BAG	bag	bolsa		marico
Movima	750	DROP	drop	caer		taḿvoseɬ
Movima	1341	HEAT UP	heat up	calentar		jona
Movima	612	HEAT	heat	calor		ehuel
Movima	159	SWEET POTATO	sweet potato	camote, boniato, batata	batata-doce	jalala’a
Movima	1096	SONG	song	canción		leuhuansini
Movima	1996	GET TIRED	get tired	cansarse		
Movima	614	HILL	hill	cerro, colina		
Movima	493	FIVE	five	cinco	cinco	
Movima	1340	WITH	with	con		
Movima	2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien		onayena
Movima	1827	HARVEST CROPS	harvest crops	cosechar		ba’na
Movima	1500	FOUR	four	cuatro	quatro	cicara
Movima	1195	GIVE BIRTH	give birth	dar a luz	parir	jaina tamiti’i
Movima	2308	THIN	thin	delgado	fino	soroini
Movima	2334	MELT	melt	derretir		mańlolo
Movima	2117	DESIRE	desire	desear		
Movima	3174	WAKE UP (SOMEONE)	wake up (someone)	despertar		tamaya
Movima	2504	DIFFERENT	different	diferente		
Movima	2561	HURT (SENSE PAIN)	hurt (sense pain)	doler		
Movima	1129	PAINFUL	painful	doloroso		diteshuiń
Movima	1498	TWO	two	dos	dois, duas	oira
Movima	1741	ABOVE	above	encima	encima	bańcuanɬe
Movima	2327	BECOME SICK	become sick	enfermarse, estar enfermo		
Movima	1986	DISEASE	disease	enfermedad (dolencia)		tivij
Movima	3230	DECEIVE	deceive	engañar		
Movima	2223	BE ANGRY	be angry	enojado		jalayij
Movima	2215	BECOME ANGRY	become angry	enojarse		
Movima	689	BETWEEN	between	entre		
Movima	1615	ESCAPE	escape	escapar		to’yaj, cosińna
Movima	2486	HIDE	hide	esconder	ESCONDER	cualara
Movima	78	THAT	that	eso, ese, aquel	esse	
Movima	1590	WAIT (FOR)	wait (for)	esperar		ayana
