DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
ShipiboConibo	3898	ACCEPT	accept	aceptar		jén iti
ShipiboConibo	1778	APPROACH	approach	acercarse	aproximar	patás̈hti
ShipiboConibo	1434	STAB	stab	achurar, acuchillar		
ShipiboConibo	1542	ACCOMPANY	accompany	acompañar	vinho	
ShipiboConibo	1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)	racáti
ShipiboConibo	2912	FORWARD	forward	adelante		
ShipiboConibo	231	SHAVE	shave	afeitarse	nadadeira	quéni óroti
ShipiboConibo	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	quénshoti
ShipiboConibo	1241	SOME	some	alguno, pocos	alguns	huétsa
ShipiboConibo	1937	THERE	there	allí	lá	jaín
ShipiboConibo	2790	HIGH OR TALL	high or tall	alto		nenqué
ShipiboConibo	1512	RISE (ONESELF)	rise (oneself)	alzarse. levantarse		huaquéti
ShipiboConibo	1094	FASTEN	fasten	amarrar		nés̈hati
ShipiboConibo	2297	DUSK	dusk	anochecer, atardecer		yaméti
ShipiboConibo	136	HERE	here	aquí, acá	aqui	néno
ShipiboConibo	66	KNEEL	kneel	arrodillarse	ajoelhar	chiráncooti
ShipiboConibo	999	JOINT	joint	articulaciones		
ShipiboConibo	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	s̈hóiti
ShipiboConibo	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	
ShipiboConibo	1041	INCREASE	increase	aumentar, crecer		
ShipiboConibo	3472	DANCE (MOVEMENT)	dance (movement)	baile, danza		ransá
ShipiboConibo	2468	BAG	bag	bolsa		písha
ShipiboConibo	750	DROP	drop	caer		cáti
ShipiboConibo	1341	HEAT UP	heat up	calentar		s̈hánaati
ShipiboConibo	612	HEAT	heat	calor		s̈hána
ShipiboConibo	1096	SONG	song	canción		behuá
ShipiboConibo	1996	GET TIRED	get tired	cansarse		piníti, pas̈hquínhati
ShipiboConibo	1543	SNAIL	snail	caracol	lesma	
ShipiboConibo	860	CAUSE	cause	causar	causa	-ma
ShipiboConibo	1046	SHUT	shut	cerrar	fechar	s̈hepóti
ShipiboConibo	614	HILL	hill	cerro, colina, monte		manán
ShipiboConibo	1860	BEAD	bead	chaquira, perla	contas, miçanga	móro
ShipiboConibo	269	COOKED	cooked	cocido, cocinado	cozinhado, cozido	
ShipiboConibo	1961	NECKLACE	necklace	collar	colar	téo
ShipiboConibo	2012	COLLAR	collar	collar	colarinho	
ShipiboConibo	1340	WITH	with	con		betan
ShipiboConibo	2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien		onánti
ShipiboConibo	1840	BUILD	build	construir, edificar	construir	-ati
ShipiboConibo	1711	TELL	tell	contar, narrar	dizer	
ShipiboConibo	1275	ANSWER	answer	contestar, responder	responder	quehuínti
ShipiboConibo	1827	HARVEST CROPS	harvest crops	cosechar		tsécati
ShipiboConibo	1500	FOUR	four	cuatro	quatro	
ShipiboConibo	1575	COCKROACH	cockroach	cucaracha	barata	
ShipiboConibo	1195	GIVE BIRTH	give birth	dar a luz	parir	baquénti
ShipiboConibo	2866	DROP (SOMETHING)	drop (something)	dejar caer	deixar cair	páqueti
ShipiboConibo	1883	IN FRONT OF	in front of	delante	frente	
ShipiboConibo	2308	THIN	thin	delgado	fino	óshi
ShipiboConibo	2334	MELT	melt	derretir		charáati
ShipiboConibo	2117	DESIRE	desire	desear		quéenti
ShipiboConibo	3174	WAKE UP (SOMEONE)	wake up (someone)	despertar		ráteti
ShipiboConibo	681	DESTROY	destroy	destruir	destruir	
ShipiboConibo	2504	DIFFERENT	different	diferente		
ShipiboConibo	2561	HURT (SENSE PAIN)	hurt (sense pain)	doler		chés̈hati
ShipiboConibo	1129	PAINFUL	painful	doloroso		móca, beyá
ShipiboConibo	379	BLUNT	blunt	embotado, romo	embotado, rombudo	s̈hénto
