DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	FORM
Araona	360	FAN (ACTION)	fan (action)	abanicar, aventar	hueje
Araona	665	BEE	bee	abeja	a-ize
Araona	928	EMBRACE	embrace	abrazar	zamojo
Araona	1156	OPEN	open	abrir	eotata
Araona	1766	FINISH	finish	acabar, terminar	huei
Araona	3898	ACCEPT	accept	aceptar	
Araona	1778	APPROACH	approach	acercarse	cuaetiqui
Araona	1434	STAB	stab	achurar, acuchillar	
Araona	1906	SOUR	sour	ácido, agrio	apoze
Araona	215	LIE DOWN	lie down	acostarse, echarse	jasisa
Araona	1606	INSIDE	inside	adentro, dentro	emeo
Araona	231	SHAVE	shave	afeitarse	
Araona	1396	SHARP	sharp	afilado, aguzado, filoso	
Araona	762	OUTSIDE	outside	afuera, fuera, exterior	-na
Araona	1631	FAST	fast	ágil	
Araona	696	STIR	stir	agitar, revolver	coma
Araona	948	WATER	water	agua	ena
Araona	1382	NEEDLE (FOR SEWING)	needle (for sewing)	aguja	shopili
Araona	1376	NOW	now	ahora	bedada
Araona	46	HOLLOW OUT	hollow out	ahuecar	
Araona	919	CHILI PEPPER	chili pepper	ají	bizo
Araona	1257	WING	wing	ala	nábai
Araona	729	DAWN	dawn	albor, amanecer, aurora, madrugada	bihuena
Araona	1850	COTTON	cotton	algodón	huapeje
Araona	739	FEED	feed	alimentar, dar de comer	
Araona	811	SOUL	soul	alma	mosojo
Araona	887	BITTER	bitter	amargo	apatse
Araona	1424	YELLOW	yellow	amarillo	ajahua
Araona	1325	FRIEND	friend	amigo, compañero	
Araona	1576	PILE UP	pile up	amontonar	lada
Araona	1243	WIDE	wide	ancho, amplio	
Araona	1374	RING	ring	anillo, sortija	
Araona	619	ANIMAL	animal	animal	
Araona	1226	YEAR	year	año	
Araona	1917	TIE	tie	anudar	
Araona	127	EXTINGUISH	extinguish	apagar	sami
Araona	42	STINKING	stinking	apestando, apestoso	
Araona	1587	SMELL (STINK)	smell (stink)	apestar, heder, oler mal	
Araona	843	SPIDER	spider	araña	caleshi
Araona	906	TREE	tree	árbol	acui
Araona	994	BOW	bow	arco	pitsoe
Araona	1733	RAINBOW	rainbow	arcoiris	hualibao
Araona	671	SAND	sand	arena	mezizo
Araona	1591	UP	up	arriba, encima	bacueo
Araona	66	KNEEL	kneel	arrodillarse	
Araona	380	WRINKLED	wrinkled	arrugado	cuibi
Araona	999	JOINT	joint	articulaciones	
Araona	1923	ROUGH	rough	áspero	alodolodo
Araona	1686	BEHIND	behind	atrás, detrás	
Araona	1517	WASP	wasp	avispa	bia
Araona	1886	ARMPIT	armpit	axila, sobaco	nócuizi
Araona	1174	YESTERDAY	yesterday	ayer	huetseiñeo
Araona	1897	HELP	help	ayudar	tsahua
Araona	837	BLUE	blue	azul	azeza
Araona	1879	DANCE	dance	bailar	
Araona	3472	DANCE (MOVEMENT)	dance (movement)	baile, danza	
Araona	138	BATHE	bathe	bañarse	
Araona	678	BEARD	beard	barba	
Araona	1510	CHIN	chin	barbilla, mentón	
Araona	1289	BABY	baby	bebé	
Araona	1401	DRINK	drink	beber, tomar	
Araona	731	BEVERAGE	beverage	bebida	
Araona	404	ALCOHOL (FERMENTED DRINK)	alcohol (fermented drink)	bebida fermentada	
Araona	1335	WHITE	white	blanco	
Araona	674	MOUTH	mouth	boca	
Araona	1463	DRUNK	drunk	borracho, ebrio	
Araona	1673	ARM	arm	brazo	
Araona	679	BRIGHT	bright	brillante, resplandor	
Araona	708	SHINE	shine	brillar	
Araona	1035	GOOD	good	bueno	
Araona	1185	VULTURE	vulture	buitre	
Araona	1468	LOOK FOR	look for	buscar (mirar)	
Araona	2648	HAIR (HEAD)	hair (head)	cabello	
Araona	1256	HEAD	head	cabeza	
Araona	1280	FALL	fall	caer	
Araona	1286	HOT	hot	caliente	
Araona	48	BE SILENT	be silent	callarse	
Araona	612	HEAT	heat	calor	
Araona	1443	WALK	walk	caminar, andar	
Araona	159	SWEET POTATO	sweet potato	camote, boniato, batata	
Araona	1096	SONG	song	canción	
Araona	1970	CANOE	canoe	canoa, curiara	
Araona	1261	SING	sing	cantar	
Araona	1560	FACE	face	cara	
Araona	1543	SNAIL	snail	caracol	
Araona	1188	CHARCOAL	charcoal	carbón	
Araona	700	CARRY	carry	cargar	
Araona	634	MEAT	meat	carne	
Araona	1252	HOUSE	house	casa	
Araona	203	MARRY	marry	casarse	
Araona	1418	DIG	dig	cavar, excavar	
Araona	1435	HUNT	hunt	cazar	
Araona	1173	EYEBROW	eyebrow	ceja	
Araona	646	ASH	ash	cenizas	
Araona	1942	NEAR	near	cerca	
Araona	1337	PIG	pig	cerdo, chancho, puerco	
Araona	1583	BRAIN	brain	cerebro, sesos	
Araona	1046	SHUT	shut	cerrar	
Araona	1539	BASKET	basket	cesto, canasto, canasta	
Araona	212	FIELD	field	chacra, campo	
Araona	1860	BEAD	bead	chaquira, perla	
Araona	1421	SUCK	suck	chupar, mamar	
Araona	1732	SKY	sky	cielo	
Araona	493	FIVE	five	cinco	
Araona	772	BELT	belt	cinturón, faja	
Araona	1100	COOK (SOMETHING)	cook (something)	cocinar	
Araona	981	ELBOW	elbow	codo	
Araona	1220	TAIL	tail	cola/rabo	
Araona	7	GATHER	gather	colectar, reunir, compilar, recopilar	
Araona	1961	NECKLACE	necklace	collar	
Araona	1336	EAT	eat	comer	
Araona	256	FOOD	food	comida	
Araona	1239	HOW	how	cómo?	
Araona	1869	BUY	buy	comprar	
Araona	1275	ANSWER	answer	contestar, responder	
Araona	1223	HEART	heart	corazón	
Araona	1519	RUN	run	correr	
Araona	1432	CUT	cut	cortar	
Araona	1204	BARK	bark	corteza, cascara	
Araona	1645	SHORT	short	corto	
Araona	738	THING	thing	cosa	
Araona	1457	SEW	sew	coser	
Araona	801	RIB	rib	costilla	
Araona	479	GROW	grow	crecer	
Araona	1959	RAW	raw	crudo	
Araona	1238	WHEN	when	cuándo?	
Araona	1500	FOUR	four	cuatro	
Araona	761	COVER	cover	cubrir	
Araona	1333	NECK	neck	cuello	
Araona	1393	HORN (ANATOMY)	horn (anatomy)	cuerno	
Araona	1480	BODY	body	cuerpo	
Araona	499	CURE	cure	curar	
Araona	1447	GIVE	give	dar	
Araona	1485	BELOW OR UNDER	below or under	debajo	
Araona	1458	SAY	say	decir	
Araona	1303	FINGER	finger	dedo de la mano	
Araona	676	SHIT (DEFECATE)	shit (defecate)	defecar	
Araona	2866	DROP (SOMETHING)	drop (something)	dejar caer	
