CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	Form
1531	BRANCH	branch	-aa
1592	CHEST	chest	-akwa
1307	LANGUAGE	language	-ana
1205	TONGUE	tongue	-ana
1248	EYE	eye	-atuka
1405	NAME	name	-bakani
1560	FACE	face	-bawa, eketi
1291	BACK	back	-bebakwa, -tibu
1673	ARM	arm	-bi
1204	BARK	bark	-biti
580	FUR	fur	-biti
690	BOTTOM	bottom	-busu, -tibu
1393	HORN (ANATOMY)	horn (anatomy)	-dana
2252	PATH	path	-diji
628	LEAF	leaf	-jaki
688	LUNG	lung	-jasa
744	EGG	egg	-ka
1507	FRUIT	fruit	-kaka
797	TESTICLES	testicles	-kaka
816	HALF	half	-kare
1201	FEATHER	feather	-kata, ududu
420	FOREST	forest	-kike
674	MOUTH	mouth	-kwatsa, -atsanaka
1382	NEEDLE (FOR SEWING)	needle (for sewing)	-kwija
1480	BODY	body	-kwita
318	FOOTPRINT	footprint	-mekware
1766	FINISH	finish	-meshuru
1303	FINGER	finger	-metuku
948	WATER	water	-na
942	HONEY	honey	-nakaka, waja
1223	HEART	heart	-niju
834	BUTTOCKS	buttocks	-tada
1224	LIVER	liver	-takwa
1183	PALM OF HAND	palm of hand	-takwa
1301	FOOT	foot	-tibu, -wachi
221	FIRE	fire	-tiki
212	FIELD	field	-tipare
239	FLOWER	flower	-tsa
1297	LEG	leg	-tsaka
1583	BRAIN	brain	-tsapuna
189	HAIR (BODY)	hair (body)	-tsaru
2648	HAIR (HEAD)	hair (head)	-tsaru
1394	BONE	bone	-tsau
1380	TOOTH	tooth	-tse
1221	NOSE	nose	-wikani
1711	TELL	tell	a-, kweja
1047	PURSUE	pursue	aaje
48	BE SILENT	be silent	abakatana
700	CARRY	carry	abu
3898	ACCEPT	accept	acepta a
1246	SMALL	small	achacha
707	REMEMBER	remember	adeba
2248	KNOW (SOMEBODY)	know (somebody)	adeba, bawe ju-
