DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	FORM
Chacobo	665	BEE	bee	abeja	
Chacobo	1156	OPEN	open	abrir	
Chacobo	1766	FINISH	finish	acabar, terminar	
Chacobo	1434	STAB	stab	achurar, acuchillar	
Chacobo	1906	SOUR	sour	ácido, agrio	
Chacobo	215	LIE DOWN	lie down	acostarse, echarse	
Chacobo	1606	INSIDE	inside	adentro, dentro	
Chacobo	1396	SHARP	sharp	afilado, aguzado, filoso	
Chacobo	762	OUTSIDE	outside	afuera, fuera, exterior	
Chacobo	1631	FAST	fast	ágil	
Chacobo	948	WATER	water	agua	
Chacobo	1382	NEEDLE (FOR SEWING)	needle (for sewing)	aguja	
Chacobo	1376	NOW	now	ahora	
Chacobo	46	HOLLOW OUT	hollow out	ahuecar	
Chacobo	919	CHILI PEPPER	chili pepper	ají	
Chacobo	1257	WING	wing	ala	
Chacobo	729	DAWN	dawn	albor, amanecer, aurora, madrugada	
Chacobo	1850	COTTON	cotton	algodón	
Chacobo	1937	THERE	there	allí	
Chacobo	811	SOUL	soul	alma	
Chacobo	887	BITTER	bitter	amargo	
Chacobo	1424	YELLOW	yellow	amarillo	
Chacobo	1325	FRIEND	friend	amigo, compañero	
Chacobo	1576	PILE UP	pile up	amontonar	
Chacobo	1243	WIDE	wide	ancho, amplio	
Chacobo	1374	RING	ring	anillo, sortija	
Chacobo	619	ANIMAL	animal	animal	
Chacobo	1226	YEAR	year	año	
Chacobo	1917	TIE	tie	anudar	
Chacobo	127	EXTINGUISH	extinguish	apagar	
Chacobo	42	STINKING	stinking	apestando, apestoso	
Chacobo	1587	SMELL (STINK)	smell (stink)	apestar, heder, oler mal	
Chacobo	843	SPIDER	spider	araña	
Chacobo	906	TREE	tree	árbol	
Chacobo	994	BOW	bow	arco	
Chacobo	1733	RAINBOW	rainbow	arcoiris	
Chacobo	1428	BURNING	burning	arder	
Chacobo	671	SAND	sand	arena	
Chacobo	1591	UP	up	arriba, encima	
Chacobo	380	WRINKLED	wrinkled	arrugado	
Chacobo	1686	BEHIND	behind	atrás, detrás	
Chacobo	3	BRAVE	brave	audaz, bravo, valiente	
Chacobo	1517	WASP	wasp	avispa	
Chacobo	1886	ARMPIT	armpit	axila, sobaco	
Chacobo	1897	HELP	help	ayudar	
Chacobo	837	BLUE	blue	azul	
Chacobo	1879	DANCE	dance	bailar	
Chacobo	138	BATHE	bathe	bañarse	
Chacobo	678	BEARD	beard	barba	
Chacobo	1510	CHIN	chin	barbilla, mentón	
Chacobo	1289	BABY	baby	bebé	
Chacobo	1401	DRINK	drink	beber, tomar	
Chacobo	731	BEVERAGE	beverage	bebida	
Chacobo	404	ALCOHOL (FERMENTED DRINK)	alcohol (fermented drink)	bebida fermentada	
Chacobo	1335	WHITE	white	blanco	
Chacobo	674	MOUTH	mouth	boca	
Chacobo	1463	DRUNK	drunk	borracho, ebrio	
Chacobo	1673	ARM	arm	brazo	
Chacobo	1035	GOOD	good	bueno	
Chacobo	1185	VULTURE	vulture	buitre	
Chacobo	1468	LOOK FOR	look for	buscar (mirar)	
Chacobo	2648	HAIR (HEAD)	hair (head)	cabello	
Chacobo	1256	HEAD	head	cabeza	
Chacobo	1280	FALL	fall	caer	
Chacobo	1286	HOT	hot	caliente	
Chacobo	48	BE SILENT	be silent	callarse	
Chacobo	1443	WALK	walk	caminar, andar	
Chacobo	159	SWEET POTATO	sweet potato, yam	camote, papa dulce	
Chacobo	1970	CANOE	canoe	canoa, curiara	
Chacobo	1261	SING	sing	cantar	
Chacobo	1560	FACE	face	cara	
Chacobo	1543	SNAIL	snail	caracol	
Chacobo	1188	CHARCOAL	charcoal	carbón	
Chacobo	700	CARRY	carry	cargar	
Chacobo	634	MEAT	meat	carne	
Chacobo	1252	HOUSE	house	casa	
Chacobo	203	MARRY	marry	casarse	
Chacobo	1418	DIG	dig	cavar, excavar	
Chacobo	1435	HUNT	hunt	cazar	
Chacobo	1173	EYEBROW	eyebrow	ceja	
Chacobo	646	ASH	ash	cenizas	
Chacobo	1942	NEAR	near	cerca	
Chacobo	1337	PIG	pig	cerdo, chancho, puerco	
Chacobo	1583	BRAIN	brain	cerebro, sesos	
Chacobo	1046	SHUT	shut	cerrar	
Chacobo	1539	BASKET	basket	cesto, canasto, canasta	
Chacobo	212	FIELD	field	chacra, campo	
Chacobo	1860	BEAD	bead	chaquira, perla	
Chacobo	1421	SUCK	suck	chupar, mamar	
Chacobo	1732	SKY	sky	cielo	
Chacobo	772	BELT	belt	cinturón, faja	
Chacobo	1391	TOWN	town	ciudad	
Chacobo	269	COOKED	cooked	cocido, cocinado	
Chacobo	1100	COOK (SOMETHING)	cook (something)	cocinar	
Chacobo	981	ELBOW	elbow	codo	
Chacobo	1220	TAIL	tail	cola/rabo	
Chacobo	7	GATHER	gather	colectar, reunir, compilar, recopilar	
Chacobo	1961	NECKLACE	necklace	collar	
Chacobo	1336	EAT	eat	comer	
Chacobo	256	FOOD	food	comida	
Chacobo	1239	HOW	how	cómo?	
Chacobo	1869	BUY	buy	comprar	
Chacobo	1223	HEART	heart	corazón	
Chacobo	1519	RUN	run	correr	
Chacobo	1432	CUT	cut	cortar	
Chacobo	1204	BARK	bark	corteza, cascara	
Chacobo	1645	SHORT	short	corto	
Chacobo	738	THING	thing	cosa	
Chacobo	1457	SEW	sew	coser	
Chacobo	801	RIB	rib	costilla	
Chacobo	479	GROW	grow	crecer	
Chacobo	1959	RAW	raw	crudo	
Chacobo	1238	WHEN	when	cuándo?	
Chacobo	761	COVER	cover	cubrir	
Chacobo	1333	NECK	neck	cuello	
Chacobo	1393	HORN (ANATOMY)	horn (anatomy)	cuerno	
Chacobo	1480	BODY	body	cuerpo	
Chacobo	499	CURE	cure	curar	
Chacobo	1447	GIVE	give	dar	
Chacobo	1485	BELOW OR UNDER	below or under	debajo	
Chacobo	1458	SAY	say	decir	
Chacobo	1303	FINGER	finger	dedo de la mano	
Chacobo	676	SHIT (DEFECATE)	shit (defecate)	defecar	
Chacobo	2866	DROP (SOMETHING)	drop (something)	dejar caer	
Chacobo	1973	DEMON	demon	demonio	
Chacobo	1019	RIGHT	right	derecho	
Chacobo	352	UNTIE	untie	desatar	
Chacobo	168	REST	rest	descansar	
Chacobo	2014	GO DOWN (DESCEND)	go down (descend)	descender	
Chacobo	1784	WANT	want	desear (querer)	
Chacobo	590	NAKED	naked	desnudo	
Chacobo	1602	WAKE UP	wake up	despertarse	
Chacobo	1225	DAY (NOT NIGHT)	day (not night)	día	
Chacobo	1380	TOOTH	tooth	dientes	
Chacobo	1172	SHOOT	shoot	disparar, tirar	
Chacobo	1783	PAIN	pain	dolor	
Chacobo	1237	WHERE	where	dónde?	
Chacobo	1585	SLEEP	sleep	dormir	
Chacobo	1498	TWO	two	dos	
Chacobo	717	SWEET	sweet	dulce	
Chacobo	1884	HARD	hard	duro	
Chacobo	817	THEY	they	ellos, ellas	
Chacobo	855	SEIZE	seize	embargar	
Chacobo	1452	PUSH	push	empujar	
Chacobo	737	LIGHT (IGNITE)	light (ignite)	encender	
Chacobo	2004	BEND	bend	encorvar, doblar	
Chacobo	2223	BE ANGRY	be angry	enojado	
Chacobo	1719	BURY	bury	enterrar, sepultar	
Chacobo	749	ENTER	enter	entrar	
Chacobo	1127	SEND	send	enviar, mandar	
Chacobo	602	HIDE (CONCEAL)	hide (conceal)	esconder (algo)	
Chacobo	1672	WRITE	write	escribir	
Chacobo	1440	SPIT	spit	escupir	
Chacobo	1291	BACK	back	espalda	
Chacobo	1199	WIFE	wife	esposa, marida	
Chacobo	1442	STAND	stand	estar de pie	
Chacobo	1847	SICK	sick	estar enfermo	
Chacobo	819	STOMACH	stomach	estómago	
Chacobo	1621	SNEEZE	sneeze	estornudar	
Chacobo	1267	NARROW	narrow	estrecho, angosto	
Chacobo	1430	STAR	star	estrella	
Chacobo	1414	SQUEEZE	squeeze	exprimir	
Chacobo	38	SPREAD OUT	spread out	extender, esparcir	
Chacobo	777	FLUTE	flute	flauta	
Chacobo	977	ARROW	arrow	flecha	
Chacobo	239	FLOWER	flower	flor	
Chacobo	1574	FLOAT	float	flotar	
Chacobo	2003	FLOW	flow	fluir, correr	
Chacobo	123	FOREHEAD	forehead	frente (la)	
Chacobo	1287	COLD	cold	frío	
Chacobo	1449	RUB	rub	frotar, enjugar	
Chacobo	1507	FRUIT	fruit	fruto	
Chacobo	221	FIRE	fire	fuego	
Chacobo	3188	MIGHTY OR POWERFUL OR STRONG	mighty or powerful or strong	fuerte, poderoso	
Chacobo	1318	CHICKEN	chicken	gallina	
Chacobo	1346	THROAT	throat	garganta	
Chacobo	72	CLAW	claw	garra, pezuña, pinza, zarpa	
Chacobo	3456	CRAWL OR CREEP	crawl or creep	gatear	
Chacobo	1208	CAT	cat	gato	
Chacobo	1202	BIG	big	grande	
Chacobo	323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)	grasa	
Chacobo	715	SHOUT	shout	gritar	
Chacobo	1244	THICK	thick	grueso	
Chacobo	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	
Chacobo	1623	SPEAK	speak	hablar	
Chacobo	677	AXE	axe	hacha	
Chacobo	307	HAWK	hawk	halcón	
Chacobo	1864	HUNGER	hunger	hambre	
Chacobo	1594	FLOUR	flour	harina	
Chacobo	1437	SPLIT	split	hender, partir	
Chacobo	1109	WOUND	wound	herida, llaga	
Chacobo	1758	OLDER SISTER	older sister	hermana mayor	
Chacobo	1761	YOUNGER SISTER	younger sister	hermana menor	
Chacobo	1759	OLDER BROTHER	older brother	hermano mayor	
Chacobo	1760	YOUNGER BROTHER	younger brother	hermano menor	
Chacobo	1224	LIVER	liver	hígado	
Chacobo	121	SPIN	spin	hilar	
Chacobo	1161	THREAD	thread	hilo	
Chacobo	628	LEAF	leaf	hoja de árbol	
Chacobo	406	OLD MAN	old man	hombre viejo	
Chacobo	1482	SHOULDER	shoulder	hombro	
Chacobo	587	ANT	ant	hormiga	
Chacobo	1667	HOLE	hole	hueco, agujero	
Chacobo	318	FOOTPRINT	footprint	huella	
Chacobo	1149	ORPHAN	orphan	huérfano, huérfana	
Chacobo	1394	BONE	bone	hueso	
Chacobo	744	EGG	egg	huevo	
Chacobo	956	FLEE	flee	huir	
Chacobo	778	SMOKE (EXHAUST)	smoke (exhaust)	humo	
Chacobo	1958	UNRIPE	unripe	inmaduro, no maduro, verde	
Chacobo	620	INSECT	insect	insecto	
Chacobo	1812	TRY	try	intentar	
Chacobo	695	GO	go	ir	
Chacobo	244	LEFT	left	izquierdo	
Chacobo	1455	PULL	pull	jalar	
Chacobo	301	CHIEFTAIN	chieftain	jefe, cacique	
Chacobo	1413	PLAY	play	jugar	
Chacobo	478	LIP	lip	labio	
Chacobo	682	SIDE	side	lado, costado	
Chacobo	632	LIZARD	lizard	lagartija	
Chacobo	624	LAKE	lake	lago	
Chacobo	1651	TEAR (OF EYE)	tear (of eye)	lágrima	
Chacobo	319	LICK	lick	lamer	
Chacobo	1203	LONG	long	largo	
Chacobo	1453	WASH	wash	lavar	
Chacobo	635	MILK	milk	leche	
Chacobo	735	OWL	owl	lechuza	
Chacobo	1406	FAR	far	lejos	
Chacobo	10	FIREWOOD	firewood	leña	
Chacobo	1205	TONGUE	tongue	lengua	
Chacobo	1307	LANGUAGE	language	lengua, idioma	
Chacobo	501	LIFT	lift	levantar	
Chacobo	704	CLEAN	clean	limpio	
Chacobo	320	LAME	lame	lisiado	
Chacobo	1234	SMOOTH	smooth	liso	
Chacobo	1052	LIGHT (WEIGHT)	light (weight)	liviano, ligero (que pesa poco)	
Chacobo	1084	CALL	call	llamar	
Chacobo	1633	FLAT	flat	llano, plano, chato	
Chacobo	652	PLAIN	plain	llanura	
Chacobo	1387	ARRIVE	arrive	llegar, alcanzar	
Chacobo	1429	FULL	full	lleno	
Chacobo	1839	CRY	cry	llorar	
