DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Chipaya	2006	FILL	fill	llenar		
Chipaya	72	CLAW	claw	pinza	unha	
Chipaya	78	THAT	that	eso, ese, aquel	esse	
Chipaya	112	TURTLE	turtle	tortuga, motelo	tartaruga	
Chipaya	119	DIVE	dive	zambullirse	mergulhar	
Chipaya	124	THORN	thorn	espina	espinho	
Chipaya	127	EXTINGUISH	extinguish	apagar	extinguir	
Chipaya	136	HERE	here	aquí	aqui	
Chipaya	143	HUMID	humid	mojado		
Chipaya	159	SWEET POTATO	sweet potato	camote, boniato, batata	batata-doce	
Chipaya	179	RIPEN	ripen	madurar		
Chipaya	195	MAT	mat	petate	tapete	
Chipaya	231	SHAVE	shave	afeitarse	nadadeira	
Chipaya	232	FLEA	flea	pulga	pulga	
Chipaya	249	FOG	fog	niebla	névoa	
Chipaya	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	
Chipaya	275	PEEL	peel	pelar	descascar	
Chipaya	318	FOOTPRINT	footprint	huella	pegada	
Chipaya	360	FAN (ACTION)	fan (action)	abanicar, aventar	ventilar, abanar	
Chipaya	371	PICK UP	pick up	recoger	captar	
Chipaya	378	PINCH	pinch	pellizcar	beliscar	
Chipaya	388	FISHNET	fishnet	red, atarraya	rede de pesca	
Chipaya	423	GET LOST	get lost	perderse	PERDER-SE	
Chipaya	463	FELL (A TREE)	fell (a tree)	talar, tumbar, derribar		
Chipaya	492	THREE	three	tres	três	
Chipaya	493	FIVE	five	cinco	cinco	
Chipaya	544	SPICY	spicy	picante		
Chipaya	612	HEAT	heat	calor		
Chipaya	614	HILL	hill	cerro, colina, monte		
Chipaya	619	ANIMAL	animal	animal	animal, bicho	
Chipaya	639	MOUNTAIN	mountain	montaña, monte	serra	
Chipaya	641	MUSHROOM	mushroom	seta	cogumelo	
Chipaya	665	BEE	bee	abeja	abelha	
Chipaya	666	RIVER	river	río	rio	
Chipaya	675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes	
Chipaya	689	BETWEEN	between	entre		
Chipaya	696	STIR	stir	revolver		
Chipaya	699	SAD	sad	triste	TRISTE (ZA)	
Chipaya	706	DARK	dark	oscuro	escuro	
Chipaya	714	SEED	seed	semilla	semente	
Chipaya	728	FIRST	first	primero	primeiro	
Chipaya	731	BEVERAGE	beverage	bebida	bebida	
Chipaya	738	THING	thing	cosa	coisa	
Chipaya	739	FEED	feed	nutrir		
Chipaya	750	DROP	drop	caer		
Chipaya	785	STRONG	strong	fuerte	FORTE	
Chipaya	798	JAW	jaw	mandíbula	maxila	
Chipaya	813	DO	do	hacer	fazer	
Chipaya	827	ROLL	roll	rodar, arrollar, enrollar	rolar	
Chipaya	857	STONE	stone	piedra	pedra	
Chipaya	864	PUMPKIN	pumpkin	zapallo, calabaza, calabazo	moranga	
Chipaya	870	BREATH	breath	respiro	hálito	
Chipaya	919	CHILI PEPPER	chili pepper	ají	malagueta	
Chipaya	925	CASSAVA	cassava	yuca	tapioca	
Chipaya	974	TOBACCO	tobacco	tabaco	tabaco	
Chipaya	976	WEAR	wear	vestir		
Chipaya	977	ARROW	arrow	flecha	flecha	
Chipaya	980	HEEL	heel	talón	calcanhar	
Chipaya	994	BOW	bow	arco	arco	
Chipaya	999	JOINT	joint	articulaciones		
Chipaya	1011	BRIDGE	bridge	puente	ponte	
Chipaya	1040	HAIR	hair	pelo	pelo	
Chipaya	1041	INCREASE	increase	aumentar, crecer		
Chipaya	1047	PURSUE	pursue	perseguir	perseguir	
Chipaya	1063	NEPHEW	nephew	sobrino	sobrinho	
Chipaya	1075	TRAP (PITFALL)	trap (pitfall)	trampa	cilada, armadilha	
Chipaya	1086	WORK (ACTIVITY)	work (activity)	trabajar		
Chipaya	1094	FASTEN	fasten	amarrar		
Chipaya	1096	SONG	song	canción		
Chipaya	1129	PAINFUL	painful	doloroso		
Chipaya	1142	URINE	urine	orina	urina	
Chipaya	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	
Chipaya	1173	EYEBROW	eyebrow	ceja	sobrancelhas	
