DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
EseEjja	2006	FILL	fill	llenar		
EseEjja	8	CURSE	curse	maldecir	amaldiçoar	
EseEjja	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto	
EseEjja	38	SPREAD OUT	spread out	extender, esparcir	estender, espalhar	
EseEjja	48	BE SILENT	be silent	callarse	ficar em silêncio	
EseEjja	66	KNEEL	kneel	arrodillarse	ajoelhar	
EseEjja	72	CLAW	claw	pinza	unha	
EseEjja	78	THAT	that	eso, ese, aquel	esse	
EseEjja	119	DIVE	dive	zambullirse	mergulhar	
EseEjja	124	THORN	thorn	espina	espinho	
EseEjja	129	CHOKE	choke	sofocar	sufocar	
EseEjja	136	HERE	here	aquí	aqui	
EseEjja	143	HUMID	humid	mojado		
EseEjja	155	CHOP	chop	tajar, cortar		
EseEjja	179	RIPEN	ripen	madurar		
EseEjja	208	NASAL MUCUS (SNOT)	nasal mucus (snot)	moco	muco	
EseEjja	231	SHAVE	shave	afeitarse	nadadeira	
EseEjja	214	STRETCH	stretch	tender, alargar, estirar	esticar	
EseEjja	232	FLEA	flea	pulga	pulga	
EseEjja	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	
EseEjja	269	COOKED	cooked	cocido, cocinado	cozinhado, cozido	
EseEjja	301	CHIEFTAIN	chieftain	jefe, cacique	chefe, cacique	
EseEjja	307	HAWK	hawk	halcón	gavião	
EseEjja	321	CHEW	chew	masticar	mastigar, mascar	
EseEjja	371	PICK UP	pick up	recoger	captar	
EseEjja	377	LOUD	loud	ruidoso	ruidoso, barulhento	
EseEjja	378	PINCH	pinch	pellizcar	beliscar	
EseEjja	379	BLUNT	blunt	embotado, romo	embotado, rombudo	
EseEjja	388	FISHNET	fishnet	red, atarraya	rede de pesca	
EseEjja	423	GET LOST	get lost	perderse	PERDER-SE	
EseEjja	463	FELL (A TREE)	fell (a tree)	talar, tumbar, derribar		
EseEjja	493	FIVE	five	cinco	cinco	
EseEjja	505	PARENTS	parents	padres	pais	
EseEjja	544	SPICY	spicy	picante		
EseEjja	549	COPULATE	copulate	tirar, tener relaciones sexuales	ter relações sexuais	
EseEjja	580	FUR	fur	peludo	pelo	
EseEjja	590	NAKED	naked	desnudo	despido, nu	
EseEjja	593	POTATO	potato	papa	batata	
EseEjja	612	HEAT	heat	calor		
EseEjja	614	HILL	hill	cerro, colina, monte		
EseEjja	639	MOUNTAIN	mountain	montaña, monte	serra	
EseEjja	666	RIVER	river	río	rio	
EseEjja	675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes	
EseEjja	681	DESTROY	destroy	destruir	destruir	
EseEjja	689	BETWEEN	between	entre		
EseEjja	690	BOTTOM	bottom	fondo	fundo	
EseEjja	694	GET	get	obtener (recibir)	obter, conseguir	
EseEjja	696	STIR	stir	revolver		
EseEjja	699	SAD	sad	triste	TRISTE (ZA)	
EseEjja	706	DARK	dark	oscuro	escuro	
EseEjja	719	FIND	find	encontrar, hallar	achar, encontrar	
EseEjja	739	FEED	feed	nutrir		
EseEjja	750	DROP	drop	caer		
EseEjja	773	HAVE	have	tener	ter	
EseEjja	785	STRONG	strong	fuerte	FORTE	
EseEjja	797	TESTICLES	testicles	testículo	testículo	
EseEjja	806	BLANKET	blanket	manta	cobertor	
EseEjja	813	DO	do	hacer	fazer	
EseEjja	816	HALF	half	mitad	metade	
EseEjja	857	STONE	stone	piedra	pedra	
EseEjja	860	CAUSE	cause	causar	causa	
EseEjja	870	BREATH	breath	respiro	hálito	
EseEjja	908	DRUM	drum	tambor	tambor	
EseEjja	919	CHILI PEPPER	chili pepper	ají	malagueta	
EseEjja	976	WEAR	wear	vestir		
EseEjja	999	JOINT	joint	articulaciones		
EseEjja	1005	TWINS	twins	gemelos	gêmeos	
EseEjja	1011	BRIDGE	bridge	puente	ponte	
EseEjja	1040	HAIR	hair	pelo	pelo	
EseEjja	1041	INCREASE	increase	aumentar, crecer		
EseEjja	1043	BRAID	braid	trenzar	trança	
EseEjja	1047	PURSUE	pursue	perseguir	perseguir	
EseEjja	1075	TRAP (PITFALL)	trap (pitfall)	trampa	cilada, armadilha	
EseEjja	1086	WORK (ACTIVITY)	work (activity)	trabajar		
EseEjja	1094	FASTEN	fasten	amarrar		
EseEjja	1096	SONG	song	canción		
EseEjja	1129	PAINFUL	painful	doloroso		
EseEjja	1142	URINE	urine	orina	urina	
EseEjja	1157	BECAUSE	because	porque	porque	
EseEjja	1159	FART	fart	pedo	peido	
EseEjja	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	
EseEjja	1175	GHOST	ghost	fantasma, espíritu	fantasma	
EseEjja	1182	NOISE	noise	ruido		
EseEjja	1195	GIVE BIRTH	give birth	dar a luz	parir	
EseEjja	1214	THIS	this	este	este	
EseEjja	1222	PENIS	penis	pene	órgão sexual masculino	
EseEjja	1228	EARTH (SOIL)	earth (soil)	tierra	terra (solo)	
EseEjja	1232	WARM	warm	tibio, cálido	quente, cálido	
EseEjja	1234	SMOOTH	smooth	liso	liso, macio	
EseEjja	1240	NOT	not	no	não	
EseEjja	1241	SOME	some	alguno, pocos	alguns	
EseEjja	1250	JAGUAR	jaguar	jaguar	onça pintada	
EseEjja	1251	BELLY	belly	vientre, barriga	barriga	
EseEjja	1253	RAIN (RAINING)	rain (raining)	llover		
EseEjja	1274	SALT	salt	sal	sal	
EseEjja	1275	ANSWER	answer	contestar, responder	responder	
EseEjja	1334	GUTS	guts	tripas	vísceras	
EseEjja	1340	WITH	with	con		
EseEjja	1341	HEAT UP	heat up	calentar		
EseEjja	1342	SUMMER	summer	verano	verão	
EseEjja	1358	ENEMY	enemy	enemigo	inimigo	
EseEjja	1363	VOICE	voice	voz	voz	
EseEjja	1372	MEDICINE	medicine	medicina, remedio	medicamento, remédio	
EseEjja	1407	BREATHE	breathe	respirar	respirar	
EseEjja	1408	HEAR	hear	oír	ouvir	
EseEjja	1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)	
EseEjja	1419	FEAR (BE AFRAID)	fear (be afraid)	tener miedo	ter medo	
EseEjja	1422	BE ALIVE	be alive	vivo	vivo	
EseEjja	1433	HIT	hit	golpear	bater	
EseEjja	1434	STAB	stab	achurar, acuchillar		
EseEjja	1448	HOLD	hold	tener (en mano), apoyar	segurar, agarrar	
EseEjja	1454	WIPE	wipe	limpiar		
EseEjja	1473	FIST	fist	puño		
EseEjja	1476	CHAIR	chair	silla	cadeira	
EseEjja	1490	RAT	rat	rata	RATO	
EseEjja	1491	MOUSE	mouse	ratón	camundongo	
EseEjja	1494	DIE	die	morir	morrer	
EseEjja	1510	CHIN	chin	barbilla, mentón	queixo	
EseEjja	1512	RISE (ONESELF)	rise (oneself)	alzarse. levantarse		
EseEjja	1520	CRUSH	crush	machacar, aplastar		
EseEjja	1542	ACCOMPANY	accompany	acompañar	vinho	
EseEjja	1531	BRANCH	branch	rama	galho	
EseEjja	1533	BE HUNGRY	be hungry	hambriento	TER FOME	
EseEjja	1574	FLOAT	float	flotar	flutuar	
EseEjja	1575	COCKROACH	cockroach	cucaracha	barata	
EseEjja	1577	AND	and	y	e	
EseEjja	1586	SMELL (PERCEIVE)	smell (perceive)	oler, olfatear	cheirar	
EseEjja	1588	TURN	turn	girar, voltearse	virar	
EseEjja	1590	WAIT (FOR)	wait (for)	esperar		
EseEjja	1594	FLOUR	flour	harina	farinha	
EseEjja	1615	ESCAPE	escape	escapar		
EseEjja	1625	DEAD	dead	muerto	morto	
EseEjja	1644	RELATIVES	relatives	parientes, parentela	parentes	
EseEjja	1649	SIT DOWN	sit down	sentarse	SENTAR (-SE)	
EseEjja	1660	LOSE	lose	perder		
EseEjja	1674	POOR	poor	pobre	pobre	
EseEjja	1689	SMOKE (INHALE)	smoke (inhale)	fumar	fumar	
EseEjja	1711	TELL	tell	contar, narrar	dizer	
EseEjja	1741	ABOVE	above	encima	encima	
EseEjja	1752	LEAVE	leave	salir, marcharse, irse, quitarse	partir, ir-se embora	
EseEjja	1778	APPROACH	approach	acercarse	aproximar	
EseEjja	1803	WOOD	wood	madera	madeira	
EseEjja	1827	HARVEST CROPS	harvest crops	cosechar		
EseEjja	1836	VAGINA	vagina	vagina	vagina	
EseEjja	1837	VULVA	vulva	vulva	órgão sexual feminino	
EseEjja	1840	BUILD	build	construir, edificar	construir	
EseEjja	1860	BEAD	bead	chaquira, abalorio	contas, miçanga	
EseEjja	1883	IN FRONT OF	in front of	delante	frente	
EseEjja	1913	PRESS	press	presionar	comprimir, apertar	
EseEjja	1937	THERE	there	allí	lá	
EseEjja	1958	UNRIPE	unripe	inmaduro, no maduro, verde	verde, imaturo	
EseEjja	1961	NECKLACE	necklace	collar	colar	
EseEjja	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	
EseEjja	1986	DISEASE	disease	enfermedad (dolencia)		
EseEjja	1996	GET TIRED	get tired	cansarse)		
EseEjja	2003	FLOW	flow	fluir, correr	fluir	
EseEjja	2012	COLLAR	collar	collar	colarinho	
EseEjja	2019	HAMMOCK	hammock	hamaca, chinchorro	rede	
EseEjja	2069	SOAK (VERB)	soak (verb)	mojar		
EseEjja	2070	COMB (VERB)	comb (verb)	peinar		
EseEjja	2102	BURN	burn	quemar, arder	queimar	
EseEjja	2112	OLD (AGED)	old (aged)	viejo		
EseEjja	2113	OLD (USED)	old (used)	usado		
EseEjja	2117	DESIRE	desire	desear		
EseEjja	2124	SMELL	smell	olor	cheirar	
EseEjja	2159	GROUND	ground	piso		
EseEjja	2215	BECOME ANGRY	become angry	enojarse		
EseEjja	2223	BE ANGRY	be angry	enojado		
EseEjja	2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien		
EseEjja	2271	THINK	think	pensar	pensar	
EseEjja	2297	DUSK	dusk	anochecer, atardecer		
EseEjja	2308	THIN	thin	delgado	fino	
EseEjja	2319	LID (COVER, CAP)	lid (cover, cap)	tapa		
EseEjja	2324	GET WET	get wet	mojarse		
