DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
HuarayoEseEjja	2006	FILL	fill	llenar		
HuarayoEseEjja	8	CURSE	curse	maldecir	amaldiçoar	
HuarayoEseEjja	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto	
HuarayoEseEjja	38	SPREAD OUT	spread out	extender, esparcir	estender, espalhar	
HuarayoEseEjja	42	STINKING	stinking	apestando	fedorento, mal cheiroso	
HuarayoEseEjja	66	KNEEL	kneel	arrodillarse	ajoelhar	
HuarayoEseEjja	76	YOUNG MAN	young man	jóven	rapaz	
HuarayoEseEjja	78	THAT	that	eso, ese, aquel	esse	
HuarayoEseEjja	98	ALL	all	todo	tudo, todo	
HuarayoEseEjja	119	DIVE	dive	zambullirse	mergulhar	
HuarayoEseEjja	124	THORN	thorn	espina	espinho	
HuarayoEseEjja	129	CHOKE	choke	sofocar	sufocar	
HuarayoEseEjja	136	HERE	here	aquí	aqui	
HuarayoEseEjja	143	HUMID	humid	mojado		
HuarayoEseEjja	159	SWEET POTATO	sweet potato	camote, boniato, batata	batata-doce	
HuarayoEseEjja	162	HICCOUGH	hiccough	tener hipo	soluço	
HuarayoEseEjja	155	CHOP	chop	tajar, cortar		
HuarayoEseEjja	179	RIPEN	ripen	madurar		
HuarayoEseEjja	212	FIELD	field	chacra, campo	roça	
HuarayoEseEjja	231	SHAVE	shave	afeitarse	nadadeira	
HuarayoEseEjja	232	FLEA	flea	pulga	pulga	
HuarayoEseEjja	249	FOG	fog	niebla	névoa	
HuarayoEseEjja	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	
HuarayoEseEjja	269	COOKED	cooked	cocido, cocinado	cozinhado, cozido	
HuarayoEseEjja	301	CHIEFTAIN	chieftain	jefe, cacique	chefe, cacique	
HuarayoEseEjja	371	PICK UP	pick up	recoger	captar	
HuarayoEseEjja	377	LOUD	loud	ruidoso	ruidoso, barulhento	
HuarayoEseEjja	379	BLUNT	blunt	embotado, romo	embotado, rombudo	
HuarayoEseEjja	388	FISHNET	fishnet	red, atarraya	rede de pesca	
HuarayoEseEjja	423	GET LOST	get lost	perderse	PERDER-SE	
HuarayoEseEjja	463	FELL (A TREE)	fell (a tree)	talar, tumbar, derribar		
HuarayoEseEjja	492	THREE	three	tres	três	
HuarayoEseEjja	499	CURE	cure	curar	sarar, curar	
HuarayoEseEjja	505	PARENTS	parents	padres	pais	
HuarayoEseEjja	544	SPICY	spicy	picante		
HuarayoEseEjja	593	POTATO	potato	papa	batata	
HuarayoEseEjja	612	HEAT	heat	calor		
HuarayoEseEjja	614	HILL	hill	cerro, colina, monte		
HuarayoEseEjja	619	ANIMAL	animal	animal	animal, bicho	
HuarayoEseEjja	639	MOUNTAIN	mountain	montaña, monte	serra	
HuarayoEseEjja	666	RIVER	river	río	rio	
HuarayoEseEjja	675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes	
HuarayoEseEjja	680	BREAK (DESTROY OR GET DESTROYED)	break (destroy or get destroyed)	romper	romper, quebrar	
HuarayoEseEjja	681	DESTROY	destroy	destruir	destruir	
HuarayoEseEjja	689	BETWEEN	between	entre		
HuarayoEseEjja	690	BOTTOM	bottom	fondo	fundo	
HuarayoEseEjja	694	GET	get	obtener (recibir)	obter, conseguir	
HuarayoEseEjja	696	STIR	stir	revolver		
HuarayoEseEjja	699	SAD	sad	triste	TRISTE (ZA)	
HuarayoEseEjja	706	DARK	dark	oscuro	escuro	
HuarayoEseEjja	713	STEAL	steal	robar	roubar	
HuarayoEseEjja	715	SHOUT	shout	gritar	gritar	
HuarayoEseEjja	719	FIND	find	encontrar, hallar	achar, encontrar	
HuarayoEseEjja	739	FEED	feed	nutrir		
HuarayoEseEjja	750	DROP	drop	caer		
HuarayoEseEjja	769	ROOF	roof	techo	telhado, teto	
HuarayoEseEjja	772	BELT	belt	cinturón, faja	cinto	
HuarayoEseEjja	773	HAVE	have	tener	ter	
HuarayoEseEjja	777	FLUTE	flute	flauta	flauta	
HuarayoEseEjja	785	STRONG	strong	fuerte	FORTE	
HuarayoEseEjja	806	BLANKET	blanket	manta	cobertor	
HuarayoEseEjja	813	DO	do	hacer	fazer	
HuarayoEseEjja	857	STONE	stone	piedra	pedra	
HuarayoEseEjja	860	CAUSE	cause	causar	causa	
HuarayoEseEjja	870	BREATH	breath	respiro	hálito	
HuarayoEseEjja	897	SWALLOW	swallow	tragar	tragar, engolir	
HuarayoEseEjja	908	DRUM	drum	tambor	tambor	
HuarayoEseEjja	923	LOVE	love	querer	amar	
HuarayoEseEjja	928	EMBRACE	embrace	abrazar (abrazo)	abraçar	
HuarayoEseEjja	937	BIRD	bird	pájaro, ave	pássaro, ave	
HuarayoEseEjja	956	FLEE	flee	huir	escapar, fugir	
HuarayoEseEjja	976	WEAR	wear	vestir		
HuarayoEseEjja	980	HEEL	heel	talón	calcanhar	
HuarayoEseEjja	981	ELBOW	elbow	codo	cotovelo	
HuarayoEseEjja	999	JOINT	joint	articulaciones		
HuarayoEseEjja	1005	TWINS	twins	gemelos	gêmeos	
HuarayoEseEjja	1011	BRIDGE	bridge	puente	ponte	
HuarayoEseEjja	1025	WHISTLE	whistle	silbar, chiflar	assoviar	
HuarayoEseEjja	1040	HAIR	hair	pelo	pelo	
HuarayoEseEjja	1041	INCREASE	increase	aumentar, crecer		
HuarayoEseEjja	1043	BRAID	braid	trenzar	trança	
HuarayoEseEjja	1047	PURSUE	pursue	perseguir	perseguir	
HuarayoEseEjja	1084	CALL	call	llamar	linha	
HuarayoEseEjja	1085	FOLLOW	follow	seguir	seguir	
HuarayoEseEjja	1086	WORK (ACTIVITY)	work (activity)	trabajar		
HuarayoEseEjja	1094	FASTEN	fasten	amarrar		
HuarayoEseEjja	1096	SONG	song	canción		
HuarayoEseEjja	1127	SEND	send	enviar, mandar	enviar, mandar	
HuarayoEseEjja	1129	PAINFUL	painful	doloroso		
HuarayoEseEjja	1142	URINE	urine	orina	urina	
HuarayoEseEjja	1157	BECAUSE	because	porque	porque	
HuarayoEseEjja	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	
HuarayoEseEjja	1175	GHOST	ghost	fantasma, espíritu	fantasma	
HuarayoEseEjja	1182	NOISE	noise	ruido		
HuarayoEseEjja	1183	PALM OF HAND	palm of hand	palma de la mano	palma de mão	
HuarayoEseEjja	1195	GIVE BIRTH	give birth	dar a luz	parir	
HuarayoEseEjja	1214	THIS	this	este	este	
HuarayoEseEjja	1221	NOSE	nose	nariz	nariz	
HuarayoEseEjja	1226	YEAR	year	año	ano	
HuarayoEseEjja	1231	NEW	new	nuevo	novo	
HuarayoEseEjja	1232	WARM	warm	tibio, cálido	quente, cálido	
HuarayoEseEjja	1235	WHO	who	quién?	quem?	
HuarayoEseEjja	1240	NOT	not	no	não	
HuarayoEseEjja	1241	SOME	some	alguno, pocos	alguns	
HuarayoEseEjja	1250	JAGUAR	jaguar	jaguar	onça pintada	
HuarayoEseEjja	1251	BELLY	belly	vientre, barriga	barriga	
HuarayoEseEjja	1253	RAIN (RAINING)	rain (raining)	llover		
HuarayoEseEjja	1261	SING	sing	cantar	cantar	
HuarayoEseEjja	1274	SALT	salt	sal	sal	
HuarayoEseEjja	1275	ANSWER	answer	contestar, responder	responder	
HuarayoEseEjja	1309	ASK (INQUIRE)	ask (inquire)	preguntar	perguntar	
HuarayoEseEjja	1334	GUTS	guts	tripas	vísceras	
HuarayoEseEjja	1340	WITH	with	con		
HuarayoEseEjja	1341	HEAT UP	heat up	calentar		
HuarayoEseEjja	1358	ENEMY	enemy	enemigo	inimigo	
HuarayoEseEjja	1363	VOICE	voice	voz	voz	
HuarayoEseEjja	1372	MEDICINE	medicine	medicina, remedio	medicamento, remédio	
HuarayoEseEjja	1374	RING	ring	anillo, sortija	anel	
HuarayoEseEjja	1387	ARRIVE	arrive	llegar, alcanzar	chegar	
HuarayoEseEjja	1405	NAME	name	nombre	nome	
HuarayoEseEjja	1407	BREATHE	breathe	respirar	respirar	
HuarayoEseEjja	1410	KNOW (SOMETHING)	know (something)	saber	saber	
HuarayoEseEjja	1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)	
HuarayoEseEjja	1414	SQUEEZE	squeeze	exprimir	espremer, comprimir	
HuarayoEseEjja	1419	FEAR (BE AFRAID)	fear (be afraid)	tener miedo	ter medo	
HuarayoEseEjja	1422	BE ALIVE	be alive	vivo	vivo	
HuarayoEseEjja	1423	FIGHT	fight	pelear	lutar	
HuarayoEseEjja	1433	HIT	hit	golpear	bater	
HuarayoEseEjja	1434	STAB	stab	achurar, acuchillar		
HuarayoEseEjja	1444	TURN AROUND	turn around	voltear, dar vuelta	voltar, dar a volta	
HuarayoEseEjja	1448	HOLD	hold	tener (en mano), apoyar	segurar, agarrar	
HuarayoEseEjja	1454	WIPE	wipe	limpiar		
HuarayoEseEjja	1463	DRUNK	drunk	borracho, ebrio	embriagado	
HuarayoEseEjja	1473	FIST	fist	puño		
HuarayoEseEjja	1480	BODY	body	cuerpo	corpo	
HuarayoEseEjja	1490	RAT	rat	rata	RATO	
HuarayoEseEjja	1491	MOUSE	mouse	ratón	camundongo	
HuarayoEseEjja	1494	DIE	die	morir	morrer	
HuarayoEseEjja	1500	FOUR	four	cuatro	quatro	
HuarayoEseEjja	1510	CHIN	chin	barbilla, mentón	queixo	
HuarayoEseEjja	1512	RISE (ONESELF)	rise (oneself)	alzarse. levantarse		
HuarayoEseEjja	1520	CRUSH	crush	machacar, aplastar		
HuarayoEseEjja	1542	ACCOMPANY	accompany	acompañar	vinho	
HuarayoEseEjja	1531	BRANCH	branch	rama	galho	
HuarayoEseEjja	1533	BE HUNGRY	be hungry	hambriento	TER FOME	
HuarayoEseEjja	1560	FACE	face	cara	rosto	
HuarayoEseEjja	1567	DOOR	door	puerta	porta, portão	
HuarayoEseEjja	1577	AND	and	y	e	
HuarayoEseEjja	1580	ONLY	only	solo, solamente	só, somente	
HuarayoEseEjja	1583	BRAIN	brain	cerebro, sesos	cérebro, miolos	
HuarayoEseEjja	1586	SMELL (PERCEIVE)	smell (perceive)	oler, olfatear	cheirar	
HuarayoEseEjja	1587	SMELL (STINK)	smell (stink)	apestar, heder, oler mal	cheirar	
HuarayoEseEjja	1588	TURN	turn	girar, voltearse	virar	
HuarayoEseEjja	1590	WAIT (FOR)	wait (for)	esperar		
HuarayoEseEjja	1593	DEEP	deep	profundo, hondo	fundo	
HuarayoEseEjja	1602	WAKE UP	wake up	despertarse	acordar	
HuarayoEseEjja	1615	ESCAPE	escape	escapar		
HuarayoEseEjja	1621	SNEEZE	sneeze	estornudar	espirrar	
HuarayoEseEjja	1625	DEAD	dead	muerto	morto	
HuarayoEseEjja	1633	FLAT	flat	plano	plano, chato	
HuarayoEseEjja	1649	SIT DOWN	sit down	sentarse	SENTAR (-SE)	
HuarayoEseEjja	1657	TRUE	true	verdadero	verdadeiro	
HuarayoEseEjja	1660	LOSE	lose	perder		
HuarayoEseEjja	1672	WRITE	write	escribir	escrever	
HuarayoEseEjja	1674	POOR	poor	pobre	pobre	
HuarayoEseEjja	1689	SMOKE (INHALE)	smoke (inhale)	fumar	fumar	
HuarayoEseEjja	1711	TELL	tell	contar, narrar	dizer	
HuarayoEseEjja	1741	ABOVE	above	encima	encima	
HuarayoEseEjja	1766	FINISH	finish	terminar	completar, acabar	
HuarayoEseEjja	1778	APPROACH	approach	acercarse	aproximar	
HuarayoEseEjja	1784	WANT	want	desear (querer)	querer	
HuarayoEseEjja	1803	WOOD	wood	madera	madeira	
HuarayoEseEjja	1808	PUS	pus	pus	pus	
HuarayoEseEjja	1827	HARVEST CROPS	harvest crops	cosechar		
HuarayoEseEjja	1828	ASK (REQUEST)	ask (request)	pedir	pedir	
HuarayoEseEjja	1836	VAGINA	vagina	vagina	vagina	
HuarayoEseEjja	1837	VULVA	vulva	vulva	órgão sexual feminino	
HuarayoEseEjja	1840	BUILD	build	construir, edificar	construir	
HuarayoEseEjja	1860	BEAD	bead	chaquira, abalorio	contas, miçanga	
HuarayoEseEjja	1883	IN FRONT OF	in front of	delante	frente	
HuarayoEseEjja	1886	ARMPIT	armpit	axila, sobaco	axila, sovaco	
HuarayoEseEjja	1897	HELP	help	ayudar	ajudar	
HuarayoEseEjja	1937	THERE	there	allí	lá	
HuarayoEseEjja	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	
HuarayoEseEjja	1973	DEMON	demon	demonio	demônio	
HuarayoEseEjja	1983	SNORE	snore	roncar	roncar, ressonar	
HuarayoEseEjja	1986	DISEASE	disease	enfermedad (dolencia)		
HuarayoEseEjja	1996	GET TIRED	get tired	cansarse)		
HuarayoEseEjja	2003	FLOW	flow	fluir, correr	fluir	
HuarayoEseEjja	2012	COLLAR	collar	collar	colarinho	
HuarayoEseEjja	2019	HAMMOCK	hammock	hamaca, chinchorro	rede	
HuarayoEseEjja	2069	SOAK (VERB)	soak (verb)	mojar		
HuarayoEseEjja	2070	COMB (VERB)	comb (verb)	peinar		
HuarayoEseEjja	2102	BURN	burn	quemar, arder	queimar	
HuarayoEseEjja	2112	OLD (AGED)	old (aged)	viejo		
HuarayoEseEjja	2113	OLD (USED)	old (used)	usado		
HuarayoEseEjja	2117	DESIRE	desire	desear		
HuarayoEseEjja	2124	SMELL	smell	olor	cheirar	
HuarayoEseEjja	2159	GROUND	ground	piso		
HuarayoEseEjja	2215	BECOME ANGRY	become angry	enojarse		
HuarayoEseEjja	2223	BE ANGRY	be angry	enojado		
HuarayoEseEjja	2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien		
HuarayoEseEjja	2252	PATH	path	trocha	caminho, vereda	
HuarayoEseEjja	2271	THINK	think	pensar	pensar	
HuarayoEseEjja	2297	DUSK	dusk	anochecer, atardecer		
HuarayoEseEjja	2308	THIN	thin	delgado	fino	
HuarayoEseEjja	2319	LID (COVER, CAP)	lid (cover, cap)	tapa		
HuarayoEseEjja	2324	GET WET	get wet	mojarse		
HuarayoEseEjja	2327	BECOME SICK	become sick	enfermarse, estar enfermo		
HuarayoEseEjja	2334	MELT	melt	derretir		
HuarayoEseEjja	2341	CLOUDY	cloudy	nublado		
