DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Matses	2006	FILL	fill	llenar		
Matses	7	GATHER	gather	colectar, reunir, compilar, recopilar	colecionar, reunir	
Matses	8	CURSE	curse	maldecir	amaldiçoar	
Matses	11	DARKNESS	darkness	oscuridad, tinieblas	escuridão	
Matses	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto	
Matses	38	SPREAD OUT	spread out	extender, esparcir	estender, espalhar	
Matses	42	STINKING	stinking	apestando	fedorento, mal cheiroso	
Matses	46	HOLLOW OUT	hollow out	ahuecar	esburacar, cavar	
Matses	66	KNEEL	kneel	arrodillarse	ajoelhar	
Matses	72	CLAW	claw	pinza	unha	
Matses	76	YOUNG MAN	young man	jóven	rapaz	
Matses	77	YOUNG WOMAN	young woman	jóven mujer	moça	
Matses	78	THAT	that	eso, ese, aquel	esse	
Matses	112	TURTLE	turtle	tortuga, motelo	tartaruga	
Matses	124	THORN	thorn	espina	espinho	
Matses	133	WEAVE	weave	tejer	tecer	
Matses	136	HERE	here	aquí	aqui	
Matses	143	HUMID	humid	mojado		
Matses	162	HICCOUGH	hiccough	tener hipo	soluço	
Matses	155	CHOP	chop	tajar, cortar		
Matses	179	RIPEN	ripen	madurar		
Matses	189	HAIR (BODY)	hair (body)	vello (del cuerpo)	cabelo, pêlo	
Matses	203	MARRY	marry	casarse	casar	
Matses	208	NASAL MUCUS (SNOT)	nasal mucus (snot)	moco	muco	
Matses	231	SHAVE	shave	afeitarse	nadadeira	
Matses	214	STRETCH	stretch	tender, alargar, estirar	esticar	
Matses	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	
Matses	269	COOKED	cooked	cocido, cocinado	cozinhado, cozido	
Matses	320	LAME	lame	lisiado	coxo	
Matses	323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)	grasa	gordura	
Matses	352	UNTIE	untie	desatar	desatar	
Matses	371	PICK UP	pick up	recoger	captar	
Matses	377	LOUD	loud	ruidoso	ruidoso, barulhento	
Matses	378	PINCH	pinch	pellizcar	beliscar	
Matses	380	WRINKLED	wrinkled	arrugado	enrugado	
Matses	404	ALCOHOL (FERMENTED DRINK)	alcohol (fermented drink)	bebida fermentada	bebida fermentada	
Matses	423	GET LOST	get lost	perderse	PERDER-SE	
Matses	463	FELL (A TREE)	fell (a tree)	talar, tumbar, derribar		
Matses	499	CURE	cure	curar	sarar, curar	
Matses	505	PARENTS	parents	padres	pais	
Matses	544	SPICY	spicy	picante		
Matses	580	FUR	fur	peludo	pelo	
Matses	581	COME BACK	come back	volver, regresar	voltar, regressar	
Matses	590	NAKED	naked	desnudo	despido, nu	
Matses	593	POTATO	potato	papa	batata	
Matses	612	HEAT	heat	calor		
Matses	614	HILL	hill	cerro, colina, monte		
Matses	619	ANIMAL	animal	animal	animal, bicho	
Matses	630	LIGHT (RADIATION)	light (radiation)	luz	luz	
Matses	639	MOUNTAIN	mountain	montaña, monte	serra	
Matses	666	RIVER	river	río	rio	
Matses	675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes	
Matses	679	BRIGHT	bright	brillante, resplandor	claro, brilhante	
Matses	681	DESTROY	destroy	destruir	destruir	
Matses	682	SIDE	side	lado, costado	lado	
Matses	689	BETWEEN	between	entre		
Matses	694	GET	get	obtener (recibir)	obter, conseguir	
Matses	696	STIR	stir	revolver		
Matses	699	SAD	sad	triste	TRISTE (ZA)	
Matses	704	CLEAN	clean	limpio	limpo	
Matses	707	REMEMBER	remember	recordar	lembrar-se	
Matses	719	FIND	find	encontrar, hallar	achar, encontrar	
Matses	738	THING	thing	cosa	coisa	
Matses	739	FEED	feed	nutrir		
Matses	750	DROP	drop	caer		
Matses	765	MOVE	move	mover	mover	
Matses	781	FEAR (FRIGHT)	fear (fright)	miedo	medo, susto	
