DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Moseten	2006	FILL	fill	llenar		
Moseten	38	SPREAD OUT	spread out	extender, esparcir	estender, espalhar	
Moseten	46	HOLLOW OUT	hollow out	ahuecar	esburacar, cavar	
Moseten	78	THAT	that	eso, ese, aquel	esse	
Moseten	124	THORN	thorn	espina	espinho	
Moseten	129	CHOKE	choke	sofocar	sufocar	
Moseten	136	HERE	here	aquí	aqui	
Moseten	143	HUMID	humid	mojado		
Moseten	179	RIPEN	ripen	madurar		
Moseten	231	SHAVE	shave	afeitarse	nadadeira	
Moseten	214	STRETCH	stretch	tender, alargar, estirar	esticar	
Moseten	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	
Moseten	307	HAWK	hawk	halcón	gavião	
Moseten	423	GET LOST	get lost	perderse	PERDER-SE	
Moseten	463	FELL (A TREE)	fell (a tree)	talar, tumbar, derribar		
Moseten	492	THREE	three	tres	três	
Moseten	493	FIVE	five	cinco	cinco	
Moseten	505	PARENTS	parents	padres	pais	
Moseten	544	SPICY	spicy	picante		
Moseten	580	FUR	fur	peludo	pelo	
Moseten	612	HEAT	heat	calor		
Moseten	614	HILL	hill	cerro, colina, monte		
Moseten	624	LAKE	lake	lago	lago	
Moseten	639	MOUNTAIN	mountain	montaña, monte	serra	
Moseten	666	RIVER	river	río	rio	
Moseten	675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes	
Moseten	689	BETWEEN	between	entre		
Moseten	696	STIR	stir	revolver		
Moseten	699	SAD	sad	triste	TRISTE (ZA)	
Moseten	704	CLEAN	clean	limpio	limpo	
Moseten	728	FIRST	first	primero	primeiro	
Moseten	738	THING	thing	cosa	coisa	
Moseten	739	FEED	feed	nutrir		
Moseten	750	DROP	drop	caer		
Moseten	772	BELT	belt	cinturón, faja	cinto	
Moseten	785	STRONG	strong	fuerte	FORTE	
Moseten	813	DO	do	hacer	fazer	
Moseten	827	ROLL	roll	rodar, arrollar, enrollar	rolar	
Moseten	857	STONE	stone	piedra	pedra	
Moseten	860	CAUSE	cause	causar	causa	
Moseten	870	BREATH	breath	respiro	hálito	
Moseten	976	WEAR	wear	vestir		
Moseten	980	HEEL	heel	talón	calcanhar	
Moseten	999	JOINT	joint	articulaciones		
Moseten	1040	HAIR	hair	pelo	pelo	
Moseten	1041	INCREASE	increase	aumentar, crecer		
Moseten	1063	NEPHEW	nephew	sobrino	sobrinho	
Moseten	1086	WORK (ACTIVITY)	work (activity)	trabajar		
Moseten	1094	FASTEN	fasten	amarrar		
Moseten	1096	SONG	song	canción		
Moseten	1129	PAINFUL	painful	doloroso		
Moseten	1142	URINE	urine	orina	urina	
Moseten	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	
Moseten	1175	GHOST	ghost	fantasma, espíritu	fantasma	
Moseten	1182	NOISE	noise	ruido		
Moseten	1195	GIVE BIRTH	give birth	dar a luz	parir	
Moseten	1212	WE	we	nosotros/nosotras	nós	
Moseten	1214	THIS	this	este	este	
Moseten	1232	WARM	warm	tibio, cálido	quente, cálido	
Moseten	1240	NOT	not	no	não	
Moseten	1250	JAGUAR	jaguar	jaguar	onça pintada	
Moseten	1251	BELLY	belly	vientre, barriga	barriga	
Moseten	1253	RAIN (RAINING)	rain (raining)	llover		
Moseten	1327	UNCLE	uncle	tío	tio	
Moseten	1334	GUTS	guts	tripas	vísceras	
Moseten	1339	MORNING	morning	mañana	manhã	
Moseten	1340	WITH	with	con		
Moseten	1341	HEAT UP	heat up	calentar		
Moseten	1407	BREATHE	breathe	respirar	respirar	
Moseten	1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)	
Moseten	1419	FEAR (BE AFRAID)	fear (be afraid)	tener miedo	ter medo	
Moseten	1422	BE ALIVE	be alive	vivo	vivo	
Moseten	1433	HIT	hit	golpear	bater	
Moseten	1434	STAB	stab	achurar, acuchillar		
Moseten	1444	TURN AROUND	turn around	voltear, dar vuelta	voltar, dar a volta	
Moseten	1448	HOLD	hold	tener (en mano), apoyar	segurar, agarrar	
Moseten	1449	RUB	rub	frotar, enjugar	esfregar	
Moseten	1453	WASH	wash	lavar	lavar	
Moseten	1454	WIPE	wipe	limpiar		
Moseten	1473	FIST	fist	puño		
Moseten	1490	RAT	rat	rata	RATO	
Moseten	1491	MOUSE	mouse	ratón	camundongo	
Moseten	1493	ONE	one	uno	um, uma	
Moseten	1494	DIE	die	morir	morrer	
Moseten	1498	TWO	two	dos	dois, duas	
Moseten	1500	FOUR	four	cuatro	quatro	
Moseten	1512	RISE (ONESELF)	rise (oneself)	alzarse. levantarse		
Moseten	1520	CRUSH	crush	machacar, aplastar		
Moseten	1542	ACCOMPANY	accompany	acompañar	vinho	
Moseten	1531	BRANCH	branch	rama	galho	
Moseten	1533	BE HUNGRY	be hungry	hambriento	TER FOME	
Moseten	1539	BASKET	basket	cesto, canasto, canasta	cesto, cesta	
