DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Movima	2006	FILL	fill	llenar		
Movima	46	HOLLOW OUT	hollow out	ahuecar	esburacar, cavar	
Movima	72	CLAW	claw	pinza	unha	
Movima	78	THAT	that	eso, ese, aquel	esse	
Movima	124	THORN	thorn	espina	espinho	
Movima	136	HERE	here	aquí	aqui	
Movima	143	HUMID	humid	mojado		
Movima	159	SWEET POTATO	sweet potato	camote, boniato, batata	batata-doce	
Movima	179	RIPEN	ripen	madurar		
Movima	231	SHAVE	shave	afeitarse	nadadeira	
Movima	232	FLEA	flea	pulga	pulga	
Movima	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	
Movima	307	HAWK	hawk	halcón	gavião	
Movima	318	FOOTPRINT	footprint	huella	pegada	
Movima	388	FISHNET	fishnet	red, atarraya	rede de pesca	
Movima	423	GET LOST	get lost	perderse	PERDER-SE	
Movima	463	FELL (A TREE)	fell (a tree)	talar, tumbar, derribar		
Movima	492	THREE	three	tres	três	
Movima	493	FIVE	five	cinco	cinco	
Movima	544	SPICY	spicy	picante		
Movima	549	COPULATE	copulate	tirar, tener relaciones sexuales	ter relações sexuais	
Movima	612	HEAT	heat	calor		
Movima	614	HILL	hill	cerro, colina, monte		
Movima	639	MOUNTAIN	mountain	montaña, monte	serra	
Movima	666	RIVER	river	río	rio	
Movima	675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes	
Movima	689	BETWEEN	between	entre		
Movima	696	STIR	stir	revolver		
Movima	699	SAD	sad	triste	TRISTE (ZA)	
Movima	728	FIRST	first	primero	primeiro	
Movima	739	FEED	feed	nutrir		
Movima	750	DROP	drop	caer		
Movima	785	STRONG	strong	fuerte	FORTE	
Movima	813	DO	do	hacer	fazer	
Movima	857	STONE	stone	piedra	pedra	
Movima	870	BREATH	breath	respiro	hálito	
Movima	976	WEAR	wear	vestir		
Movima	999	JOINT	joint	articulaciones		
Movima	1005	TWINS	twins	gemelos	gêmeos	
Movima	1011	BRIDGE	bridge	puente	ponte	
Movima	1040	HAIR	hair	pelo	pelo	
Movima	1041	INCREASE	increase	aumentar, crecer		
Movima	1086	WORK (ACTIVITY)	work (activity)	trabajar		
Movima	1094	FASTEN	fasten	amarrar		
Movima	1096	SONG	song	canción		
Movima	1129	PAINFUL	painful	doloroso		
Movima	1142	URINE	urine	orina	urina	
Movima	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	
Movima	1182	NOISE	noise	ruido		
Movima	1183	PALM OF HAND	palm of hand	palma de la mano	palma de mão	
Movima	1195	GIVE BIRTH	give birth	dar a luz	parir	
Movima	1212	WE	we	nosotros/nosotras	nós	
Movima	1214	THIS	this	este	este	
Movima	1232	WARM	warm	tibio, cálido	quente, cálido	
Movima	1240	NOT	not	no	não	
Movima	1250	JAGUAR	jaguar	jaguar	onça pintada	
Movima	1251	BELLY	belly	vientre, barriga	barriga	
Movima	1253	RAIN (RAINING)	rain (raining)	llover		
Movima	1334	GUTS	guts	tripas	vísceras	
Movima	1340	WITH	with	con		
Movima	1341	HEAT UP	heat up	calentar		
Movima	1363	VOICE	voice	voz	voz	
Movima	1407	BREATHE	breathe	respirar	respirar	
Movima	1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)	
Movima	1419	FEAR (BE AFRAID)	fear (be afraid)	tener miedo	ter medo	
Movima	1422	BE ALIVE	be alive	vivo	vivo	
Movima	1433	HIT	hit	golpear	bater	
Movima	1434	STAB	stab	achurar, acuchillar		
Movima	1454	WIPE	wipe	limpiar		
Movima	1473	FIST	fist	puño		
Movima	1490	RAT	rat	rata	RATO	
Movima	1491	MOUSE	mouse	ratón	camundongo	
Movima	1493	ONE	one	uno	um, uma	
Movima	1494	DIE	die	morir	morrer	
Movima	1498	TWO	two	dos	dois, duas	
Movima	1500	FOUR	four	cuatro	quatro	
