DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Sharanahua	2006	FILL	fill	llenar		
Sharanahua	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto	
Sharanahua	38	SPREAD OUT	spread out	extender, esparcir	estender, espalhar	
Sharanahua	78	THAT	that	eso, ese, aquel	esse	
Sharanahua	119	DIVE	dive	zambullirse	mergulhar	
Sharanahua	124	THORN	thorn	espina	espinho	
Sharanahua	136	HERE	here	aquí	aqui	
Sharanahua	138	BATHE	bathe	bañarse	tomar banho	
Sharanahua	143	HUMID	humid	mojado		
Sharanahua	155	CHOP	chop	tajar, cortar		
Sharanahua	179	RIPEN	ripen	madurar		
Sharanahua	189	HAIR (BODY)	hair (body)	vello (del cuerpo)	cabelo, pêlo	
Sharanahua	231	SHAVE	shave	afeitarse	nadadeira	
Sharanahua	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	
Sharanahua	275	PEEL	peel	pelar	descascar	
Sharanahua	307	HAWK	hawk	halcón	gavião	
Sharanahua	320	LAME	lame	lisiado	coxo	
Sharanahua	377	LOUD	loud	ruidoso	ruidoso, barulhento	
Sharanahua	404	ALCOHOL (FERMENTED DRINK)	alcohol (fermented drink)	bebida fermentada	bebida fermentada	
Sharanahua	423	GET LOST	get lost	perderse	PERDER-SE	
Sharanahua	463	FELL (A TREE)	fell (a tree)	talar, tumbar, derribar		
Sharanahua	489	KIDNEY	kidney	riñón	rim	
Sharanahua	503	FROG	frog	rana	rã	
Sharanahua	505	PARENTS	parents	padres	pais	
Sharanahua	544	SPICY	spicy	picante		
Sharanahua	580	FUR	fur	peludo	pelo	
Sharanahua	587	ANT	ant	hormiga	formiga	
Sharanahua	612	HEAT	heat	calor		
Sharanahua	614	HILL	hill	cerro, colina, monte		
Sharanahua	639	MOUNTAIN	mountain	montaña, monte	serra	
Sharanahua	652	PLAIN	plain	llanura	campo, planície, savannah	
Sharanahua	665	BEE	bee	abeja	abelha	
Sharanahua	666	RIVER	river	río	rio	
Sharanahua	675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes	
Sharanahua	682	SIDE	side	lado, costado	lado	
Sharanahua	683	PERSON	person	persona, ser humano	pessoa, ser humano	
Sharanahua	688	LUNG	lung	pulmón	pulmão	
Sharanahua	689	BETWEEN	between	entre		
Sharanahua	690	BOTTOM	bottom	fondo	fundo	
Sharanahua	694	GET	get	obtener (recibir)	obter, conseguir	
Sharanahua	696	STIR	stir	revolver		
Sharanahua	699	SAD	sad	triste	TRISTE (ZA)	
Sharanahua	717	SWEET	sweet	dulce	doce	
Sharanahua	729	DAWN	dawn	albor, amanecer, aurora, madrugada	amanhecer	
Sharanahua	739	FEED	feed	nutrir		
Sharanahua	750	DROP	drop	caer		
Sharanahua	769	ROOF	roof	techo	telhado, teto	
Sharanahua	773	HAVE	have	tener	ter	
Sharanahua	781	FEAR (FRIGHT)	fear (fright)	miedo	medo, susto	
Sharanahua	785	STRONG	strong	fuerte	FORTE	
Sharanahua	798	JAW	jaw	mandíbula	maxila	
Sharanahua	813	DO	do	hacer	fazer	
Sharanahua	857	STONE	stone	piedra	pedra	
Sharanahua	860	CAUSE	cause	causar	causa	
Sharanahua	870	BREATH	breath	respiro	hálito	
Sharanahua	919	CHILI PEPPER	chili pepper	ají	malagueta	
