DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	FORM
Tacana	1458	SAY	say	decir	a, pu
Tacana	700	CARRY	carry	cargar	abu
Tacana	1382	NEEDLE (FOR SEWING)	needle (for sewing)	aguja	acusha
Tacana	1244	THICK	thick	grueso	adha
Tacana	1230	DIRTY	dirty	sucio	adhida, budhuji
Tacana	738	THING	thing	cosa	ai
Tacana	1236	WHAT	what	qué?	ai
Tacana	634	MEAT	meat	carne	aicha
Tacana	1202	BIG	big	grande	aida
Tacana	1235	WHO	who	quién?	aidhe
Tacana	946	BLOOD	blood	sangre	ami
Tacana	619	ANIMAL	animal	animal	animalu
Tacana	1476	CHAIR	chair	silla	aniude
Tacana	907	OLD WOMAN	old woman	mujer vieja	anu
Tacana	1766	FINISH	finish	acabar, terminar	ape
Tacana	906	TREE	tree	árbol	aqui
Tacana	1443	WALK	walk	caminar, andar	ase
Tacana	1430	STAR	star	estrella	atujau
Tacana	1409	SEE	see	ver	ba
Tacana	406	OLD MAN	old man	hombre viejo	baba, tata edhi
Tacana	1043	BRAID	braid	trenzar	bacuapa
Tacana	1313	MOON	moon	luna	badi
Tacana	121	SPIN	spin	hilar	badu
Tacana	1410	KNOW (SOMETHING)	know (something)	saber	bahue
Tacana	1580	ONLY	only	solo, solamente	bahui, hue
Tacana	624	LAKE	lake	lago	bai
Tacana	1869	BUY	buy	comprar	baja
Tacana	1828	ASK (REQUEST)	ask (request)	pedir	baja
Tacana	1977	DEW	dew	rocío	baji
Tacana	632	LIZARD	lizard	lagartija	banacua
Tacana	1274	SALT	salt	sal	banu
Tacana	1278	VOMIT	vomit	vomitar, arrojar	batasiu, puti-puti
Tacana	1203	LONG	long	largo	bauda
Tacana	1574	FLOAT	float	flotar	bed’a
Tacana	1564	LAZY	lazy	perezoso	bei
Tacana	1127	SEND	send	enviar, mandar	beitu
Tacana	682	SIDE	side	lado, costado	bene
Tacana	960	WIND	wind	viento 	beni
Tacana	1498	TWO	two	dos	beta
Tacana	1439	SWIM	swim	nadar	betsa
Tacana	1517	WASP	wasp	avispa	bia
Tacana	1392	LOUSE	louse	piojo	bia
Tacana	919	CHILI PEPPER	chili pepper	ají	bid’u
Tacana	601	LIE (MISLEAD)	lie (mislead)	mentir	bid’umimi pu
Tacana	1324	SLIP	slip	resbalar	bidha
Tacana	1793	BAT	bat	murciélago	bina
Tacana	1210	HEAVY	heavy	pesado	biqueda
Tacana	1291	BACK	back	espalda	bishi, yarapa
Tacana	717	SWEET	sweet	dulce	bitada
Tacana	1489	CLOUD	cloud	nube	budhu, judu
Tacana	1732	SKY	sky	cielo	buepa
Tacana	1808	PUS	pus	pus	busu
Tacana	203	MARRY	marry	casarse	butsene-ti, yahue-ti
Tacana	1404	STRAIGHT	straight	recto	butsepi
Tacana	1543	SNAIL	snail	caracol	buturu, d’emu
Tacana	321	CHEW	chew	masticar	cachu
Tacana	1970	CANOE	canoe	canoa, curiara	canua
Tacana	1468	LOOK FOR	look for	buscar (mirar)	chacu
Tacana	1819	LOOK	look	mirar, contemplar	chama
Tacana	1425	GREEN	green	verde (color)	china
Tacana	1421	SUCK	suck	chupar, mamar	chuchu
Tacana	371	PICK UP	pick up	recoger	chudu
Tacana	1752	LEAVE	leave	salir, marcharse, irse, quitarse	cua
Tacana	1441	FLY (MOVE THROUGH AIR)	fly (move through air)	volar	cua-betsa
Tacana	925	CASSAVA	cassava	yuca	cuahue
Tacana	1239	HOW	how	cómo?	cuaja
Tacana	1216	MOTHER	mother	madre	cuara
Tacana	679	BRIGHT	bright	brillante, resplandor	cuareda, siresire
Tacana	1232	WARM	warm	tibio, cálido	cuaseseda
Tacana	10	FIREWOOD	firewood	leña	cuati
Tacana	737	LIGHT (IGNITE)	light (ignite)	encender	cuati-turu, huitsu
Tacana	1337	PIG	pig	cerdo, chancho, puerco	cuchi
Tacana	1387	ARRIVE	arrive	llegar, alcanzar	cuina
Tacana	1090	BE BORN	be born	nacer	cuina
Tacana	1107	GO OUT	go out	salir	cuinana
Tacana	1923	ROUGH	rough	áspero	d’aca-d’aca
Tacana	1761	YOUNGER SISTER	younger sister	hermana menor	d’ana
Tacana	1892	TOUCH	touch	tocar	d’apana
Tacana	1760	YOUNGER BROTHER	younger brother	hermano menor	d’au
Tacana	141	BURN (SOMETHING)	burn (something)	quemar, quemarse	d’ed’a
Tacana	843	SPIDER	spider	araña	d’etete
Tacana	937	BIRD	bird	pájaro, ave	d’ia
Tacana	506	MAIZE	maize	maíz	d’ije
Tacana	680	BREAK (DESTROY OR GET DESTROYED)	break (destroy or get destroyed)	romper	d’iu
Tacana	1539	BASKET	basket	cesto, canasto, canasta	d’ujuju
Tacana	388	FISHNET	fishnet	red, atarraya	d’ujuju
Tacana	1280	FALL	fall	caer	dajaja
Tacana	112	TURTLE	turtle	tortuga, motelo	dati
Tacana	1100	COOK (SOMETHING)	cook (something)	cocinar	dau, jana pu
Tacana	1554	MAN	man	varón, hombre	deja
Tacana	1672	WRITE	write	escribir	dere
Tacana	155	CHOP	chop	tajar, cortar	dha-dha
Tacana	1750	CHOOSE	choose	escoger, elegir	dhare
Tacana	708	SHINE	shine	brillar	dharu-dharu-a, d’ia
Tacana	163	BLACK	black	negro	dhehuena
Tacana	156	RED	red	rojo	dherena, dhereda
Tacana	1233	NIGHT	night	noche	dhidha
Tacana	378	PINCH	pinch	pellizcar	dhiju
Tacana	681	DESTROY	destroy	destruir	dhirape
Tacana	1576	PILE UP	pile up	amontonar	dhita
Tacana	1475	COMB	comb	peine	dhupa
Tacana	1336	EAT	eat	comer	dia
Tacana	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	dia-ba
Tacana	1758	OLDER SISTER	older sister	hermana mayor	dudu
Tacana	1033	GRIND	grind	moler	dudu
Tacana	1198	MANY	many	muchos	dueji
Tacana	1593	DEEP	deep	profundo, hondo	duenda
Tacana	1358	ENEMY	enemy	enemigo	duininibaji
Tacana	692	BRING	bring	traer	duse
Tacana	1673	ARM	arm	brazo	e-bai
Tacana	1405	NAME	name	nombre	e-bani
Tacana	318	FOOTPRINT	footprint	huella	e-baqui
Tacana	981	ELBOW	elbow	codo	e-batsu
Tacana	1204	BARK	bark	corteza, cascara	e-biti
Tacana	763	SKIN	skin	piel, cutis, pellejo	e-biti
