CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	Form
360	FAN (ACTION)	fan (action)	abanicar, aventar	
665	BEE	bee	abeja	
928	EMBRACE	embrace	abrazar	ćhobaqui, noq̂uen’jeyaqui
1156	OPEN	open	abrir	vanacjeyaqui, vanchuqui
1766	FINISH	finish	acabar, terminar	räjjeyqui, rä’i
3898	ACCEPT	accept	aceptar	jújjeyaqui, ji’cacati
1778	APPROACH	approach	acercarse	ćhéi’yaij jeyeyaqui
1434	STAB	stab	achurar, acuchillar	
1906	SOUR	sour	ácido, agrio	vísun’dyi’
1542	ACCOMPANY	accompany	acompañar	jíjcaqui, pen’dyetuqui
1411	LIE (REST)	lie (rest)	acostarse	chújduj
215	LIE DOWN	lie down	acostarse, echarse	
2912	FORWARD	forward	adelante	
1606	INSIDE	inside	adentro, dentro	
231	SHAVE	shave	afeitarse	
1396	SHARP	sharp	afilado, aguzado, filoso	
251	SHARPEN (SOMETHING)	sharpen (something)	afilar	
762	OUTSIDE	outside	afuera, fuera, exterior	
1631	FAST	fast	ágil	
696	STIR	stir	agitar, revolver	
948	WATER	water	agua	
1382	NEEDLE (FOR SEWING)	needle (for sewing)	aguja	
1376	NOW	now	ahora	
46	HOLLOW OUT	hollow out	ahuecar	
919	CHILI PEPPER	chili pepper	ají	
1257	WING	wing	ala	
729	DAWN	dawn	albor, amanecer, aurora, madrugada	
1850	COTTON	cotton	algodón	
1241	SOME	some	alguno, pocos	
739	FEED	feed	alimentar, dar de comer	
1937	THERE	there	allí	
811	SOUL	soul	alma	
2790	HIGH OR TALL	high or tall	alto	
1512	RISE (ONESELF)	rise (oneself)	alzarse,  levantarse	
887	BITTER	bitter	amargo	
1424	YELLOW	yellow	amarillo	
1094	FASTEN	fasten	amarrar	
1325	FRIEND	friend	amigo, compañero	
1576	PILE UP	pile up	amontonar	
1243	WIDE	wide	ancho, amplio	
1374	RING	ring	anillo, sortija	
619	ANIMAL	animal	animal	
1226	YEAR	year	año	
2297	DUSK	dusk	anochecer, atardecer	
1917	TIE	tie	anudar	
127	EXTINGUISH	extinguish	apagar	
42	STINKING	stinking	apestando, apestoso	
1587	SMELL (STINK)	smell (stink)	apestar, heder, oler mal	
136	HERE	here	aquí, acá	
843	SPIDER	spider	araña	
906	TREE	tree	árbol	
994	BOW	bow	arco	
1733	RAINBOW	rainbow	arcoiris	
1428	BURNING	burning	arder	
671	SAND	sand	arena	
1591	UP	up	arriba, encima	
66	KNEEL	kneel	arrodillarse	
380	WRINKLED	wrinkled	arrugado	
999	JOINT	joint	articulaciones	
1962	ROAST (SOMETHING)	roast (something)	asar	
1923	ROUGH	rough	áspero	
1170	TRAP (CATCH)	trap (catch)	atrapar	
1686	BEHIND	behind	atrás, detrás	
1041	INCREASE	increase	aumentar, crecer	
1517	WASP	wasp	avispa	
1886	ARMPIT	armpit	axila, sobaco	
1174	YESTERDAY	yesterday	ayer	
1897	HELP	help	ayudar	
837	BLUE	blue	azul	
1879	DANCE	dance	bailar	
3472	DANCE (MOVEMENT)	dance (movement)	baile, danza	
138	BATHE	bathe	bañarse	
678	BEARD	beard	barba	
1510	CHIN	chin	barbilla, mentón	
1251	BELLY	belly	barriga, vientre	
1289	BABY	baby	bebé	
1401	DRINK	drink	beber, tomar	
731	BEVERAGE	beverage	bebida	
404	ALCOHOL (FERMENTED DRINK)	alcohol (fermented drink)	bebida fermentada	
1335	WHITE	white	blanco	
674	MOUTH	mouth	boca	
2468	BAG	bag	bolsa	
1463	DRUNK	drunk	borracho, ebrio	
1673	ARM	arm	brazo	
679	BRIGHT	bright	brillante, resplandor	
708	SHINE	shine	brillar	
1035	GOOD	good	bueno	
1185	VULTURE	vulture	buitre	
1468	LOOK FOR	look for	buscar (mirar)	
2648	HAIR (HEAD)	hair (head)	cabello	
1256	HEAD	head	cabeza	
750	DROP	drop	caer	
1280	FALL	fall	caer	
1341	HEAT UP	heat up	calentar	
1286	HOT	hot	caliente	
48	BE SILENT	be silent	callarse	
612	HEAT	heat	calor	
1443	WALK	walk	caminar, andar	
159	SWEET POTATO	sweet potato	camote, boniato, batata	
1096	SONG	song	canción	
1970	CANOE	canoe	canoa, curiara	
1996	GET TIRED	get tired	cansarse	
1261	SING	sing	cantar	
1560	FACE	face	cara	
1543	SNAIL	snail	caracol	
1188	CHARCOAL	charcoal	carbón	
700	CARRY	carry	cargar	
634	MEAT	meat	carne	
1252	HOUSE	house	casa	
203	MARRY	marry	casarse	
1418	DIG	dig	cavar, excavar	
1435	HUNT	hunt	cazar	
1173	EYEBROW	eyebrow	ceja	
646	ASH	ash	cenizas	
1942	NEAR	near	cerca	
1337	PIG	pig	cerdo, chancho, puerco	
1583	BRAIN	brain	cerebro, sesos	
1046	SHUT	shut	cerrar	
614	HILL	hill	cerro, colina	
1539	BASKET	basket	cesto, canasto, canasta	
212	FIELD	field	chacra, campo	
1860	BEAD	bead	chaquira, perla	
1421	SUCK	suck	chupar, mamar	
1732	SKY	sky	cielo	
493	FIVE	five	cinco	
772	BELT	belt	cinturón, faja	
269	COOKED	cooked	cocido, cocinado	
1100	COOK (SOMETHING)	cook (something)	cocinar	
981	ELBOW	elbow	codo	
1220	TAIL	tail	cola/rabo	
7	GATHER	gather	colectar, reunir, compilar, recopilar	
1961	NECKLACE	necklace	collar	
1336	EAT	eat	comer	
256	FOOD	food	comida	
1239	HOW	how	cómo?	
1869	BUY	buy	comprar	
1340	WITH	with	con	
2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien	
1711	TELL	tell	contar, narrar	
1275	ANSWER	answer	contestar, responder	
1223	HEART	heart	corazón	
1519	RUN	run	correr	
1432	CUT	cut	cortar	
1204	BARK	bark	corteza, cascara	
1645	SHORT	short	corto	
738	THING	thing	cosa	
1827	HARVEST CROPS	harvest crops	cosechar	
1457	SEW	sew	coser	
801	RIB	rib	costilla	
479	GROW	grow	crecer	
1959	RAW	raw	crudo	
1238	WHEN	when	cuándo?	
1500	FOUR	four	cuatro	
761	COVER	cover	cubrir	
1333	NECK	neck	cuello	
1393	HORN (ANATOMY)	horn (anatomy)	cuerno	
1480	BODY	body	cuerpo	
499	CURE	cure	curar	
1447	GIVE	give	dar	
1195	GIVE BIRTH	give birth	dar a luz, parir	
1485	BELOW OR UNDER	below or under	debajo	
1458	SAY	say	decir	
1303	FINGER	finger	dedo de la mano	
676	SHIT (DEFECATE)	shit (defecate)	defecar	
2866	DROP (SOMETHING)	drop (something)	dejar caer	
1883	IN FRONT OF	in front of	delante	
2308	THIN	thin	delgado	
1973	DEMON	demon	demonio	
1019	RIGHT	right	derecho	
2334	MELT	melt	derretir	
352	UNTIE	untie	desatar	
168	REST	rest	descansar	
2014	GO DOWN (DESCEND)	go down (descend)	descender	
2117	DESIRE	desire	desear	
1784	WANT	want	desear (querer)	
590	NAKED	naked	desnudo	
3174	WAKE UP (SOMEONE)	wake up (someone)	despertar	
1602	WAKE UP	wake up	despertarse	
681	DESTROY	destroy	destruir	
1225	DAY (NOT NIGHT)	day (not night)	día	
1380	TOOTH	tooth	dientes	
2504	DIFFERENT	different	diferente	
1172	SHOOT	shoot	disparar, tirar	
2561	HURT (SENSE PAIN)	hurt (sense pain)	doler	
1783	PAIN	pain	dolor	
1129	PAINFUL	painful	doloroso	
1237	WHERE	where	dónde?	
1585	SLEEP	sleep	dormir	
1498	TWO	two	dos	
717	SWEET	sweet	dulce	
1884	HARD	hard	duro	
817	THEY	they	ellos, ellas	
855	SEIZE	seize	embargar	
1452	PUSH	push	empujar	
737	LIGHT (IGNITE)	light (ignite)	encender	
1741	ABOVE	above	encima	
