DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Yaminahua	2006	FILL	fill	llenar		
Yaminahua	8	CURSE	curse	maldecir	amaldiçoar	
Yaminahua	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto	
Yaminahua	66	KNEEL	kneel	arrodillarse	ajoelhar	
Yaminahua	78	THAT	that	eso, ese, aquel	esse	
Yaminahua	119	DIVE	dive	zambullirse	mergulhar	
Yaminahua	124	THORN	thorn	espina	espinho	
Yaminahua	129	CHOKE	choke	sofocar	sufocar	
Yaminahua	136	HERE	here	aquí	aqui	
Yaminahua	143	HUMID	humid	mojado		
Yaminahua	155	CHOP	chop	tajar, cortar		
Yaminahua	179	RIPEN	ripen	madurar		
Yaminahua	231	SHAVE	shave	afeitarse	nadadeira	
Yaminahua	232	FLEA	flea	pulga	pulga	
Yaminahua	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	
Yaminahua	269	COOKED	cooked	cocido, cocinado	cozinhado, cozido	
Yaminahua	371	PICK UP	pick up	recoger	captar	
Yaminahua	377	LOUD	loud	ruidoso	ruidoso, barulhento	
Yaminahua	379	BLUNT	blunt	embotado, romo	embotado, rombudo	
Yaminahua	388	FISHNET	fishnet	red, atarraya	rede de pesca	
Yaminahua	423	GET LOST	get lost	perderse	PERDER-SE	
Yaminahua	463	FELL (A TREE)	fell (a tree)	talar, tumbar, derribar		
Yaminahua	505	PARENTS	parents	padres	pais	
Yaminahua	544	SPICY	spicy	picante		
Yaminahua	593	POTATO	potato	papa	batata	
Yaminahua	612	HEAT	heat	calor		
Yaminahua	614	HILL	hill	cerro, colina, monte		
Yaminahua	639	MOUNTAIN	mountain	montaña, monte	serra	
Yaminahua	666	RIVER	river	río	rio	
Yaminahua	675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes	
Yaminahua	681	DESTROY	destroy	destruir	destruir	
Yaminahua	689	BETWEEN	between	entre		
Yaminahua	690	BOTTOM	bottom	fondo	fundo	
Yaminahua	694	GET	get	obtener (recibir)	obter, conseguir	
Yaminahua	696	STIR	stir	revolver		
Yaminahua	699	SAD	sad	triste	TRISTE (ZA)	
Yaminahua	719	FIND	find	encontrar, hallar	achar, encontrar	
