DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Araona	6	FILL	fill	llenar	terremoto	
Araona	8	CURSE	curse	maldecir	amaldiçoar	
Araona	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto	
Araona	25	DIRT	dirt	suciedad		
Araona	38	SPREAD OUT	spread out	extender, esparcir	estender, espalhar	
Araona	48	BE SILENT	be silent	callarse	ficar em silêncio	
Araona	57	ATOP	atop	encima, sobre	sobre	
Araona	66	KNEEL	kneel	arrodillarse	ajoelhar	
Araona	72	CLAW	claw	pinza	unha	
Araona	78	THAT	that	eso, ese, aquel	esse	
Araona	119	DIVE	dive	zambullirse	mergulhar	
Araona	121	SPIN	spin	hilar	fiar	
Araona	124	THORN	thorn	espina	espinho	
Araona	129	CHOKE	choke	sofocar	sufocar	
Araona	136	HERE	here	aquí	aqui	
Araona	143	HUMID	humid	mojado		
Araona	165	CHOP	chop	tajar, cortar		
Araona	179	RIPEN	ripen	madurar		
Araona	213	SHAVE	shave	aleta	nadadeira	
Araona	225	PESTLE	pestle	mano de mortero	socador (do pilão)	
Araona	232	FLEA	flea	pulga	pulga	
Araona	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	
Araona	269	COOKED	cooked	cocido, cocinado	cozinhado, cozido	
Araona	282	POLE	pole	palo, polo		
Araona	371	PICK UP	pick up	recoger	captar	
Araona	377	LOUD	loud	ruidoso	ruidoso, barulhento	
Araona	379	BLUNT	blunt	embotado, romo	embotado, rombudo	
Araona	388	FISHNET	fishnet	red, atarraya	rede de pesca	
Araona	411	GOURD	gourd	jícara	cabaça	
Araona	423	GET LOST	get lost	perderse	PERDER-SE	
Araona	463	FELL (A TREE)	fell (a tree)	talar, tumbar, derribar		
Araona	493	FIVE	five	cinco	cinco	
Araona	505	PARENTS	parents	padres	pais	
Araona	544	SPICY	spicy	picante		
Araona	590	NAKED	naked	desnudo	despido, nu	
Araona	593	POTATO	potato	papa	batata	
Araona	612	HEAT	heat	calor		
Araona	614	HILL	hill	colina		
Araona	619	ANIMAL	animal	animal	animal, bicho	
Araona	639	MOUNTAIN	mountain	montaña, monte	serra	
Araona	666	RIVER	river	río	rio	
Araona	675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes	
Araona	681	DESTROY	destroy	destruir	destruir	
Araona	689	BETWEEN	between	entre		
Araona	690	BOTTOM	bottom	fondo	fundo	
Araona	694	GET	get	obtener (recibir)	obter, conseguir	
Araona	696	STIR	stir	revolver		
Araona	699	SAD	sad	triste	TRISTE (ZA)	
Araona	707	REMEMBER	remember	recordar	lembrar-se	
Araona	708	SHINE	shine	brillar	brilhar	
Araona	719	FIND	find	encontrar, hallar	achar, encontrar	
Araona	739	FEED	feed	nutrir		
Araona	750	DROP	drop	caer		
Araona	773	HAVE	have	tener	ter	
Araona	785	STRONG	strong	fuerte	FORTE	
Araona	813	DO	do	hacer	fazer	
Araona	816	HALF	half	mitad	metade	
Araona	857	STONE	stone	piedra	pedra	
Araona	860	CAUSE	cause	causar	causa	
Araona	870	BREATH	breath	respiro	hálito	
Araona	904	BERRY	berry	baya		
Araona	945	SPEAR	spear	lanza	lança	
Araona	974	TOBACCO	tobacco	tabaco	tabaco	
Araona	976	WEAR	wear	vestir		
Araona	980	HEEL	heel	talón	calcanhar	
Araona	999	JOINT	joint	articulaciones		
Araona	1005	TWINS	twins	gemelos	gêmeos	
Araona	1040	HAIR	hair	pelo	pelo	
Araona	1041	INCREASE	increase	aumentar, crecer		
Araona	1043	BRAID	braid	trenzar	trança	
Araona	1047	PURSUE	pursue	perseguir	perseguir	
Araona	1063	NEPHEW	nephew	sobrino	sobrinho	
Araona	1086	WORK (ACTIVITY)	work (activity)	trabajar		
Araona	1094	FASTEN	fasten	Amarrar		
Araona	1096	SONG	song	canción		
Araona	1109	WOUND	wound	herida, llaga	ferida, chaga	
Araona	1129	PAINFUL	painful	doloroso		
Araona	1142	URINE	urine	orina	urina	
Araona	1149	ORPHAN	orphan	huérfano, huérfana	órfão/órfã	
Araona	1159	FART	fart	pedo	peido	
Araona	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	
Araona	1175	GHOST	ghost	fantasma, espíritu	fantasma	
Araona	1182	NOISE	noise	ruido		
Araona	1195	GIVE BIRTH	give birth	dar a luz	parir	
Araona	1214	THIS	this	este	este	
Araona	1240	NOT	not	no	não	
Araona	1241	SOME	some	alguno, pocos	alguns	
Araona	1250	JAGUAR	jaguar	jaguar	onça pintada	
Araona	1251	BELLY	belly	vientre, barriga	barriga	
Araona	1253	RAIN (RAINING)	rain (raining)	llover		
Araona	1274	SALT	salt	sal	sal	
Araona	1275	ANSWER	answer	contestar	responder	
Araona	1295	STICK	stick	palo		
Araona	1326	DOWN	down	abajo		
Araona	1327	UNCLE	uncle	tío	tio	
Araona	1334	GUTS	guts	tripas	vísceras	
Araona	1340	WITH	with	con		
Araona	1341	HEAT UP	heat up	calentar		
Araona	1342	SUMMER	summer	verano	verão	
Araona	1346	THROAT	throat	garganta	gargante	
Araona	1350	MONKEY	monkey	mono/s	macaco	
Araona	1358	ENEMY	enemy	enemigo	inimigo	
Araona	1363	VOICE	voice	voz	voz	
Araona	1372	MEDICINE	medicine	medicina, remedio	medicamento, remédio	
Araona	1407	BREATHE	breathe	respirar	respirar	
Araona	1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)	
Araona	1419	FEAR (BE AFRAID)	fear (be afraid)	tener miedo	ter medo	
Araona	1422	BE ALIVE	be alive	vivo	vivo	
Araona	1423	FIGHT	fight	pelear	lutar	
Araona	1428	BURNING	burning	arder	queimar, arder	
Araona	1430	STAR	star	estrella	estrela	
Araona	1433	HIT	hit	golpear	bater	
Araona	1434	STAB	stab	achurar, acuchillar		
Araona	1448	HOLD	hold	tener (en mano), apoyar	segurar, agarrar	
Araona	1454	WIPE	wipe	limpiar		
Araona	1463	DRUNK	drunk	ebrio	embriagado	
Araona	1473	FIST	fist	puño		
Araona	1490	RAT	rat	rata	RATO	
Araona	1491	MOUSE	mouse	ratón	camundongo	
Araona	1494	DIE	die	morir	morrer	
Araona	1510	CHIN	chin	barbilla, mentón	queixo	
Araona	1512	RISE (ONESELF)	rise (oneself)	alzarse. levantarse		
Araona	1520	CRUSH	crush	machacar, aplastar		
Araona	1524	ACCOMPANY	accompany	acompañar	vinho	
Araona	1531	BRANCH	branch	rama	galho	
Araona	1533	BE HUNGRY	be hungry	hambriento	TER FOME	
Araona	1571	SELL	sell	vender	vender	
Araona	1577	AND	and	y	e	
Araona	1586	SMELL (PERCEIVE)	smell (perceive)	oler, olfatear	cheirar	
Araona	1588	TURN	turn	girar, voltearse	virar	
Araona	1590	WAIT (FOR)	wait (for)	esperar		
Araona	1615	ESCAPE	escape	escapar		
Araona	1625	DEAD	dead	muerto	morto	
Araona	1649	SIT DOWN	sit down	sentarse	SENTAR (-SE)	
Araona	1660	LOSE	lose	perder		
Araona	1666	MUTE	mute	mudo	mudo	
Araona	1674	POOR	poor	pobre	pobre	
Araona	1689	SMOKE (INHALE)	smoke (inhale)	fumar	fumar	
Araona	1690	FENCE	fence	quitamiedos	cerca	
Araona	1711	TELL	tell	contar, narrar	dizer	
Araona	1720	SIGN	sign	marca		
Araona	1730	CHEEK	cheek	mejilla	bochecha	
Araona	1741	ABOVE	above	encima	encima	
Araona	1778	APPROACH	approach	acercarse	aproximar	
Araona	1786	DRY UP	dry up	secar	secar	
Araona	1803	WOOD	wood	madera	madeira	
Araona	1827	HARVEST CROPS	harvest crops	cosechar		
Araona	1836	VAGINA	vagina	vagina	vagina	
