ID	CONCEPT	DOCULECT	SUBGROUP	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	BORROWING	NOTE
1	dust	EseEjja	Tacana	meši-hahi	meši-hahi	m e ʃ i + h a h i	1635	3249 3251	m e ʃ i + h a h i	dust dust		None
2	mud	EseEjja	Tacana	wašapa	wašapa	w a ʃ a p a	3710	7466	w a ʃ a p a			None
4	sand	EseEjja	Tacana	meši-hahi	meši-hahi	m e ʃ i + h a h i	4661	3249 3251	m e ʃ i + h a h i	dust dust		None
5	plain	EseEjja	Tacana	haha-haha	haha-haha	h a h a + h a h a	4232	8535 8535	h a h a + h a h a			None
6	water	EseEjja	Tacana	ena	ena	n a	6167	25	- - - n a -	water		None
7	lake	EseEjja	Tacana	ɓai	ɓai	ɓ a i	3126	6266	ɓ a i	lake		None
8	spring or well	EseEjja	Tacana	xani	xani	x a n i	5398	1677	x a n i	opening		None
9	spring or well	EseEjja	Tacana	čixoko	čixoko	tʃ i x o k o	5407	226	tʃ i x o k o			None
10	spring or well	EseEjja	Tacana	eteoxi	eteoxi	t eo x i	5409	10823	t eo x i			None
11	forest	EseEjja	Tacana	eɓio	eɓio	ɓ i o	2315	460	ɓ i o	forest		None
12	tree	EseEjja	Tacana	akʷi	akʷi	a kʷ i	5930	11965	a kʷ i	tree		None
13	sky	EseEjja	Tacana	eya	eya	j a	5076	49	j a	sky		None
14	sun	EseEjja	Tacana	išeki	išeki	i ʃ e k i	5568	11157	i ʃ e k i			None
15	sun	EseEjja	Tacana	ešeki	ešeki	ʃ e k i	5568	11157	- ʃ e k i	sun		None
16	moon	EseEjja	Tacana	ɓaʔi	ɓaʔi	ɓ a ʔ i	3620	51	ɓ a ʔ i - - - -	sun/moon		None
17	star	EseEjja	Tacana	mahameta	mahameta	m a h a m e t a	5440	10910	m a h a m e t a			None
18	lightning	EseEjja	Tacana	poxexi	poxexi	p o x e x i	3343	6698	p o x e x i			None
19	thunder	EseEjja	Tacana	kʷehi	kʷehi	kʷ e h i	5812	11717	kʷ e h i	thunder		None
20	thunder	EseEjja	Tacana	kʷehe	kʷehe	kʷ e h e	5812	11717	kʷ e h e			None
21	rainbow	EseEjja	Tacana	sihiani	sihiani	s i h i a n i	4393	234	s i h i a n i			None
22	light (radiation)	EseEjja	Tacana	heahaʔa-	heahaʔa-	h e a h a ʔ a	3313	6646	h e a h a ʔ a			None
23	darkness	EseEjja	Tacana	-apo	-apo	a p o	1360	2725	a p o	dark		None
24	shade	EseEjja	Tacana	e-šawa	e-šawa	ʃ a w a	4801	9655	ʃ a w - a -			None
25	shade	EseEjja	Tacana	e-axaɲa	e-axaɲa	a x a ɲ a	4808	198	- a x a ɲ a			None
26	dew	EseEjja	Tacana	mahametana	mahametana	m a h a m e t a n a	1457	2908	m a h a m e t a n a			None
27	dew	EseEjja	Tacana	eši'o	eši'o	ʃ i o	1458	2905	ʃ i o -			None
28	wind	EseEjja	Tacana	ɓeni	ɓeni	ɓ e n i	6324	12833	ɓ e n i			None
29	cloud	EseEjja	Tacana	ɓo	ɓo	ɓ o	1072	14	( - - ) - ɓ o ( - - )	cloud		None
30	cloud	EseEjja	Tacana	-haʔa	-haʔa	h a ʔ a	1080	220	h a ʔ a			None
31	fog	EseEjja	Tacana	wohaɓo	wohaɓo	w o h a ɓ o	2234	4506	w o h a ɓ o			None
32	rain (precipitation)	EseEjja	Tacana	ena	ena	n a	4376	25	- - - n a -	water		None
34	fire	EseEjja	Tacana	kʷa-ki	kʷa-ki	kʷ a + k i	2067	240 235	kʷ a + k i -	fire ash		None
35	smoke (exhaust)	EseEjja	Tacana	wičača	wičača	w i tʃ a tʃ a	5154	10349	w i tʃ a tʃ a	smoke		None
36	ash	EseEjja	Tacana	kʷaki-maxo	kʷaki-maxo	kʷ a + k i + m a x o	135	240 235 237	kʷ a + k i - + m a ( - ) x o	fire ash dust		None
37	ash	EseEjja	Tacana	kʷaki-powi	kʷaki-powi	kʷ a + k i + p o w i	135	240 235 241	kʷ a + k i - + p o w i	fire ash ash		None
38	burn (something)	EseEjja	Tacana	kiyo-	kiyo-	k i j o	733	5811	k i - - - j o -	burn		None
39	burning	EseEjja	Tacana	hihi-	hihi-	h i h i	755	78	h i h i	burn		None
40	light (ignite)	EseEjja	Tacana	hihi-	hihi-	h i h i	3292	78	h i h i	burn		None
41	light (ignite)	EseEjja	Tacana	košo-	košo-	k o ʃ o	3301	320	k o ʃ - - - o			None
42	light (ignite)	EseEjja	Tacana	ɗeʔɗo-	ɗeʔɗo-	ɗ e ʔ ɗ o	3305	244	ɗ e ʔ ɗ o	fog?		None
43	extinguish	EseEjja	Tacana	čiyo-	čiyo-	tʃ i + j o	1765	238 266	tʃ i - - + j o	fire ?		None
44	extinguish	EseEjja	Tacana	kixoyo-	kixoyo-	k i x o + j o	1770	3553 279	k i x o + j o			None
45	extinguish	EseEjja	Tacana	čiʔ-	čiʔ-	tʃ i + ʔ	1763	238 266	tʃ i - - + ʔ	fire ?		None
46	firewood	EseEjja	Tacana	kʷa-ki	kʷa-ki	kʷ a + k i	2075	240 235	kʷ a + k i -	fire ash		None
47	firewood	EseEjja	Tacana	eši	eši	ʃ i	2080	4206	ʃ i			None
48	charcoal	EseEjja	Tacana	kʷaki-powi	kʷaki-powi	kʷ a + k i + p o w i	902	240 235 241	kʷ a + k i - + p o w i	fire ash ash		None
49	charcoal	EseEjja	Tacana	koxašae	koxašae	k o x a + ʃ a e	908	1789 282	k o x a + ʃ a e			None
50	person	EseEjja	Tacana	-dexa	-dexa	d e x a	4166	296	d e x a -	person		None
51	person	EseEjja	Tacana	-pona	-pona	p o n a	4174	127	p o n a	woman		None
52	man	EseEjja	Tacana	e-ɗexa	e-ɗexa	ɗ e x a	3475	296	ɗ e x a -	person		None
53	woman	EseEjja	Tacana	e-pona	e-pona	p o n a	6344	127	p o n a	woman		None
55	boy	EseEjja	Tacana	e-šoʔi-dexa	e-šoʔi-dexa	ʃ o ʔ i + d e x a	619	96 296	( - ) ʃ o ʔ i + d e x a	young person		None
56	young man	EseEjja	Tacana	ešoʔi	ešoʔi	ʃ o ʔ i	6524	96	( - ) ʃ o ʔ i	young		None
57	young man	EseEjja	Tacana	ošoʔi-yawe	ošoʔi-yawe	o ʃ o ʔ i + j a w e	6524	96 5940	( o ) ʃ o ʔ i + j a w e	 marry		None
58	girl	EseEjja	Tacana	e-šoʔi-pona	e-šoʔi-pona	ʃ o ʔ i + p o n a	2465	96 127	( - ) ʃ o ʔ i + p o n a	young woman		None
59	young woman	EseEjja	Tacana	ešoʔipona	ešoʔipona	ʃ o ʔ i + p o n a	6538	96 127	( - ) ʃ o ʔ i + p o n a	young woman		None
60	child (young human)	EseEjja	Tacana	e-ɓakʷa	e-ɓakʷa	ɓ a kʷ a	969	360	ɓ a kʷ a	child		None
61	child (young human)	EseEjja	Tacana	e-šoʔinee	e-šoʔinee	ʃ o ʔ i + n ee	978	96 126	ʃ o ʔ i + n e e	young ?		None
62	baby	EseEjja	Tacana	ešoʔi	ešoʔi	ʃ o ʔ i	185	96	( - ) ʃ o ʔ i	young		None
